index	name	hemisphere
0	Background	n/a
2001	Precentral_L	L
2002	Precentral_R	R
2101	Frontal_Sup_L	L
2102	Frontal_Sup_R	R
2111	Frontal_Sup_Orb_L	L
2112	Frontal_Sup_Orb_R	R
2201	Frontal_Mid_L	L
2202	Frontal_Mid_R	R
2211	Frontal_Mid_Orb_L	L
2212	Frontal_Mid_Orb_R	R
2301	Frontal_Inf_Oper_L	L
2302	Frontal_Inf_Oper_R	R
2311	Frontal_Inf_Tri_L	L
2312	Frontal_Inf_Tri_R	R
2321	Frontal_Inf_Orb_L	L
2322	Frontal_Inf_Orb_R	R
2331	Rolandic_Oper_L	L
2332	Rolandic_Oper_R	R
2401	Supp_Motor_Area_L	L
2402	Supp_Motor_Area_R	R
2501	Olfactory_L	L
2502	Olfactory_R	R
2601	Frontal_Sup_Medial_L	L
2602	Frontal_Sup_Medial_R	R
2611	Frontal_Med_Orb_L	L
2612	Frontal_Med_Orb_R	R
2701	Rectus_L	L
2702	Rectus_R	R
3001	Insula_L	L
3002	Insula_R	R
4001	Cingulum_Ant_L	L
4002	Cingulum_Ant_R	R
4011	Cingulum_Mid_L	L
4012	Cingulum_Mid_R	R
4021	Cingulum_Post_L	L
4022	Cingulum_Post_R	R
4101	Hippocampus_L	L
4102	Hippocampus_R	R
4111	ParaHippocampal_L	L
4112	ParaHippocampal_R	R
4201	Amygdala_L	L
4202	Amygdala_R	R
5001	Calcarine_L	L
5002	Calcarine_R	R
5011	Cuneus_L	L
5012	Cuneus_R	R
5021	Lingual_L	L
5022	Lingual_R	R
5101	Occipital_Sup_L	L
5102	Occipital_Sup_R	R
5201	Occipital_Mid_L	L
5202	Occipital_Mid_R	R
5301	Occipital_Inf_L	L
5302	Occipital_Inf_R	R
5401	Fusiform_L	L
5402	Fusiform_R	R
6001	Postcentral_L	L
6002	Postcentral_R	R
6101	Parietal_Sup_L	L
6102	Parietal_Sup_R	R
6201	Parietal_Inf_L	L
6202	Parietal_Inf_R	R
6211	SupraMarginal_L	L
6212	SupraMarginal_R	R
6221	Angular_L	L
6222	Angular_R	R
6301	Precuneus_L	L
6302	Precuneus_R	R
6401	Paracentral_Lobule_L	L
6402	Paracentral_Lobule_R	L
7001	Caudate_L	L
7002	Caudate_R	R
7011	Putamen_L	L
7012	Putamen_R	R
7021	Pallidum_L	L
7022	Pallidum_R	R
7101	Thalamus_L	L
7102	Thalamus_R	R
8101	Heschl_L	L
8102	Heschl_R	R
8111	Temporal_Sup_L	L
8112	Temporal_Sup_R	R
8121	Temporal_Pole_Sup_L	L
8122	Temporal_Pole_Sup_R	R
8201	Temporal_Mid_L	L
8202	Temporal_Mid_R	R
8211	Temporal_Pole_Mid_L	L
8212	Temporal_Pole_Mid_R	R
8301	Temporal_Inf_L	L
8302	Temporal_Inf_R	R
9001	Cerebelum_Crus1_L	L
9002	Cerebelum_Crus1_R	R
9011	Cerebelum_Crus2_L	L
9012	Cerebelum_Crus2_R	R
9021	Cerebelum_3_L	L
9022	Cerebelum_3_R	R
9031	Cerebelum_4_5_L	L
9032	Cerebelum_4_5_R	R
9041	Cerebelum_6_L	L
9042	Cerebelum_6_R	R
9051	Cerebelum_7b_L	L
9052	Cerebelum_7b_R	R
9061	Cerebelum_8_L	L
9062	Cerebelum_8_R	R
9071	Cerebelum_9_L	L
9072	Cerebelum_9_R	R
9081	Cerebelum_10_L	L
9082	Cerebelum_10_R	R
9100	Vermis_1_2	n/a
9110	Vermis_3	n/a
9120	Vermis_4_5	n/a
9130	Vermis_6	n/a
9140	Vermis_7	n/a
9150	Vermis_8	n/a
9160	Vermis_9	n/a
9170	Vermis_10	n/a
