index	name	hemisphere
1	Middle frontal gyrus lateral LH	n/a
2	Middle frontal gyrus anterior	n/a
3	Superior occipital gyrus	n/a
4	Frontal pole lateral RH	n/a
5	Superior precentral and postcentral sulci anterior	n/a
6	Posterior cingulate cortex antero-inferior	n/a
7	Intraparietal sulcus posterior LH	n/a
8	Parieto-occipital sulcus central	n/a
9	Superior frontal sulcus	n/a
10	Ventromedial prefrontal cortex	n/a
11	Cerebellum Crus I posterior	n/a
12	Lingual gyrus posterior	n/a
13	Lateral occipital cortex superior	n/a
14	Lateral frontal pole	n/a
15	Precentral gyrus inferior	n/a
16	Precuneus superior	n/a
17	Parieto-occipital sulcus postero-superior	n/a
18	Postcentral gyrus RH	n/a
19	Cingulate cortex mid-anterior	n/a
20	Cerebrospinal fluid (superior of Central sulcus)	n/a
21	Angular gyrus superior RH	n/a
22	Cerebellum Crus I anterior	n/a
23	Superior temporal gyrus middle	n/a
24	Angular gyrus posterior	n/a
25	Lateral occipital cortex inferior	n/a
26	Middle temporal gyrus RH	n/a
27	Cerebellum VI anterior	n/a
28	Cerebellum VI superior	n/a
29	Angular gyrus anterior RH	n/a
30	Cerebrospinal fluid (between anterior part of superior frontal gyrus and skull)	n/a
31	Parahippocampal gyrus	n/a
32	Inferior frontal gyrus anterior LH	n/a
33	Posterior cingulate cortex	n/a
34	Occipitotemporal gyrus posterior	n/a
35	Dorsomedial prefrontal cortex antero-superior	n/a
36	Superior frontal gyrus posterior	n/a
37	Supramarginal gyrus LH	n/a
38	Superior precentral and postcentral sulci posterior	n/a
39	Cerebrospinal fluid (between occipital pole and cerebellum)	n/a
40	Paracingulate gyrus middle	n/a
41	Fusiform gyrus anterior	n/a
42	Middle temporal gyrus LH	n/a
43	Postcentral gyrus superior LH	n/a
44	Angular gyrus superior	n/a
45	Calcarine sulcus anterior	n/a
46	Intraparietal sulcus RH	n/a
47	Inferior occipital sulcus	n/a
48	Postcentral sulcus inferior LH	n/a
49	Insula center and lateral fissure	n/a
50	Superior parietal lobule posterior	n/a
51	Cerebrospinal fluid (between superior part of superior frontal gyrus and skull)	n/a
52	Posterior cingulate cortex inferior	n/a
53	Inferior frontal sulcus RH	n/a
54	Planum temporale LH	n/a
55	Cerebellum superior posterior fissure	n/a
56	Intraparietal sulcus anterior LH	n/a
57	Hippocampal fissure	n/a
58	Dorsomedial prefrontal cortex anteromedial	n/a
59	Callosomarginal sulcus inferior	n/a
60	Paracentral lobule	n/a
61	Parieto-occipital sulcus anterior	n/a
62	Central sulcus	n/a
63	Posterior cingulate cortex superior	n/a
64	Lateral fissure anterior	n/a
65	Inferior temporal gyrus posterior	n/a
66	Cerebrospinal fluid (between Parieto-occipital sulcus and skull)	n/a
67	Insula antero-superior	n/a
68	Planum temporale RH	n/a
69	Anterior cingulate cortex	n/a
70	Cerebrospinal fluid (between central sulcus and skull)	n/a
71	Thalamus	n/a
72	Calcarine cortex posterior	n/a
73	Superior occipital sulcus	n/a
74	Postcentral sulcus superior	n/a
75	Cuneus	n/a
76	Precentral sulcus inferior LH	n/a
77	Superior parietal sulcus	n/a
78	Cuneus superior	n/a
79	Pars triangularis	n/a
80	Superior temporal sulcus LH	n/a
81	Intraparietal sulcus anterior RH	n/a
82	Cerebellum IV and V	n/a
83	Precentral sulcus superior	n/a
84	Precentral gyrus superior	n/a
85	Calcarine cortex anterior	n/a
86	Cerebrospinal fluid (between parietal lobe and skull)	n/a
87	Internal capsule	n/a
88	Lunate sulcus	n/a
89	Superior parietal lobule anterior	n/a
90	Superior frontal sulcus anterior	n/a
91	Lingual gyrus	n/a
92	Precuneus anterior	n/a
93	Cerebrospinal fluid (between middle frontal gyrus and skull)	n/a
94	Caudate	n/a
95	Retrosplenial cortex	n/a
96	Cerebellum Crus II	n/a
97	Thalamus and globus pallidus	n/a
98	Putamen anterior	n/a
99	Planum porale	n/a
100	Subcallosal cortex	n/a
101	Superior frontal sulcus anterior LH	n/a
102	Paracingulate gyrus postero-inferior	n/a
103	Occipital pole superior	n/a
104	Inferior frontal sulcus posterior RH	n/a
105	Cingulate sulcus posterior	n/a
106	Middle frontal gyrus RH	n/a
107	Insula anterior	n/a
108	Inferior occipital gyrus	n/a
109	Central operculum cortex	n/a
110	Angular gyrus inferior	n/a
111	Intracalcarine cortex	n/a
112	Postcentral sulcus RH	n/a
113	Cerebellum VI	n/a
114	Supramarginal gyrus anterior RH	n/a
115	Cerebellum IV and middle cerebellar peduncle	n/a
116	Occipital pole inferior	n/a
117	Ventromedial prefrontal cortex anterior	n/a
118	Parieto-occipital sulcus antero-superior	n/a
119	Paracingulate gyrus postero-superior	n/a
120	Fusiform gyrus	n/a
121	Precuneus posterior	n/a
122	Angular gyrus LH	n/a
123	Inferior frontal sulcus LH	n/a
124	Putamen posterior	n/a
125	Postcentral gyrus middle	n/a
126	Superior temporal sulcus posterior RH	n/a
127	Lateral ventricles superior	n/a
128	Angular gyrus RH	n/a
