index	name	xyz
0	Background	n/a
1	Left Cerebral White Matter	58, 37, 50
2	Left Cerebral Cortex 	70, 63, 35
3	Left Lateral Ventrical	57, 40, 41
4	Left Thalamus	51, 51, 39
5	Left Caudate	51, 71, 38
6	Left Putamen	56, 67, 34
7	Left Pallidum	54, 62, 35
8	Brainstem	44, 49, 18
9	Left Hippocampus	59, 54, 27
10	Left Amygdala	57, 61, 27
11	Left Accumbens	50, 70, 33
12	Right Cerebral White Matter	29, 38, 51
13	Right Cerebral Cortex 	25, 42, 61
14	Right Lateral Ventricle	35, 45, 44
15	Right Thalamus	38, 51, 39
16	Right Caudate	39, 72, 37
17	Right Putamen	34, 68, 34
18	Right Pallidum	35, 61, 35
19	Right Hippocampus	31, 57, 25
20	Right Amygdala	32, 63, 25
21	Right Accumbens	40, 69, 32
