index	name	hemisphere
0	Background	B
1	Frontal Pole	B
2	Insular Cortex	B
3	Superior Frontal Gyrus	B
4	Middle Frontal Gyrus	B
5	Inferior Frontal Gyrus, pars triangularis	B
6	Inferior Frontal Gyrus, pars opercularis	B
7	Precentral Gyrus	B
8	Temporal Pole	B
9	Superior Temporal Gyrus, anterior division	B
10	Superior Temporal Gyrus, posterior division	B
11	Middle Temporal Gyrus, anterior division	B
12	Middle Temporal Gyrus, posterior division	B
13	Middle Temporal Gyrus, temporooccipital part	B
14	Inferior Temporal Gyrus, anterior division	B
15	Inferior Temporal Gyrus, posterior division	B
16	Inferior Temporal Gyrus, temporooccipital part	B
17	Postcentral Gyrus	B
18	Superior Parietal Lobule	B
19	Supramarginal Gyrus, anterior division	B
20	Supramarginal Gyrus, posterior division	B
21	Angular Gyrus	B
22	Lateral Occipital Cortex, superior division	B
23	Lateral Occipital Cortex, inferior division	B
24	Intracalcarine Cortex	B
25	Frontal Medial Cortex	B
26	Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)	B
27	Subcallosal Cortex	B
28	Paracingulate Gyrus	B
29	Cingulate Gyrus, anterior division	B
30	Cingulate Gyrus, posterior division	B
31	Precuneous Cortex	B
32	Cuneal Cortex	B
33	Frontal Orbital Cortex	B
34	Parahippocampal Gyrus, anterior division	B
35	Parahippocampal Gyrus, posterior division	B
36	Lingual Gyrus	B
37	Temporal Fusiform Cortex, anterior division	B
38	Temporal Fusiform Cortex, posterior division	B
39	Temporal Occipital Fusiform Cortex	B
40	Occipital Fusiform Gyrus	B
41	Frontal Opercular Cortex	B
42	Central Opercular Cortex	B
43	Parietal Opercular Cortex	B
44	Planum Polare	B
45	Heschl's Gyrus (includes H1 and H2)	B
46	Planum Temporale	B
47	Supracalcarine Cortex	B
48	Occipital Pole	B
