index	name	hemisphere
0	Background	bilateral
1	7Networks_LH_Vis_1	left
2	7Networks_LH_Vis_2	left
3	7Networks_LH_Vis_3	left
4	7Networks_LH_Vis_4	left
5	7Networks_LH_Vis_5	left
6	7Networks_LH_Vis_6	left
7	7Networks_LH_Vis_7	left
8	7Networks_LH_Vis_8	left
9	7Networks_LH_Vis_9	left
10	7Networks_LH_SomMot_1	left
11	7Networks_LH_SomMot_2	left
12	7Networks_LH_SomMot_3	left
13	7Networks_LH_SomMot_4	left
14	7Networks_LH_SomMot_5	left
15	7Networks_LH_SomMot_6	left
16	7Networks_LH_DorsAttn_Post_1	left
17	7Networks_LH_DorsAttn_Post_2	left
18	7Networks_LH_DorsAttn_Post_3	left
19	7Networks_LH_DorsAttn_Post_4	left
20	7Networks_LH_DorsAttn_Post_5	left
21	7Networks_LH_DorsAttn_Post_6	left
22	7Networks_LH_DorsAttn_PrCv_1	left
23	7Networks_LH_DorsAttn_FEF_1	left
24	7Networks_LH_SalVentAttn_ParOper_1	left
25	7Networks_LH_SalVentAttn_FrOperIns_1	left
26	7Networks_LH_SalVentAttn_FrOperIns_2	left
27	7Networks_LH_SalVentAttn_PFCl_1	left
28	7Networks_LH_SalVentAttn_Med_1	left
29	7Networks_LH_SalVentAttn_Med_2	left
30	7Networks_LH_SalVentAttn_Med_3	left
31	7Networks_LH_Limbic_OFC_1	left
32	7Networks_LH_Limbic_TempPole_1	left
33	7Networks_LH_Limbic_TempPole_2	left
34	7Networks_LH_Cont_Par_1	left
35	7Networks_LH_Cont_PFCl_1	left
36	7Networks_LH_Cont_pCun_1	left
37	7Networks_LH_Cont_Cing_1	left
38	7Networks_LH_Default_Temp_1	left
39	7Networks_LH_Default_Temp_2	left
40	7Networks_LH_Default_Par_1	left
41	7Networks_LH_Default_Par_2	left
42	7Networks_LH_Default_PFC_1	left
43	7Networks_LH_Default_PFC_2	left
44	7Networks_LH_Default_PFC_3	left
45	7Networks_LH_Default_PFC_4	left
46	7Networks_LH_Default_PFC_5	left
47	7Networks_LH_Default_PFC_6	left
48	7Networks_LH_Default_PFC_7	left
49	7Networks_LH_Default_pCunPCC_1	left
50	7Networks_LH_Default_pCunPCC_2	left
51	7Networks_RH_Vis_1	right
52	7Networks_RH_Vis_2	right
53	7Networks_RH_Vis_3	right
54	7Networks_RH_Vis_4	right
55	7Networks_RH_Vis_5	right
56	7Networks_RH_Vis_6	right
57	7Networks_RH_Vis_7	right
58	7Networks_RH_Vis_8	right
59	7Networks_RH_SomMot_1	right
60	7Networks_RH_SomMot_2	right
61	7Networks_RH_SomMot_3	right
62	7Networks_RH_SomMot_4	right
63	7Networks_RH_SomMot_5	right
64	7Networks_RH_SomMot_6	right
65	7Networks_RH_SomMot_7	right
66	7Networks_RH_SomMot_8	right
67	7Networks_RH_DorsAttn_Post_1	right
68	7Networks_RH_DorsAttn_Post_2	right
69	7Networks_RH_DorsAttn_Post_3	right
70	7Networks_RH_DorsAttn_Post_4	right
71	7Networks_RH_DorsAttn_Post_5	right
72	7Networks_RH_DorsAttn_PrCv_1	right
73	7Networks_RH_DorsAttn_FEF_1	right
74	7Networks_RH_SalVentAttn_TempOccPar_1	right
75	7Networks_RH_SalVentAttn_TempOccPar_2	right
76	7Networks_RH_SalVentAttn_FrOperIns_1	right
77	7Networks_RH_SalVentAttn_Med_1	right
78	7Networks_RH_SalVentAttn_Med_2	right
79	7Networks_RH_Limbic_OFC_1	right
80	7Networks_RH_Limbic_TempPole_1	right
81	7Networks_RH_Cont_Par_1	right
82	7Networks_RH_Cont_Par_2	right
83	7Networks_RH_Cont_PFCl_1	right
84	7Networks_RH_Cont_PFCl_2	right
85	7Networks_RH_Cont_PFCl_3	right
86	7Networks_RH_Cont_PFCl_4	right
87	7Networks_RH_Cont_Cing_1	right
88	7Networks_RH_Cont_PFCmp_1	right
89	7Networks_RH_Cont_pCun_1	right
90	7Networks_RH_Default_Par_1	right
91	7Networks_RH_Default_Temp_1	right
92	7Networks_RH_Default_Temp_2	right
93	7Networks_RH_Default_Temp_3	right
94	7Networks_RH_Default_PFCv_1	right
95	7Networks_RH_Default_PFCv_2	right
96	7Networks_RH_Default_PFCdPFCm_1	right
97	7Networks_RH_Default_PFCdPFCm_2	right
98	7Networks_RH_Default_PFCdPFCm_3	right
99	7Networks_RH_Default_pCunPCC_1	right
100	7Networks_RH_Default_pCunPCC_2	right
