index	name	hemisphere
0	Background	n/a
1	17Networks_LH_VisCent_ExStr_1	L
2	17Networks_LH_VisCent_ExStr_2	L
3	17Networks_LH_VisCent_Striate_1	L
4	17Networks_LH_VisCent_ExStr_3	L
5	17Networks_LH_VisPeri_ExStrInf_1	L
6	17Networks_LH_VisPeri_StriCal_1	L
7	17Networks_LH_VisPeri_ExStrSup_1	L
8	17Networks_LH_SomMotA_1	L
9	17Networks_LH_SomMotA_2	L
10	17Networks_LH_SomMotB_Aud_1	L
11	17Networks_LH_SomMotB_S2_1	L
12	17Networks_LH_SomMotB_S2_2	L
13	17Networks_LH_SomMotB_Cent_1	L
14	17Networks_LH_DorsAttnA_TempOcc_1	L
15	17Networks_LH_DorsAttnA_ParOcc_1	L
16	17Networks_LH_DorsAttnA_SPL_1	L
17	17Networks_LH_DorsAttnB_PostC_1	L
18	17Networks_LH_DorsAttnB_PostC_2	L
19	17Networks_LH_DorsAttnB_PostC_3	L
20	17Networks_LH_DorsAttnB_FEF_1	L
21	17Networks_LH_SalVentAttnA_ParOper_1	L
22	17Networks_LH_SalVentAttnA_Ins_1	L
23	17Networks_LH_SalVentAttnA_Ins_2	L
24	17Networks_LH_SalVentAttnA_ParMed_1	L
25	17Networks_LH_SalVentAttnA_FrMed_1	L
26	17Networks_LH_SalVentAttnB_PFCl_1	L
27	17Networks_LH_SalVentAttnB_PFCmp_1	L
28	17Networks_LH_LimbicB_OFC_1	L
29	17Networks_LH_LimbicA_TempPole_1	L
30	17Networks_LH_LimbicA_TempPole_2	L
31	17Networks_LH_ContA_IPS_1	L
32	17Networks_LH_ContA_PFCl_1	L
33	17Networks_LH_ContA_PFCl_2	L
34	17Networks_LH_ContB_PFClv_1	L
35	17Networks_LH_ContC_pCun_1	L
36	17Networks_LH_ContC_pCun_2	L
37	17Networks_LH_ContC_Cingp_1	L
38	17Networks_LH_DefaultA_PFCd_1	L
39	17Networks_LH_DefaultA_pCunPCC_1	L
40	17Networks_LH_DefaultA_PFCm_1	L
41	17Networks_LH_DefaultB_Temp_1	L
42	17Networks_LH_DefaultB_Temp_2	L
43	17Networks_LH_DefaultB_IPL_1	L
44	17Networks_LH_DefaultB_PFCd_1	L
45	17Networks_LH_DefaultB_PFCl_1	L
46	17Networks_LH_DefaultB_PFCv_1	L
47	17Networks_LH_DefaultB_PFCv_2	L
48	17Networks_LH_DefaultC_Rsp_1	L
49	17Networks_LH_DefaultC_PHC_1	L
50	17Networks_LH_TempPar_1	L
51	17Networks_RH_VisCent_ExStr_1	R
52	17Networks_RH_VisCent_ExStr_2	R
53	17Networks_RH_VisCent_ExStr_3	R
54	17Networks_RH_VisPeri_StriCal_1	R
55	17Networks_RH_VisPeri_ExStrInf_1	R
56	17Networks_RH_VisPeri_ExStrSup_1	R
57	17Networks_RH_SomMotA_1	R
58	17Networks_RH_SomMotA_2	R
59	17Networks_RH_SomMotA_3	R
60	17Networks_RH_SomMotA_4	R
61	17Networks_RH_SomMotB_Aud_1	R
62	17Networks_RH_SomMotB_S2_1	R
63	17Networks_RH_SomMotB_S2_2	R
64	17Networks_RH_SomMotB_Cent_1	R
65	17Networks_RH_DorsAttnA_TempOcc_1	R
66	17Networks_RH_DorsAttnA_ParOcc_1	R
67	17Networks_RH_DorsAttnA_SPL_1	R
68	17Networks_RH_DorsAttnB_PostC_1	R
69	17Networks_RH_DorsAttnB_PostC_2	R
70	17Networks_RH_DorsAttnB_FEF_1	R
71	17Networks_RH_SalVentAttnA_ParOper_1	R
72	17Networks_RH_SalVentAttnA_Ins_1	R
73	17Networks_RH_SalVentAttnA_ParMed_1	R
74	17Networks_RH_SalVentAttnA_FrMed_1	R
75	17Networks_RH_SalVentAttnB_IPL_1	R
76	17Networks_RH_SalVentAttnB_PFCl_1	R
77	17Networks_RH_SalVentAttnB_PFCmp_1	R
78	17Networks_RH_LimbicB_OFC_1	R
79	17Networks_RH_LimbicA_TempPole_1	R
80	17Networks_RH_ContA_IPS_1	R
81	17Networks_RH_ContA_PFCl_1	R
82	17Networks_RH_ContA_PFCl_2	R
83	17Networks_RH_ContB_Temp_1	R
84	17Networks_RH_ContB_IPL_1	R
85	17Networks_RH_ContB_PFCld_1	R
86	17Networks_RH_ContB_PFClv_1	R
87	17Networks_RH_ContC_Cingp_1	R
88	17Networks_RH_ContC_pCun_1	R
89	17Networks_RH_DefaultA_IPL_1	R
90	17Networks_RH_DefaultA_PFCd_1	R
91	17Networks_RH_DefaultA_pCunPCC_1	R
92	17Networks_RH_DefaultA_PFCm_1	R
93	17Networks_RH_DefaultB_PFCd_1	R
94	17Networks_RH_DefaultB_PFCv_1	R
95	17Networks_RH_DefaultB_PFCv_2	R
96	17Networks_RH_DefaultC_Rsp_1	R
97	17Networks_RH_DefaultC_PHC_1	R
98	17Networks_RH_TempPar_1	R
99	17Networks_RH_TempPar_2	R
100	17Networks_RH_TempPar_3	R
