index	name	hemisphere
0	Background	n/a
1	7Networks_LH_Vis_1	L
2	7Networks_LH_Vis_2	L
3	7Networks_LH_Vis_3	L
4	7Networks_LH_Vis_4	L
5	7Networks_LH_Vis_5	L
6	7Networks_LH_Vis_6	L
7	7Networks_LH_Vis_7	L
8	7Networks_LH_Vis_8	L
9	7Networks_LH_Vis_9	L
10	7Networks_LH_SomMot_1	L
11	7Networks_LH_SomMot_2	L
12	7Networks_LH_SomMot_3	L
13	7Networks_LH_SomMot_4	L
14	7Networks_LH_SomMot_5	L
15	7Networks_LH_SomMot_6	L
16	7Networks_LH_DorsAttn_Post_1	L
17	7Networks_LH_DorsAttn_Post_2	L
18	7Networks_LH_DorsAttn_Post_3	L
19	7Networks_LH_DorsAttn_Post_4	L
20	7Networks_LH_DorsAttn_Post_5	L
21	7Networks_LH_DorsAttn_Post_6	L
22	7Networks_LH_DorsAttn_PrCv_1	L
23	7Networks_LH_DorsAttn_FEF_1	L
24	7Networks_LH_SalVentAttn_ParOper_1	L
25	7Networks_LH_SalVentAttn_FrOperIns_1	L
26	7Networks_LH_SalVentAttn_FrOperIns_2	L
27	7Networks_LH_SalVentAttn_PFCl_1	L
28	7Networks_LH_SalVentAttn_Med_1	L
29	7Networks_LH_SalVentAttn_Med_2	L
30	7Networks_LH_SalVentAttn_Med_3	L
31	7Networks_LH_Limbic_OFC_1	L
32	7Networks_LH_Limbic_TempPole_1	L
33	7Networks_LH_Limbic_TempPole_2	L
34	7Networks_LH_Cont_Par_1	L
35	7Networks_LH_Cont_PFCl_1	L
36	7Networks_LH_Cont_pCun_1	L
37	7Networks_LH_Cont_Cing_1	L
38	7Networks_LH_Default_Temp_1	L
39	7Networks_LH_Default_Temp_2	L
40	7Networks_LH_Default_Par_1	L
41	7Networks_LH_Default_Par_2	L
42	7Networks_LH_Default_PFC_1	L
43	7Networks_LH_Default_PFC_2	L
44	7Networks_LH_Default_PFC_3	L
45	7Networks_LH_Default_PFC_4	L
46	7Networks_LH_Default_PFC_5	L
47	7Networks_LH_Default_PFC_6	L
48	7Networks_LH_Default_PFC_7	L
49	7Networks_LH_Default_pCunPCC_1	L
50	7Networks_LH_Default_pCunPCC_2	L
51	7Networks_RH_Vis_1	R
52	7Networks_RH_Vis_2	R
53	7Networks_RH_Vis_3	R
54	7Networks_RH_Vis_4	R
55	7Networks_RH_Vis_5	R
56	7Networks_RH_Vis_6	R
57	7Networks_RH_Vis_7	R
58	7Networks_RH_Vis_8	R
59	7Networks_RH_SomMot_1	R
60	7Networks_RH_SomMot_2	R
61	7Networks_RH_SomMot_3	R
62	7Networks_RH_SomMot_4	R
63	7Networks_RH_SomMot_5	R
64	7Networks_RH_SomMot_6	R
65	7Networks_RH_SomMot_7	R
66	7Networks_RH_SomMot_8	R
67	7Networks_RH_DorsAttn_Post_1	R
68	7Networks_RH_DorsAttn_Post_2	R
69	7Networks_RH_DorsAttn_Post_3	R
70	7Networks_RH_DorsAttn_Post_4	R
71	7Networks_RH_DorsAttn_Post_5	R
72	7Networks_RH_DorsAttn_PrCv_1	R
73	7Networks_RH_DorsAttn_FEF_1	R
74	7Networks_RH_SalVentAttn_TempOccPar_1	R
75	7Networks_RH_SalVentAttn_TempOccPar_2	R
76	7Networks_RH_SalVentAttn_FrOperIns_1	R
77	7Networks_RH_SalVentAttn_Med_1	R
78	7Networks_RH_SalVentAttn_Med_2	R
79	7Networks_RH_Limbic_OFC_1	R
80	7Networks_RH_Limbic_TempPole_1	R
81	7Networks_RH_Cont_Par_1	R
82	7Networks_RH_Cont_Par_2	R
83	7Networks_RH_Cont_PFCl_1	R
84	7Networks_RH_Cont_PFCl_2	R
85	7Networks_RH_Cont_PFCl_3	R
86	7Networks_RH_Cont_PFCl_4	R
87	7Networks_RH_Cont_Cing_1	R
88	7Networks_RH_Cont_PFCmp_1	R
89	7Networks_RH_Cont_pCun_1	R
90	7Networks_RH_Default_Par_1	R
91	7Networks_RH_Default_Temp_1	R
92	7Networks_RH_Default_Temp_2	R
93	7Networks_RH_Default_Temp_3	R
94	7Networks_RH_Default_PFCv_1	R
95	7Networks_RH_Default_PFCv_2	R
96	7Networks_RH_Default_PFCdPFCm_1	R
97	7Networks_RH_Default_PFCdPFCm_2	R
98	7Networks_RH_Default_PFCdPFCm_3	R
99	7Networks_RH_Default_pCunPCC_1	R
100	7Networks_RH_Default_pCunPCC_2	R
