index	name	hemisphere
0	Background	n/a
1	Brodmann area 20	n/a
2	Brodmann area 38	n/a
3	Brodmann area 36	n/a
4	Brodmann area 21	n/a
5	Brodmann area 28	n/a
6	Brodmann area 11	n/a
7	Dentate	n/a
8	Brodmann area 35	n/a
9	Brodmann area 47	n/a
10	Hippocampus	n/a
11	Brodmann area 34	n/a
12	Amygdala	n/a
13	Brodmann area 18	n/a
14	Brodmann area 37	n/a
15	Brodmann area 25	n/a
16	Brodmann area 17	n/a
17	Brodmann area 19	n/a
18	Optic Tract	n/a
19	Hypothalamus	n/a
20	Brodmann area 13	n/a
21	Substania Nigra	n/a
22	Red Nucleus	n/a
23	Caudate Tail	n/a
24	Mammillary Body	n/a
25	Putamen	n/a
26	Brodmann area 32	n/a
27	Brodmann area 10	n/a
28	Brodmann area 30	n/a
29	Brodmann area 27	n/a
30	Medial Geniculum Body	n/a
31	Brodmann area 22	n/a
32	Lateral Globus Pallidus	n/a
33	Subthalamic Nucleus	n/a
34	Medial Globus Pallidus	n/a
35	Caudate Head	n/a
36	Brodmann area 24	n/a
37	Lateral Geniculum Body	n/a
38	Anterior Commissure	n/a
39	Corpus Callosum	n/a
40	Ventral Posterior Lateral Nucleus	n/a
41	Ventral Posterior Medial Nucleus	n/a
42	Brodmann area 45	n/a
43	Brodmann area 46	n/a
44	Pulvinar	n/a
45	Medial Dorsal Nucleus	n/a
46	Ventral Lateral Nucleus	n/a
47	Ventral Anterior Nucleus	n/a
48	Brodmann area 29	n/a
49	Brodmann area 41	n/a
50	Brodmann area 42	n/a
51	Brodmann area 6	n/a
52	Anterior Nucleus	n/a
53	Brodmann area 44	n/a
54	Caudate Body	n/a
55	Brodmann area 39	n/a
56	Brodmann area 23	n/a
57	Lateral Posterior Nucleus	n/a
58	Brodmann area 43	n/a
59	Brodmann area 31	n/a
60	Brodmann area 40	n/a
61	Lateral Dorsal Nucleus	n/a
62	Midline Nucleus	n/a
63	Brodmann area 4	n/a
64	Brodmann area 9	n/a
65	Brodmann area 33	n/a
66	Brodmann area 2	n/a
67	Brodmann area 1	n/a
68	Brodmann area 3	n/a
69	Brodmann area 7	n/a
70	Brodmann area 8	n/a
71	Brodmann area 5	n/a
