index	name	hemisphere
0	Background	B
1	Inferior Semi-Lunar Lobule	B
2	Cerebellar Tonsil	B
3	Inferior Temporal Gyrus	B
4	Uncus	B
5	Middle Temporal Gyrus	B
6	Superior Temporal Gyrus	B
7	Sub-Gyral	B
8	Pyramis	B
9	Uvula	B
10	Uvula of Vermis	B
11	Fourth Ventricle	B
12	Tuber	B
13	Pyramis of Vermis	B
14	Nodule	B
15	Culmen	B
16	Orbital Gyrus	B
17	Tuber of Vermis	B
18	Fusiform Gyrus	B
19	Parahippocampal Gyrus	B
20	Rectal Gyrus	B
21	Superior Frontal Gyrus	B
22	Declive	B
23	Declive of Vermis	B
24	Fastigium	B
25	Lateral Ventricle	B
26	Inferior Frontal Gyrus	B
27	Middle Frontal Gyrus	B
28	Cerebellar Lingual	B
29	Medial Frontal Gyrus	B
30	Lingual Gyrus	B
31	Inferior Occipital Gyrus	B
32	Subcallosal Gyrus	B
33	Middle Occipital Gyrus	B
34	Culmen of Vermis	B
35	Extra-Nuclear	B
36	Caudate	B
37	Third Ventricle	B
38	Anterior Cingulate	B
39	Lentiform Nucleus	B
40	Thalamus	B
41	Insula	B
42	Claustrum	B
43	Cuneus	B
44	Posterior Cingulate	B
45	Precentral Gyrus	B
46	Transverse Temporal Gyrus	B
47	Postcentral Gyrus	B
48	Precuneus	B
49	Superior Occipital Gyrus	B
50	Supramarginal Gyrus	B
51	Inferior Parietal Lobule	B
52	Cingulate Gyrus	B
53	Angular Gyrus	B
54	Superior Parietal Lobule	B
55	Paracentral Lobule	B
