onset	trial_type	eventcode
27527	unfamiliar_new	13
28394	response	0
30981	scrambled_new	17
31696	response	0
34399	scrambled_new	17
34969	response	0
37725	famous_new	5
38455	response	0
41106	scrambled_new	17
41677	response	0
44726	scrambled_second_early	18
45269	response	0
48016	famous_new	5
49378	response	0
51415	famous_second_early	6
51896	response	0
54925	unfamiliar_second_late	15
56473	response	0
58343	famous_new	5
58988	response	0
61687	famous_second_early	6
62280	response	0
65142	scrambled_second_late	19
65767	response	0
68707	famous_new	5
69549	response	0
72308	famous_second_early	6
72807	response	0
75928	scrambled_second_late	19
76780	response	0
79365	unfamiliar_new	13
80076	response	0
82838	unfamiliar_second_early	14
83338	response	0
86292	famous_second_late	7
87047	response	0
89802	famous_new	5
90535	response	0
93220	famous_second_early	6
94001	response	0
96620	famous_new	5
98025	response	0
100276	famous_second_early	6
100788	response	0
103657	scrambled_new	17
104315	response	0
107185	unfamiliar_new	13
108067	response	0
110732	unfamiliar_second_early	14
111351	response	0
114186	famous_new	5
114983	response	0
117696	famous_second_early	6
118279	response	0
121206	unfamiliar_new	13
121857	response	0
124734	unfamiliar_second_early	14
125280	response	0
128354	unfamiliar_new	13
129099	response	0
132011	unfamiliar_second_early	14
132849	response	0
135576	scrambled_new	17
136356	response	0
139141	scrambled_second_late	19
139818	response	0
142724	scrambled_new	17
144167	response	0
146307	scrambled_new	17
147200	response	0
149890	scrambled_new	17
150735	response	0
153272	famous_new	5
153919	response	0
156745	famous_new	5
157428	response	0
160181	scrambled_second_late	19
161116	response	0
163635	scrambled_new	17
164458	response	0
167182	scrambled_second_early	18
167904	response	0
170802	scrambled_second_late	19
171920	response	0
174146	famous_new	5
174815	response	0
177656	scrambled_second_late	19
178596	response	0
181129	scrambled_new	17
181787	response	0
184584	scrambled_second_late	19
185396	response	0
188075	scrambled_new	17
188849	response	0
191548	scrambled_second_early	18
192676	response	0
194893	famous_second_late	7
195546	response	0
198531	unfamiliar_new	13
199187	response	0
202022	famous_second_late	7
202812	response	0
205587	unfamiliar_new	13
206582	response	0
209171	unfamiliar_second_early	14
209948	response	0
212717	unfamiliar_new	13
213755	response	0
216172	unfamiliar_second_early	14
219516	famous_second_late	7
220547	response	0
223007	scrambled_new	17
223894	response	0
226352	scrambled_second_late	19
226959	response	0
229751	famous_new	5
231341	response	0
233279	famous_new	5
234498	response	0
236789	famous_second_early	6
237383	response	0
240317	unfamiliar_second_late	15
241169	response	0
243772	famous_new	5
244996	response	0
247338	famous_new	5
247995	response	0
250718	famous_second_early	6
252400	response	0
254062	famous_new	5
254891	response	0
257590	famous_second_early	6
261174	scrambled_second_late	19
261978	response	0
264481	unfamiliar_new	13
265260	response	0
268046	famous_second_late	7
269042	response	0
271556	unfamiliar_new	13
272585	response	0
275047	scrambled_new	17
275978	response	0
278465	scrambled_second_early	18
279586	response	0
281957	famous_second_late	7
282766	response	0
285338	scrambled_new	17
288811	scrambled_second_early	18
289577	response	0
292137	unfamiliar_new	13
292876	response	0
295591	unfamiliar_second_early	14
296235	response	0
299009	famous_new	5
300008	response	0
302574	unfamiliar_second_late	15
303265	response	0
306029	famous_new	5
306995	response	0
309612	famous_second_early	6
311537	response	0
313011	unfamiliar_second_late	15
314089	response	0
316338	scrambled_new	17
319958	unfamiliar_new	13
321122	response	0
323284	famous_new	5
324045	response	0
326793	unfamiliar_new	13
327695	response	0
330156	unfamiliar_second_early	14
330889	response	0
