name	x	y	z
EEG001	-0.039208	-0.0669503	0.0347154
EEG002	-0.00204146	0.102881	0.0356366
EEG003	0.0436008	-0.0698604	0.0311508
EEG004	-0.0477581	0.080458	0.035619
EEG005	-0.0300008	0.0966203	0.0550395
EEG006	0.0026122	0.102598	0.0637696
EEG007	0.0343485	0.0981804	0.0574191
EEG008	0.048277	0.0844504	0.0319866
EEG009	-0.0576218	0.0584461	0.0348822
EEG010	-0.0545354	0.0697402	0.0551236
EEG011	-0.0423457	0.0766494	0.0739274
EEG012	-0.0203169	0.0831097	0.0886145
EEG013	0.00392201	0.0857275	0.0946974
EEG014	0.0250682	0.079288	0.09494
EEG015	0.0474342	0.0756969	0.080613
EEG016	0.0595089	0.0695404	0.0587025
EEG017	0.0645849	0.0557205	0.0356516
EEG018	-0.0637128	0.0250738	0.0134894
EEG019	-0.0665197	0.0338769	0.0411918
EEG020	-0.0633871	0.0446025	0.0682261
EEG021	-0.048382	0.0513944	0.0922482
EEG022	-0.0256663	0.057163	0.108094
EEG023	0.000419601	0.053163	0.118848
EEG024	0.0320874	0.0526384	0.111867
EEG025	0.0557629	0.0499767	0.0954993
EEG026	0.0705751	0.0428918	0.0680858
EEG027	0.0730993	0.0333916	0.0408501
EEG028	0.0684465	0.0299244	0.0109442
EEG029	-0.0677198	0.00667051	0.0148263
EEG030	-0.0717701	0.00763705	0.0475392
EEG031	-0.0666617	0.0187331	0.0790812
EEG032	-0.0509878	0.0244444	0.104332
EEG033	-0.0244644	0.0260635	0.125583
EEG034	0.00145965	0.0235195	0.131184
EEG035	0.0334273	0.0243179	0.122663
EEG036	0.0568381	0.0189952	0.10737
EEG037	0.0752759	0.0133765	0.0791161
EEG038	0.0790331	0.00570366	0.0498593
EEG039	0.0695872	0.0096913	0.0154915
EEG040	-0.0657619	-0.0259799	0.0235272
EEG041	-0.0705569	-0.0186768	0.0540144
EEG042	-0.0663919	-0.013422	0.0858616
EEG043	-0.0500214	-0.00668284	0.111463
EEG044	-0.029219	-0.00320241	0.124279
EEG045	0.000910199	-0.00904027	0.13379
EEG046	0.0341858	-0.00562349	0.128279
EEG047	0.0592795	-0.0100304	0.111941
EEG048	0.0733218	-0.013689	0.0865401
EEG049	0.0749929	-0.02329	0.0544589
EEG050	0.07104	-0.0259244	0.0227869
EEG051	-0.0561263	-0.0479988	0.0290226
EEG052	-0.0618441	-0.0420702	0.0623474
EEG053	-0.0584545	-0.0396785	0.0890118
EEG054	-0.0437616	-0.0374839	0.109258
EEG055	-0.0245273	-0.0332798	0.121892
EEG056	0.00118137	-0.0376645	0.124089
EEG057	0.029223	-0.0344907	0.122817
EEG058	0.049505	-0.0368824	0.11029
EEG059	0.0632358	-0.0398782	0.0869718
EEG060	0.0663268	-0.0446348	0.0608557
EEG065	0.0627997	-0.0474403	0.0273571
EEG066	-0.0454545	-0.0619636	0.0727304
EEG067	-0.0295843	-0.0610142	0.0957473
EEG068	0.00252455	-0.0615069	0.100254
EEG069	0.0369228	-0.0599037	0.0942868
EEG070	0.0508126	-0.062715	0.0674889
EEG071	-0.0262164	-0.0751993	0.0725185
EEG072	0.00247772	-0.0790113	0.0724309
EEG073	0.0299485	-0.0747518	0.0720591
EEG074	0.0084532	-0.0816807	0.0387345
