onset	trial_type	eventcode
25903	famous_new	5
26901	response	0
29376	unfamiliar_new	13
30183	response	0
32868	unfamiliar_second_early	14
33621	response	0
36433	famous_new	5
37279	response	0
39869	famous_second_early	6
40641	response	0
43250	scrambled_new	17
43972	response	0
46705	scrambled_second_early	18
47299	response	0
50214	famous_new	5
51117	response	0
53706	scrambled_new	17
54942	response	0
57142	famous_second_late	7
58419	response	0
60707	famous_new	5
61761	response	0
64162	famous_new	5
64961	response	0
67671	unfamiliar_new	13
68666	response	0
71108	famous_new	5
72280	response	0
74489	famous_second_early	6
75347	response	0
77998	famous_second_late	7
78820	response	0
81471	scrambled_new	17
82788	response	0
85000	scrambled_second_early	18
85682	response	0
88509	scrambled_second_late	19
89839	response	0
91964	unfamiliar_new	13
92837	response	0
95584	unfamiliar_second_early	14
96267	response	0
99150	famous_second_late	7
99938	response	0
102475	scrambled_new	17
103261	response	0
105930	famous_second_late	7
106912	response	0
109458	famous_new	5
111169	response	0
112931	famous_second_early	6
113696	response	0
116330	unfamiliar_second_late	15
117298	response	0
119932	unfamiliar_new	13
121088	response	0
123295	unfamiliar_second_early	14
124006	response	0
126769	scrambled_new	17
128015	response	0
130185	unfamiliar_new	13
132545	response	0
133622	scrambled_new	17
134746	response	0
137131	scrambled_second_late	19
138043	response	0
140641	famous_new	5
142348	response	0
144004	famous_second_early	6
144922	response	0
147459	scrambled_new	17
148584	response	0
150785	scrambled_second_early	18
151522	response	0
154331	scrambled_new	17
155158	response	0
157675	scrambled_second_early	18
158469	response	0
161075	scrambled_second_late	19
162011	response	0
164640	scrambled_new	17
165631	response	0
168187	unfamiliar_second_late	15
168940	response	0
171696	famous_new	5
172418	response	0
175262	scrambled_second_late	19
176841	response	0
178716	unfamiliar_new	13
180138	response	0
182170	unfamiliar_second_early	14
183127	response	0
185809	scrambled_new	17
186909	response	0
189245	scrambled_new	17
190838	response	0
192791	unfamiliar_new	13
193700	response	0
196136	scrambled_second_late	19
197378	response	0
199554	unfamiliar_new	13
201126	response	0
203192	unfamiliar_second_early	14
