onset	duration	onset_sample	stim_type	trigger	stim_file
25.326	0	25876	Scrambled	17	meg/s032.bmp
28.928	0	29478	Scrambled	18	meg/s032.bmp
32.566	0	33116	Scrambled	17	meg/s104.bmp
36.076	0	36626	Famous	5	meg/f139.bmp
39.733	0	40283	Famous	5	meg/f050.bmp
43.132	0	43682	Famous	5	meg/f138.bmp
46.532	0	47082	Scrambled	17	meg/s003.bmp
49.986	0	50536	Scrambled	18	meg/s003.bmp
53.606	0	54156	Unfamiliar	13	meg/u017.bmp
56.932	0	57482	Scrambled	19	meg/s104.bmp
60.497	0	61047	Famous	5	meg/f014.bmp
64.135	0	64685	Famous	6	meg/f014.bmp
67.572	0	68122	Famous	7	meg/f139.bmp
71.063	0	71613	Unfamiliar	13	meg/u039.bmp
74.591	0	75141	Unfamiliar	14	meg/u039.bmp
77.862	0	78412	Famous	7	meg/f050.bmp
81.262	0	81812	Famous	5	meg/f039.bmp
84.68	0	85230	Famous	7	meg/f138.bmp
88.208	0	88758	Scrambled	17	meg/s022.bmp
91.736	0	92286	Scrambled	18	meg/s022.bmp
95.356	0	95906	Scrambled	17	meg/s049.bmp
98.866	0	99416	Scrambled	18	meg/s049.bmp
102.265	0	102815	Unfamiliar	15	meg/u017.bmp
105.756	0	106306	Unfamiliar	13	meg/u063.bmp
109.211	0	109761	Unfamiliar	14	meg/u063.bmp
112.702	0	113252	Famous	5	meg/f149.bmp
116.084	0	116634	Unfamiliar	13	meg/u121.bmp
119.483	0	120033	Famous	7	meg/f039.bmp
122.827	0	123377	Unfamiliar	13	meg/u145.bmp
126.337	0	126887	Famous	5	meg/f066.bmp
129.718	0	130268	Unfamiliar	13	meg/u132.bmp
133.283	0	133833	Scrambled	17	meg/s149.bmp
136.738	0	137288	Scrambled	18	meg/s149.bmp
140.101	0	140651	Famous	7	meg/f149.bmp
143.482	0	144032	Scrambled	17	meg/s063.bmp
146.789	0	147339	Scrambled	18	meg/s063.bmp
150.299	0	150849	Unfamiliar	15	meg/u121.bmp
153.919	0	154469	Unfamiliar	13	meg/u066.bmp
157.355	0	157905	Unfamiliar	14	meg/u066.bmp
160.902	0	161452	Unfamiliar	15	meg/u145.bmp
164.522	0	165072	Unfamiliar	13	meg/u119.bmp
168.105	0	168655	Famous	7	meg/f066.bmp
171.652	0	172202	Unfamiliar	13	meg/u106.bmp
175.18	0	175730	Unfamiliar	14	meg/u106.bmp
178.561	0	179111	Unfamiliar	15	meg/u132.bmp
182.126	0	182676	Unfamiliar	13	meg/u050.bmp
185.709	0	186259	Unfamiliar	14	meg/u050.bmp
189.182	0	189732	Unfamiliar	13	meg/u021.bmp
192.673	0	193223	Unfamiliar	13	meg/u008.bmp
196.202	0	196752	Famous	5	meg/f080.bmp
199.693	0	200243	Famous	6	meg/f080.bmp
203.148	0	203698	Unfamiliar	15	meg/u119.bmp
206.749	0	207299	Unfamiliar	13	meg/u084.bmp
210.296	0	210846	Unfamiliar	14	meg/u084.bmp
213.825	0	214375	Scrambled	17	meg/s110.bmp
217.389	0	217939	Scrambled	17	meg/s031.bmp
220.843	0	221393	Scrambled	18	meg/s031.bmp
224.298	0	224848	Unfamiliar	15	meg/u021.bmp
227.955	0	228505	Unfamiliar	13	meg/u131.bmp
231.446	0	231996	Unfamiliar	14	meg/u131.bmp
234.919	0	235469	Unfamiliar	15	meg/u008.bmp
238.337	0	238887	Famous	5	meg/f117.bmp
241.884	0	242434	Scrambled	17	meg/s136.bmp
245.412	0	245962	Unfamiliar	13	meg/u051.bmp
249.105	0	249655	Scrambled	19	meg/s110.bmp
252.523	0	253073	Scrambled	17	meg/s048.bmp
255.849	0	256399	Famous	5	meg/f058.bmp
259.193	0	259743	Scrambled	17	meg/s033.bmp
262.703	0	263253	Scrambled	18	meg/s033.bmp
266.25	0	266800	Famous	7	meg/f117.bmp
269.613	0	270163	Famous	5	meg/f132.bmp
272.975	0	273525	Scrambled	19	meg/s136.bmp
276.467	0	277017	Famous	5	meg/f116.bmp
279.94	0	280490	Famous	6	meg/f116.bmp
283.358	0	283908	Unfamiliar	15	meg/u051.bmp
286.849	0	287399	Scrambled	17	meg/s066.bmp
290.34	0	290890	Scrambled	18	meg/s066.bmp
