onset	duration	response_time	button_press	stim_file
n/a	n/a	7.168	1	meg/f103.bmp
n/a	n/a	5.453	2	meg/u052.bmp
n/a	n/a	7.315	2	meg/u008.bmp
n/a	n/a	6.066	2	meg/f050.bmp
n/a	n/a	2.765	1	meg/u032.bmp
n/a	n/a	5.18	1	meg/u090.bmp
n/a	n/a	4.284	3	meg/f049.bmp
n/a	n/a	1.386	1	meg/u095.bmp
n/a	n/a	3.931	1	meg/u132.bmp
n/a	n/a	4.017	1	meg/u022.bmp
n/a	n/a	8.045	2	meg/f071.bmp
n/a	n/a	3.718	2	meg/f109.bmp
n/a	n/a	9.556	1	meg/f085.bmp
n/a	n/a	3.06	3	meg/f012.bmp
n/a	n/a	4.213	1	meg/f038.bmp
n/a	n/a	6.599	3	meg/f145.bmp
n/a	n/a	4.268	1	meg/f057.bmp
n/a	n/a	2.363	2	meg/f074.bmp
n/a	n/a	2.259	3	meg/u129.bmp
n/a	n/a	3.63	1	meg/u019.bmp
n/a	n/a	1.136	1	meg/u066.bmp
n/a	n/a	2.203	2	meg/f113.bmp
n/a	n/a	2.522	1	meg/u056.bmp
n/a	n/a	2.387	1	meg/u119.bmp
n/a	n/a	3.09	1	meg/f143.bmp
n/a	n/a	3.731	3	meg/f137.bmp
n/a	n/a	2.208	1	meg/f135.bmp
n/a	n/a	4.99	1	meg/f084.bmp
n/a	n/a	4.575	2	meg/u094.bmp
n/a	n/a	3.33	1	meg/f136.bmp
n/a	n/a	2.633	1	meg/u143.bmp
n/a	n/a	5.053	2	meg/u042.bmp
n/a	n/a	2.083	1	meg/u141.bmp
n/a	n/a	5.423	1	meg/f106.bmp
n/a	n/a	6.406	3	meg/f055.bmp
n/a	n/a	3.41	1	meg/u078.bmp
n/a	n/a	4.597	2	meg/f030.bmp
n/a	n/a	4.479	1	meg/f051.bmp
n/a	n/a	2.037	1	meg/u115.bmp
n/a	n/a	7.05	2	meg/f141.bmp
n/a	n/a	1.964	1	meg/f148.bmp
n/a	n/a	2.541	1	meg/u048.bmp
n/a	n/a	4.517	2	meg/f066.bmp
n/a	n/a	3.929	3	meg/f111.bmp
n/a	n/a	1.031	1	meg/u031.bmp
n/a	n/a	0.895	1	meg/f105.bmp
n/a	n/a	2.076	1	meg/f060.bmp
n/a	n/a	2.015	1	meg/u137.bmp
n/a	n/a	1.629	1	meg/u057.bmp
n/a	n/a	1.764	1	meg/u060.bmp
n/a	n/a	2.869	2	meg/f131.bmp
n/a	n/a	0.991	1	meg/u044.bmp
n/a	n/a	0.968	1	meg/f059.bmp
n/a	n/a	2.219	1	meg/u147.bmp
n/a	n/a	2.217	1	meg/u018.bmp
n/a	n/a	2.423	1	meg/u002.bmp
n/a	n/a	4.708	1	meg/f119.bmp
n/a	n/a	2.513	1	meg/u139.bmp
n/a	n/a	3.866	3	meg/u108.bmp
n/a	n/a	1.834	1	meg/f083.bmp
n/a	n/a	1.712	1	meg/u015.bmp
n/a	n/a	2.162	1	meg/f062.bmp
n/a	n/a	3.626	1	meg/f070.bmp
n/a	n/a	1.556	1	meg/u004.bmp
n/a	n/a	1.214	1	meg/u010.bmp
n/a	n/a	3.198	1	meg/u049.bmp
n/a	n/a	5.21	1	meg/f002.bmp
n/a	n/a	2.962	1	meg/u102.bmp
n/a	n/a	4.145	2	meg/f015.bmp
n/a	n/a	1.453	1	meg/u097.bmp
n/a	n/a	3.107	2	meg/f016.bmp
n/a	n/a	0.948	1	meg/u135.bmp
n/a	n/a	2.439	1	meg/f001.bmp
n/a	n/a	2.148	1	meg/f056.bmp
n/a	n/a	0.916	1	meg/u130.bmp
n/a	n/a	3.313	2	meg/f090.bmp
n/a	n/a	2.248	1	meg/u070.bmp
n/a	n/a	1.388	1	meg/u091.bmp
n/a	n/a	1.029	1	meg/f035.bmp
n/a	n/a	4.381	1	meg/u053.bmp
n/a	n/a	6.887	2	meg/f075.bmp
n/a	n/a	4.664	2	meg/f146.bmp
n/a	n/a	1.855	3	meg/f053.bmp
n/a	n/a	1.908	1	meg/u062.bmp
n/a	n/a	2.455	1	meg/f126.bmp
n/a	n/a	3.027	2	meg/f025.bmp
n/a	n/a	0.95	1	meg/u074.bmp
n/a	n/a	6.192	1	meg/f100.bmp
n/a	n/a	1.127	1	meg/u077.bmp
n/a	n/a	1.61	1	meg/u014.bmp
n/a	n/a	1.45	2	meg/f033.bmp
n/a	n/a	4.184	2	meg/f054.bmp
n/a	n/a	1.171	1	meg/f133.bmp
n/a	n/a	2.316	1	meg/f024.bmp
n/a	n/a	0.974	1	meg/u021.bmp
n/a	n/a	7.656	1	meg/u045.bmp
n/a	n/a	0.945	1	meg/u067.bmp
n/a	n/a	1.66	1	meg/f028.bmp
n/a	n/a	4.657	1	meg/u064.bmp
n/a	n/a	1.015	2	meg/f129.bmp
n/a	n/a	1.384	1	meg/u089.bmp
n/a	n/a	1.025	3	meg/f026.bmp
n/a	n/a	5.785	1	meg/f093.bmp
n/a	n/a	4.808	1	meg/u065.bmp
n/a	n/a	1.441	2	meg/f040.bmp
n/a	n/a	3.831	3	meg/f004.bmp
n/a	n/a	3.025	1	meg/u086.bmp
n/a	n/a	2.573	2	meg/f099.bmp
n/a	n/a	3.98	1	meg/f021.bmp
n/a	n/a	1.471	1	meg/f064.bmp
n/a	n/a	1.124	2	meg/f068.bmp
n/a	n/a	0.88	1	meg/f095.bmp
n/a	n/a	0.686	1	meg/u069.bmp
n/a	n/a	1.363	1	meg/u034.bmp
n/a	n/a	1.277	1	meg/f088.bmp
n/a	n/a	0.946	1	meg/f123.bmp
n/a	n/a	0.653	1	meg/f138.bmp
n/a	n/a	1.677	2	meg/f130.bmp
n/a	n/a	0.929	1	meg/f124.bmp
n/a	n/a	1.037	1	meg/u123.bmp
n/a	n/a	1.484	2	meg/u105.bmp
n/a	n/a	0.665	1	meg/u003.bmp
