response_time	button_press	stim_file
0.809	1	meg/u007.bmp
0.691	2	meg/f085.bmp
0.633	3	meg/f030.bmp
0.633	1	meg/u109.bmp
0.761	1	meg/u097.bmp
0.772	1	meg/f113.bmp
0.695	1	meg/u119.bmp
0.621	2	meg/f086.bmp
0.726	1	meg/u115.bmp
0.786	1	meg/u074.bmp
0.604	3	meg/f028.bmp
0.606	1	meg/f148.bmp
0.775	1	meg/f017.bmp
1.77	1	meg/u047.bmp
0.915	2	meg/f055.bmp
0.82	3	meg/f144.bmp
0.9	1	meg/u010.bmp
0.801	1	meg/u027.bmp
2.011	1	meg/u102.bmp
0.745	1	meg/u072.bmp
0.789	3	meg/f129.bmp
1.159	3	meg/f040.bmp
0.609	3	meg/f008.bmp
1.083	1	meg/f141.bmp
1.12	1	meg/f096.bmp
0.724	3	meg/f094.bmp
1.129	1	meg/f079.bmp
0.972	2	meg/u006.bmp
1.134	1	meg/u137.bmp
0.985	1	meg/u146.bmp
1.003	1	meg/u069.bmp
2.476	2	meg/f029.bmp
0.718	1	meg/u001.bmp
1.636	1	meg/u136.bmp
1.098	1	meg/u150.bmp
0.775	3	meg/f074.bmp
1.586	1	meg/u042.bmp
0.827	3	meg/f035.bmp
0.827	1	meg/u126.bmp
1.243	1	meg/u008.bmp
0.842	3	meg/f116.bmp
0.985	3	meg/f095.bmp
1.067	3	meg/f143.bmp
0.705	1	meg/u073.bmp
0.695	3	meg/f065.bmp
1.573	2	meg/f080.bmp
1.221	1	meg/f145.bmp
1.437	2	meg/f140.bmp
0.716	1	meg/u058.bmp
0.985	3	meg/f128.bmp
1.291	2	meg/f111.bmp
0.736	3	meg/f032.bmp
0.82	1	meg/u117.bmp
0.763	1	meg/f007.bmp
0.806	3	meg/f018.bmp
0.775	1	meg/u061.bmp
1.282	3	meg/f042.bmp
0.679	1	meg/f038.bmp
0.814	3	meg/f146.bmp
0.735	1	meg/u147.bmp
1.5	2	meg/f123.bmp
0.656	1	meg/u087.bmp
0.887	1	meg/u002.bmp
0.877	1	meg/u114.bmp
1.171	1	meg/f083.bmp
1.061	1	meg/f021.bmp
1.946	1	meg/u110.bmp
1.019	1	meg/u122.bmp
0.899	3	meg/f150.bmp
0.673	1	meg/u085.bmp
1.168	1	meg/u141.bmp
1.45	1	meg/u121.bmp
0.704	3	meg/f110.bmp
1.158	1	meg/f115.bmp
1.672	1	meg/u099.bmp
1.124	3	meg/f093.bmp
1.104	1	meg/u108.bmp
0.876	3	meg/f005.bmp
0.738	3	meg/f024.bmp
1.078	3	meg/f041.bmp
0.995	1	meg/u084.bmp
1.605	2	meg/f122.bmp
0.716	1	meg/u082.bmp
1.793	3	meg/f019.bmp
1.313	1	meg/f134.bmp
1.189	1	meg/u104.bmp
1.326	1	meg/u048.bmp
1.145	1	meg/u005.bmp
1.82	1	meg/u049.bmp
1.314	1	meg/f149.bmp
0.878	1	meg/f142.bmp
0.692	1	meg/u044.bmp
1.218	3	meg/f011.bmp
0.874	1	meg/f063.bmp
0.697	3	meg/f027.bmp
0.607	1	meg/u096.bmp
1.88	1	meg/u019.bmp
0.732	3	meg/f081.bmp
0.657	3	meg/f064.bmp
0.64	1	meg/u063.bmp
0.8	1	meg/u123.bmp
1.002	1	meg/u020.bmp
1.426	1	meg/u012.bmp
0.545	3	meg/f126.bmp
0.734	1	meg/u103.bmp
1.322	1	meg/u057.bmp
1.046	1	meg/u060.bmp
1.669	1	meg/u095.bmp
1.194	2	meg/f068.bmp
0.667	1	meg/u013.bmp
0.866	1	meg/u017.bmp
0.881	3	meg/f084.bmp
0.767	3	meg/f135.bmp
0.731	1	meg/u140.bmp
0.695	3	meg/f100.bmp
0.764	1	meg/u039.bmp
0.687	1	meg/u083.bmp
1.213	1	meg/u062.bmp
0.854	1	meg/u059.bmp
0.845	1	meg/f082.bmp
0.932	3	meg/f012.bmp
0.776	1	meg/f056.bmp
0.643	3	meg/f039.bmp
0.771	3	meg/f059.bmp
1.189	1	meg/f102.bmp
0.894	2	meg/f015.bmp
0.788	3	meg/f049.bmp
0.621	1	meg/u065.bmp
1.102	2	meg/u022.bmp
0.843	1	meg/u124.bmp
1.05	1	meg/f020.bmp
0.682	1	meg/u038.bmp
0.968	1	meg/u066.bmp
1.403	2	meg/u052.bmp
0.627	1	meg/u051.bmp
0.548	1	meg/u135.bmp
0.601	1	meg/u100.bmp
0.747	1	meg/u112.bmp
0.951	1	meg/f137.bmp
0.514	1	meg/u036.bmp
