onset	duration	circle_duration	stim_type	trigger	button_pushed	response_time	stim_file
0	.968	.520	SCRAMBLED	17	7	.481	func/s037.bmp
3.241	.818	.506	SCRAMBLED	17	7	.557	func/s036.bmp
6.398	.956	.450	FAMOUS	5	4	.588	func/f047.bmp
9.688	.924	.557	FAMOUS	6	4	.572	func/f047.bmp
12.929	.849	.525	UNFAMILIAR	13	7	.536	func/u041.bmp
16.119	.912	.553	FAMOUS	5	7	.604	func/f040.bmp
19.36	.836	.557	FAMOUS	6	7	.581	func/f040.bmp
22.467	.819	.493	FAMOUS	5	7	.670	func/f042.bmp
25.49	.828	.438	FAMOUS	6	7	.569	func/f042.bmp
28.53	.959	.441	SCRAMBLED	19	7	.652	func/s037.bmp
31.236	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
51.848	.991	.552	SCRAMBLED	17	7	.712	func/s044.bmp
55.206	.955	.589	SCRAMBLED	19	7	.549	func/s036.bmp
58.346	.929	.413	SCRAMBLED	17	7	.513	func/s042.bmp
61.47	.934	.428	SCRAMBLED	18	7	.543	func/s042.bmp
64.627	.944	.458	SCRAMBLED	17	7	.522	func/s045.bmp
67.867	.927	.531	SCRAMBLED	18	7	.384	func/s045.bmp
71.007	.831	.442	UNFAMILIAR	15	4	.682	func/u041.bmp
74.047	.980	.414	UNFAMILIAR	13	4	.645	func/u047.bmp
77.255	.850	.452	SCRAMBLED	17	7	.675	func/s046.bmp
80.361	.805	.493	SCRAMBLED	18	7	.556	func/s046.bmp
83.502	.838	.556	SCRAMBLED	17	7	.467	func/s040.bmp
86.692	.820	.580	SCRAMBLED	19	7	.542	func/s044.bmp
89.715	.973	.423	UNFAMILIAR	13	4	.700	func/u043.bmp
92.973	.974	.503	UNFAMILIAR	13	4	.621	func/u042.bmp
96.146	.822	.426	UNFAMILIAR	14	4	.596	func/u042.bmp
99.22	.875	.452	UNFAMILIAR	13	4	.728	func/u037.bmp
102.46	.988	.600	UNFAMILIAR	14	4	.724	func/u037.bmp
105.784	.881	.563	UNFAMILIAR	15	7	.774	func/u047.bmp
108.858	.949	.431	SCRAMBLED	17	7	.657	func/s035.bmp
111.547	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
132.093	.952	.503	UNFAMILIAR	13	7	.809	func/u034.bmp
135.4	.824	.588	UNFAMILIAR	14	7	.546	func/u034.bmp
138.49	.898	.489	SCRAMBLED	19	7	.473	func/s040.bmp
141.563	.952	.407	SCRAMBLED	17	7	.535	func/s039.bmp
144.821	.812	.546	UNFAMILIAR	15	4	.646	func/u043.bmp
147.911	.814	.508	UNFAMILIAR	13	4	.633	func/u046.bmp
151.018	.856	.494	UNFAMILIAR	13	7	.616	func/u039.bmp
154.158	.924	.511	UNFAMILIAR	14	7	.717	func/u039.bmp
157.282	.826	.426	SCRAMBLED	17	7	.630	func/s043.bmp
160.338	.894	.459	SCRAMBLED	18	7	.537	func/s043.bmp
163.596	.801	.588	SCRAMBLED	19	7	.520	func/s035.bmp
166.585	.819	.426	SCRAMBLED	17	7	.526	func/s048.bmp
169.709	.926	.536	SCRAMBLED	18	7	.405	func/s048.bmp
172.866	.880	.446	FAMOUS	5	4	.727	func/f036.bmp
