onset	trial_type	eventcode
26038	famous_new	5
26975	response	0
29583	famous_second_early	6
30898	response	0
33001	famous_new	5
33902	response	0
36382	unfamiliar_new	13
37265	response	0
39966	unfamiliar_second_early	14
40708	response	0
43328	scrambled_new	17
44059	response	0
46948	unfamiliar_new	13
47860	response	0
50403	famous_new	5
51458	response	0
53894	famous_new	5
55053	response	0
57349	famous_second_late	7
58360	response	0
60859	famous_new	5
61676	response	0
64350	scrambled_new	17
65373	response	0
67731	scrambled_second_early	18
68842	response	0
71169	scrambled_second_late	19
72292	response	0
74806	scrambled_new	17
75712	response	0
78354	scrambled_second_early	18
79364	response	0
81954	unfamiliar_second_late	15
83064	response	0
85574	famous_new	5
86701	response	0
89157	famous_second_late	7
90098	response	0
92613	scrambled_new	17
93781	response	0
96140	scrambled_second_early	18
97494	response	0
99485	famous_second_late	7
100261	response	0
102994	scrambled_new	17
103778	response	0
106376	scrambled_second_early	18
106969	response	0
109775	famous_second_late	7
110526	response	0
113193	famous_new	5
114185	response	0
116538	scrambled_new	17
117706	response	0
120065	scrambled_second_early	18
121045	response	0
123391	scrambled_new	17
124667	response	0
126901	famous_second_late	7
128451	response	0
130411	scrambled_new	17
131105	response	0
133810	famous_new	5
134609	response	0
137210	famous_second_early	6
137812	response	0
140848	scrambled_new	17
141855	response	0
144303	scrambled_second_early	18
145183	response	0
147739	famous_second_late	7
148898	response	0
151139	scrambled_new	17
152152	response	0
154630	scrambled_second_early	18
155960	response	0
158011	famous_new	5
159163	response	0
161411	famous_second_early	6
162054	response	0
164847	scrambled_second_late	19
166012	response	0
168247	famous_new	5
169364	response	0
171591	scrambled_second_late	19
172577	response	0
174990	scrambled_new	17
176413	response	0
178538	scrambled_second_early	18
179356	response	0
182102	unfamiliar_new	13
182986	response	0
185593	famous_new	5
186884	response	0
189195	famous_new	5
190148	response	0
192723	scrambled_new	17
194895	response	0
196178	scrambled_second_early	18
197119	response	0
199724	famous_second_late	7
200722	response	0
203363	famous_new	5
204340	response	0
206891	scrambled_new	17
210160	response	0
210364	unfamiliar_second_late	15
212197	response	0
213929	unfamiliar_new	13
215309	response	0
217346	unfamiliar_second_early	14
218635	response	0
220985	famous_second_late	7
222043	response	0
224495	unfamiliar_new	13
225460	response	0
228078	unfamiliar_second_early	14
228855	response	0
231551	famous_second_late	7
233128	response	0
234914	unfamiliar_new	13
236791	response	0
238589	unfamiliar_new	13
242209	famous_second_late	7
245535	unfamiliar_new	13
246973	response	0
248898	unfamiliar_second_early	14
250521	response	0
252462	scrambled_second_late	19
253683	response	0
255862	unfamiliar_new	13
257245	response	0
259298	unfamiliar_second_early	14
260378	response	0
262881	unfamiliar_new	13
264060	response	0
266336	unfamiliar_new	13
267732	response	0
269846	unfamiliar_second_late	15
271509	response	0
273392	unfamiliar_new	13
274737	response	0
276994	unfamiliar_second_late	15
278840	response	0
280504	scrambled_new	17
282024	response	0
283977	scrambled_second_early	18
287466	response	0
287635	unfamiliar_new	13
291125	unfamiliar_new	13
292382	response	0
294506	unfamiliar_second_early	14
295261	response	0
298053	unfamiliar_second_late	15
299355	response	0
301470	famous_new	5
302650	response	0
304852	famous_second_early	6
305999	response	0
