name	x	y	z
EEG001	-0.0436337	-0.0725876	0.0194036
EEG002	-0.0024484	0.097474	0.0451483
EEG003	0.0368367	-0.076154	0.017567
EEG004	-0.0512157	0.071941	0.0377917
EEG005	-0.0331642	0.0821092	0.0645126
EEG006	-0.00164592	0.0859786	0.0797647
EEG007	0.0314879	0.0813886	0.0697919
EEG008	0.0489273	0.0735239	0.040927
EEG009	-0.0582864	0.0555175	0.036486
EEG010	-0.0547835	0.0613896	0.059023
EEG011	-0.0429495	0.0645363	0.0787062
EEG012	-0.0235987	0.0648331	0.0956678
EEG013	-0.000408145	0.0659737	0.101026
EEG014	0.0225995	0.0578516	0.0993193
EEG015	0.040288	0.0572616	0.0852466
EEG016	0.0522501	0.0552543	0.065585
EEG017	0.0594497	0.0484739	0.0401538
EEG018	-0.0678928	0.0259914	0.00864282
EEG019	-0.0660464	0.0291018	0.0356323
EEG020	-0.0647619	0.0330411	0.0651455
EEG021	-0.0498637	0.0333218	0.091095
EEG022	-0.0302383	0.0354648	0.108811
EEG023	-0.0026004	0.0281782	0.116453
EEG024	0.0266124	0.0258732	0.109721
EEG025	0.0493472	0.024994	0.0938399
EEG026	0.0638531	0.0251907	0.0669004
EEG027	0.0668124	0.0222565	0.0420858
EEG028	0.0683617	0.026146	0.0102817
EEG029	-0.0661225	0.00721507	0.0104309
EEG030	-0.0710537	0.000238433	0.0395065
EEG031	-0.0688824	0.00293931	0.0702673
EEG032	-0.0544925	0.00212601	0.0978394
EEG033	-0.0275539	0.00350356	0.116999
EEG034	-0.00261718	-0.00249767	0.123444
EEG035	0.0265069	-0.00269279	0.116458
EEG036	0.0513097	-0.00310728	0.0996745
EEG037	0.0659093	-0.00195882	0.0729761
EEG038	0.0722131	-0.00367074	0.038957
EEG039	0.0672788	0.0067874	0.0108139
EEG040	-0.0694146	-0.0337566	0.00612849
EEG041	-0.0696346	-0.0275709	0.0398626
EEG042	-0.0670308	-0.027851	0.0736512
EEG043	-0.0531432	-0.0267962	0.0993312
EEG044	-0.0305755	-0.0275384	0.115354
EEG045	-0.000316853	-0.0341638	0.118549
EEG046	0.0285514	-0.0331963	0.112277
EEG047	0.0505792	-0.0329321	0.0951649
EEG048	0.0627027	-0.0305059	0.0728469
EEG049	0.0648018	-0.0332839	0.0406117
EEG050	0.0635535	-0.03443	0.0111614
EEG051	-0.0577303	-0.0539863	0.01583
EEG052	-0.0602343	-0.0518987	0.0489127
EEG053	-0.0569893	-0.0538342	0.0696181
EEG054	-0.0429987	-0.0562229	0.089405
EEG055	-0.0241906	-0.0554681	0.102098
EEG056	0.000422916	-0.059666	0.102149
EEG057	0.02451	-0.0573459	0.0993237
EEG058	0.0410188	-0.0577679	0.0870457
EEG059	0.053108	-0.0558964	0.0662199
EEG060	0.0561758	-0.0564072	0.0439234
EEG065	0.0540123	-0.0573498	0.00994417
EEG066	-0.0481084	-0.0737581	0.049076
EEG067	-0.0320372	-0.0763081	0.0752524
EEG068	0.000636248	-0.0800095	0.0791483
EEG069	0.0278165	-0.0782864	0.0710092
EEG070	0.0417143	-0.0767921	0.0472762
EEG071	-0.0284871	-0.0866909	0.0519417
EEG072	-0.00270044	-0.0904333	0.050179
EEG073	0.0250366	-0.0875582	0.0493815
EEG074	-0.00315348	-0.0904772	0.0179744
