onset	trial_type	eventcode
32811	famous_new	5
33397	response	0
36155	scrambled_new	17
36769	response	0
39573	famous_new	5
40302	response	0
43028	famous_second_early	6
43571	response	0
46501	famous_new	5
47328	response	0
50011	scrambled_new	17
50696	response	0
53502	scrambled_second_early	18
54169	response	0
56938	scrambled_new	17
57623	response	0
60466	scrambled_second_early	18
61067	response	0
63829	famous_second_late	7
64427	response	0
67321	famous_new	5
67999	response	0
70666	famous_second_early	6
71357	response	0
74285	scrambled_second_late	19
74994	response	0
77648	scrambled_new	17
78269	response	0
81157	scrambled_second_early	18
81890	response	0
84814	scrambled_new	17
85837	response	0
88269	scrambled_second_early	18
89194	response	0
91816	famous_second_late	7
92616	response	0
95196	famous_new	5
95982	response	0
98669	unfamiliar_new	13
99407	response	0
102032	unfamiliar_second_early	14
102754	response	0
105579	scrambled_new	17
106504	response	0
109033	unfamiliar_new	13
109793	response	0
112525	unfamiliar_second_early	14
113376	response	0
115869	unfamiliar_new	13
116680	response	0
119269	unfamiliar_new	13
120053	response	0
122558	unfamiliar_second_early	14
123349	response	0
125994	famous_second_late	7
126746	response	0
129358	famous_new	5
130191	response	0
132867	scrambled_new	17
133602	response	0
136413	scrambled_second_late	19
137252	response	0
140070	famous_new	5
140808	response	0
143616	scrambled_new	17
144483	response	0
147255	unfamiliar_second_late	15
147931	response	0
150636	scrambled_new	17
151427	response	0
154164	scrambled_new	17
154952	response	0
157600	scrambled_second_early	18
158289	response	0
161092	famous_second_late	7
161887	response	0
164565	unfamiliar_new	13
165221	response	0
168185	scrambled_second_late	19
168881	response	0
171694	famous_new	5
172603	response	0
175204	famous_second_early	6
176005	response	0
178622	famous_second_late	7
179410	response	0
182058	famous_new	5
182755	response	0
185513	scrambled_second_late	19
186144	response	0
189023	famous_new	5
189724	response	0
192532	famous_second_early	6
193180	response	0
196154	scrambled_second_late	19
196787	response	0
199625	scrambled_new	17
200529	response	0
203098	scrambled_second_early	18
203722	response	0
206480	famous_new	5
207228	response	0
210118	unfamiliar_second_late	15
210810	response	0
213481	scrambled_new	17
214230	response	0
216935	scrambled_second_early	18
217537	response	0
220335	famous_new	5
220969	response	0
223937	famous_second_early	6
224422	response	0
227318	famous_second_late	7
227974	response	0
230827	scrambled_new	17
231426	response	0
234209	famous_new	5
234994	response	0
237773	scrambled_new	17
238525	response	0
241118	scrambled_second_early	18
241913	response	0
244591	famous_second_late	7
245292	response	0
247972	famous_new	5
248842	response	0
251629	famous_new	5
252217	response	0
255322	unfamiliar_new	13
256205	response	0
258777	scrambled_second_late	19
259417	response	0
