name	type	units	description	sampling_frequency	low_cutoff	high_cutoff	notch	software_filters	status
UDIO001	TRIG	V	Stimulus markers	2400	n/a	n/a	n/a	n/a	good
UPPT001	TRIG	V	Stimulus markers	2400	n/a	n/a	n/a	n/a	good
UTRG001	TRIG	V	Stimulus markers	2400	n/a	n/a	n/a	n/a	good
SCLK01-177	SYSCLOCK	S	System time showing elapsed time since trial started	2400	n/a	600	n/a	n/a	good
BG1-4408	MEGREFMAG	T	Reference magnetometer channel	2400	n/a	600	n/a	n/a	good
BG2-4408	MEGREFMAG	T	Reference magnetometer channel	2400	n/a	600	n/a	n/a	good
BG3-4408	MEGREFMAG	T	Reference magnetometer channel	2400	n/a	600	n/a	n/a	good
BP1-4408	MEGREFMAG	T	Reference magnetometer channel	2400	n/a	600	n/a	n/a	good
BP2-4408	MEGREFMAG	T	Reference magnetometer channel	2400	n/a	600	n/a	n/a	good
BP3-4408	MEGREFMAG	T	Reference magnetometer channel	2400	n/a	600	n/a	n/a	good
BR1-4408	MEGREFMAG	T	Reference magnetometer channel	2400	n/a	600	n/a	n/a	good
BR2-4408	MEGREFMAG	T	Reference magnetometer channel	2400	n/a	600	n/a	n/a	good
BR3-4408	MEGREFMAG	T	Reference magnetometer channel	2400	n/a	600	n/a	n/a	good
G11-4408	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	n/a	600	n/a	n/a	good
G12-4408	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	n/a	600	n/a	n/a	good
G13-4408	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	n/a	600	n/a	n/a	good
G22-4408	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	n/a	600	n/a	n/a	good
G23-4408	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	n/a	600	n/a	n/a	good
P11-4408	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	n/a	600	n/a	n/a	good
P12-4408	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	n/a	600	n/a	n/a	good
P13-4408	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	n/a	600	n/a	n/a	good
P22-4408	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	n/a	600	n/a	n/a	good
P23-4408	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	n/a	600	n/a	n/a	good
Q11-4408	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	n/a	600	n/a	n/a	good
Q12-4408	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	n/a	600	n/a	n/a	good
Q22-4408	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	n/a	600	n/a	n/a	good
Q23-4408	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	n/a	600	n/a	n/a	good
R12-4408	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	n/a	600	n/a	n/a	good
R13-4408	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	n/a	600	n/a	n/a	good
R22-4408	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	n/a	600	n/a	n/a	good
MLC11-4408	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	n/a	600	n/a	SpatialCompensation	good
MLC12-4408	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	n/a	600	n/a	SpatialCompensation	good
MLC13-4408	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	n/a	600	n/a	SpatialCompensation	good
MLC14-4408	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	n/a	600	n/a	SpatialCompensation	good
MLC15-4408	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	n/a	600	n/a	SpatialCompensation	good
MLC16-4408	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	n/a	600	n/a	SpatialCompensation	good
MLC17-4408	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	n/a	600	n/a	SpatialCompensation	good
MLC21-4408	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	n/a	600	n/a	SpatialCompensation	good
MLC22-4408	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	n/a	600	n/a	SpatialCompensation	good
MLC23-4408	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	n/a	600	n/a	SpatialCompensation	good
MLC24-4408	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	n/a	600	n/a	SpatialCompensation	good
MLC25-4408	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	n/a	600	n/a	SpatialCompensation	good
MLC31-4408	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	n/a	600	n/a	SpatialCompensation	good
MLC32-4408	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	n/a	600	n/a	SpatialCompensation	good
MLC41-4408	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	n/a	600	n/a	SpatialCompensation	good
MLC42-4408	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	n/a	600	n/a	SpatialCompensation	good
MLC51-4408	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	n/a	600	n/a	SpatialCompensation	good
