onset	duration	trial_type	cash_demean	control_pumps_demean	explode_demean	pumps_demean
0.057999999999999996	2.424	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
0.057999999999999996	0.772	pumps_demean	n/a	n/a	n/a	-1.0
5.0760000000000005	0.831	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
5.0760000000000005	0.772	pumps_demean	n/a	n/a	n/a	0.0
8.154	3.9530000000000003	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
8.154	0.772	pumps_demean	n/a	n/a	n/a	1.0
15.011	9.879	cash_fixed_real_RT	n/a	n/a	n/a	n/a
15.011	0.772	cash_demean	0.885	n/a	n/a	n/a
33.363	0.772	pumps_demean	n/a	n/a	n/a	-0.5
33.363	2.064	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
37.298	0.772	pumps_demean	n/a	n/a	n/a	0.5
37.298	1.036	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
40.73	0.772	cash_demean	-0.115	n/a	n/a	n/a
40.73	0.6970000000000001	cash_fixed_real_RT	n/a	n/a	n/a	n/a
46.77	0.772	pumps_demean	n/a	n/a	n/a	-0.5
46.77	3.057	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
52.86	0.831	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
52.86	0.772	pumps_demean	n/a	n/a	n/a	0.5
56.038000000000004	0.772	cash_demean	-0.115	n/a	n/a	n/a
56.038000000000004	0.813	cash_fixed_real_RT	n/a	n/a	n/a	n/a
63.468999999999994	2.03	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
63.468999999999994	0.772	pumps_demean	n/a	n/a	n/a	-0.5
67.668	0.735	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
67.668	0.772	pumps_demean	n/a	n/a	n/a	0.5
70.74	0.772	cash_demean	-0.115	n/a	n/a	n/a
70.74	1.5590000000000002	cash_fixed_real_RT	n/a	n/a	n/a	n/a
78.911	1.518	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
78.911	0.772	pumps_demean	n/a	n/a	n/a	-0.5
82.694	0.772	pumps_demean	n/a	n/a	n/a	0.5
82.694	0.76	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
85.694	0.772	cash_demean	-0.115	n/a	n/a	n/a
85.694	0.765	cash_fixed_real_RT	n/a	n/a	n/a	n/a
93.726	0.772	pumps_demean	n/a	n/a	n/a	-0.5
93.726	1.197	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
97.477	0.772	pumps_demean	n/a	n/a	n/a	0.5
97.477	0.758	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
100.38600000000001	0.772	cash_demean	-0.115	n/a	n/a	n/a
100.38600000000001	0.73	cash_fixed_real_RT	n/a	n/a	n/a	n/a
104.23700000000001	0.767	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
104.23700000000001	0.772	pumps_demean	n/a	n/a	n/a	-0.5
107.43299999999999	0.772	pumps_demean	n/a	n/a	n/a	0.5
107.43299999999999	0.698	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
111.07700000000001	1.031	cash_fixed_real_RT	n/a	n/a	n/a	n/a
111.07700000000001	0.772	cash_demean	-0.115	n/a	n/a	n/a
116.244	0.831	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
116.244	0.772	pumps_demean	n/a	n/a	n/a	-1.0
119.693	0.772	pumps_demean	n/a	n/a	n/a	0.0
119.693	0.6459999999999999	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
121.611	0.772	pumps_demean	n/a	n/a	n/a	1.0
121.611	0.568	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
123.56200000000001	0.772	cash_demean	0.885	n/a	n/a	n/a
123.56200000000001	3.5780000000000003	cash_fixed_real_RT	n/a	n/a	n/a	n/a
133.863	0.7490000000000001	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
133.863	0.772	pumps_demean	n/a	n/a	n/a	-0.5
136.512	0.772	pumps_demean	n/a	n/a	n/a	0.5
136.512	1.235	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
140.084	0.772	explode_demean	n/a	n/a	0.0	n/a
145.77700000000002	0.772	pumps_demean	n/a	n/a	n/a	-1.0
145.77700000000002	1.611	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
150.395	0.649	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
150.395	0.772	pumps_demean	n/a	n/a	n/a	0.0
152.299	0.772	pumps_demean	n/a	n/a	n/a	1.0
152.299	0.657	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
154.173	0.772	cash_demean	0.885	n/a	n/a	n/a
154.173	0.654	cash_fixed_real_RT	n/a	n/a	n/a	n/a
158.082	5.972	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
158.082	0.772	control_pumps_demean	n/a	0.0	n/a	n/a
173.856	1.7719999999999998	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
173.856	0.772	pumps_demean	n/a	n/a	n/a	-0.5
176.74099999999999	2.858	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
176.74099999999999	0.772	pumps_demean	n/a	n/a	n/a	0.5
181.192	0.772	cash_demean	-0.115	n/a	n/a	n/a
181.192	0.996	cash_fixed_real_RT	n/a	n/a	n/a	n/a
189.845	0.772	pumps_demean	n/a	n/a	n/a	-1.0
189.845	0.792	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
192.567	0.677	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
192.567	0.772	pumps_demean	n/a	n/a	n/a	0.0
194.412	0.616	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
194.412	0.772	pumps_demean	n/a	n/a	n/a	1.0
197.38099999999997	0.772	cash_demean	0.885	n/a	n/a	n/a
197.38099999999997	0.696	cash_fixed_real_RT	n/a	n/a	n/a	n/a
204.82299999999998	1.7730000000000001	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
204.82299999999998	0.772	pumps_demean	n/a	n/a	n/a	-1.0
207.78599999999997	0.555	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
207.78599999999997	0.772	pumps_demean	n/a	n/a	n/a	0.0
211.11	1.167	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
211.11	0.772	pumps_demean	n/a	n/a	n/a	1.0
214.638	0.695	cash_fixed_real_RT	n/a	n/a	n/a	n/a
214.638	0.772	cash_demean	0.885	n/a	n/a	n/a
219.873	0.772	control_pumps_demean	n/a	-5.5	n/a	n/a
219.873	1.308	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
222.796	0.772	control_pumps_demean	n/a	-4.5	n/a	n/a
222.796	1.161	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
226.671	0.67	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
226.671	0.772	control_pumps_demean	n/a	-3.5	n/a	n/a
229.502	0.47100000000000003	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
229.502	0.772	control_pumps_demean	n/a	-2.5	n/a	n/a
231.685	0.47200000000000003	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
231.685	0.772	control_pumps_demean	n/a	-1.5	n/a	n/a
234.75799999999998	0.772	control_pumps_demean	n/a	-0.5	n/a	n/a
234.75799999999998	0.46299999999999997	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
236.405	0.44	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
236.405	0.772	control_pumps_demean	n/a	0.5	n/a	n/a
239.47400000000002	0.603	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
239.47400000000002	0.772	control_pumps_demean	n/a	1.5	n/a	n/a
241.422	0.772	control_pumps_demean	n/a	2.5	n/a	n/a
241.422	0.47100000000000003	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
243.166	0.772	control_pumps_demean	n/a	3.5	n/a	n/a
243.166	0.43	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
245.165	0.44799999999999995	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
245.165	0.772	control_pumps_demean	n/a	4.5	n/a	n/a
247.778	0.395	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
247.778	0.772	control_pumps_demean	n/a	5.5	n/a	n/a
257.139	0.772	pumps_demean	n/a	n/a	n/a	-0.5
257.139	2.074	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
261.684	0.473	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
261.684	0.772	pumps_demean	n/a	n/a	n/a	0.5
264.409	0.772	explode_demean	n/a	n/a	0.0	n/a
267.849	0.98	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
267.849	0.772	pumps_demean	n/a	n/a	n/a	-1.0
271.474	0.772	pumps_demean	n/a	n/a	n/a	0.0
271.474	1.6030000000000002	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
275.24	1.781	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
275.24	0.772	pumps_demean	n/a	n/a	n/a	1.0
279.545	1.1	cash_fixed_real_RT	n/a	n/a	n/a	n/a
279.545	0.772	cash_demean	0.885	n/a	n/a	n/a
288.08	1.805	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
288.08	0.772	control_pumps_demean	n/a	-5.0	n/a	n/a
292.684	0.772	control_pumps_demean	n/a	-4.0	n/a	n/a
292.684	0.441	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
295.992	0.772	control_pumps_demean	n/a	-3.0	n/a	n/a
295.992	0.43799999999999994	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
299.061	0.505	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
299.061	0.772	control_pumps_demean	n/a	-2.0	n/a	n/a
300.781	0.44799999999999995	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
300.781	0.772	control_pumps_demean	n/a	-1.0	n/a	n/a
302.832	0.33399999999999996	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
302.832	0.772	control_pumps_demean	n/a	0.0	n/a	n/a
304.687	0.43	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
304.687	0.772	control_pumps_demean	n/a	1.0	n/a	n/a
306.605	2.072	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
306.605	0.772	control_pumps_demean	n/a	2.0	n/a	n/a
309.866	0.46	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
309.866	0.772	control_pumps_demean	n/a	3.0	n/a	n/a
311.58099999999996	0.772	control_pumps_demean	n/a	4.0	n/a	n/a
311.58099999999996	0.43200000000000005	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
314.187	0.44299999999999995	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
314.187	0.772	control_pumps_demean	n/a	5.0	n/a	n/a
325.131	0.772	pumps_demean	n/a	n/a	n/a	-0.5
325.131	2.291	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
329.907	0.772	pumps_demean	n/a	n/a	n/a	0.5
329.907	0.667	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
332.788	0.772	cash_demean	-0.115	n/a	n/a	n/a
332.788	3.202	cash_fixed_real_RT	n/a	n/a	n/a	n/a
345.08	1.5490000000000002	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
345.08	0.772	pumps_demean	n/a	n/a	n/a	-0.5
348.532	0.36200000000000004	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
348.532	0.772	pumps_demean	n/a	n/a	n/a	0.5
350.87	0.772	explode_demean	n/a	n/a	0.0	n/a
356.135	1.143	cash_fixed_real_RT	n/a	n/a	n/a	n/a
356.135	0.772	cash_demean	-2.115	n/a	n/a	n/a
366.121	0.606	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
366.121	0.772	pumps_demean	n/a	n/a	n/a	-0.5
368.525	0.772	pumps_demean	n/a	n/a	n/a	0.5
368.525	1.177	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
370.94	2.9810000000000003	cash_fixed_real_RT	n/a	n/a	n/a	n/a
370.94	0.772	cash_demean	-0.115	n/a	n/a	n/a
380.55699999999996	1.2570000000000001	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
380.55699999999996	0.772	pumps_demean	n/a	n/a	n/a	-0.5
383.103	1.135	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
383.103	0.772	pumps_demean	n/a	n/a	n/a	0.5
385.858	0.772	cash_demean	-0.115	n/a	n/a	n/a
385.858	0.66	cash_fixed_real_RT	n/a	n/a	n/a	n/a
390.509	0.772	pumps_demean	n/a	n/a	n/a	-0.5
390.509	0.81	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
392.82599999999996	0.772	pumps_demean	n/a	n/a	n/a	0.5
392.82599999999996	0.405	pumps_fixed_real_RT	n/a	n/a	n/a	n/a
395.38300000000004	1.8159999999999998	cash_fixed_real_RT	n/a	n/a	n/a	n/a
395.38300000000004	0.772	cash_demean	-0.115	n/a	n/a	n/a
402.35	0.772	control_pumps_demean	n/a	-5.0	n/a	n/a
402.35	0.8420000000000001	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
405.596	0.772	control_pumps_demean	n/a	-4.0	n/a	n/a
405.596	0.436	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
407.74	0.772	control_pumps_demean	n/a	-3.0	n/a	n/a
407.74	0.395	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
410.551	0.772	control_pumps_demean	n/a	-2.0	n/a	n/a
410.551	0.384	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
412.459	0.772	control_pumps_demean	n/a	-1.0	n/a	n/a
412.459	0.405	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
415.01199999999994	0.315	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
415.01199999999994	0.772	control_pumps_demean	n/a	0.0	n/a	n/a
416.715	0.46799999999999997	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
416.715	0.772	control_pumps_demean	n/a	1.0	n/a	n/a
419.806	0.772	control_pumps_demean	n/a	2.0	n/a	n/a
419.806	0.449	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
422.148	0.772	control_pumps_demean	n/a	3.0	n/a	n/a
422.148	0.37200000000000005	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
425.18800000000005	0.451	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
425.18800000000005	0.772	control_pumps_demean	n/a	4.0	n/a	n/a
428.55300000000005	0.772	control_pumps_demean	n/a	5.0	n/a	n/a
428.55300000000005	0.45399999999999996	control_pumps_fixed_real_RT	n/a	n/a	n/a	n/a
440.976	0.772	pumps_demean	n/a	n/a	n/a	-1.0
