onset	duration	trial_type	cash_demean	control_pumps_demean	explode_demean	pumps_demean	response_time
0.060	0.772	control_pumps_demean	n/a	-4.500	n/a	n/a	0.675
2.338	0.772	control_pumps_demean	n/a	-3.500	n/a	n/a	0.757
5.228	0.772	control_pumps_demean	n/a	-2.500	n/a	n/a	0.395
7.756	0.772	control_pumps_demean	n/a	-1.500	n/a	n/a	0.611
9.661	0.772	control_pumps_demean	n/a	-0.500	n/a	n/a	0.450
12.344	0.772	control_pumps_demean	n/a	0.500	n/a	n/a	0.510
14.561	0.772	control_pumps_demean	n/a	1.500	n/a	n/a	0.421
17.268	0.772	control_pumps_demean	n/a	2.500	n/a	n/a	0.434
20.520	0.772	control_pumps_demean	n/a	3.500	n/a	n/a	0.543
22.638	0.772	control_pumps_demean	n/a	4.500	n/a	n/a	0.489
34.730	0.772	pumps_demean	n/a	n/a	n/a	0.000	0.805
37.666	0.772	explode_demean	n/a	n/a	-1.000	n/a	n/a
45.908	0.772	pumps_demean	n/a	n/a	n/a	0.000	0.650
47.619	0.772	explode_demean	n/a	n/a	-1.000	n/a	n/a
52.137	0.772	cash_demean	-3.625	n/a	n/a	n/a	0.670
61.384	0.772	pumps_demean	n/a	n/a	n/a	-0.500	0.807
63.411	0.772	pumps_demean	n/a	n/a	n/a	0.500	0.524
66.013	0.772	cash_demean	-1.625	n/a	n/a	n/a	0.554
71.734	0.772	pumps_demean	n/a	n/a	n/a	-1.000	0.569
74.819	0.772	pumps_demean	n/a	n/a	n/a	0.000	0.572
78.255	0.772	pumps_demean	n/a	n/a	n/a	1.000	0.600
80.230	0.772	cash_demean	-0.625	n/a	n/a	n/a	0.473
86.424	0.772	control_pumps_demean	n/a	-5.000	n/a	n/a	0.936
89.482	0.772	control_pumps_demean	n/a	-4.000	n/a	n/a	0.405
91.882	0.772	control_pumps_demean	n/a	-3.000	n/a	n/a	0.438
93.397	0.772	control_pumps_demean	n/a	-2.000	n/a	n/a	0.643
95.863	0.772	control_pumps_demean	n/a	-1.000	n/a	n/a	0.480
97.722	0.772	control_pumps_demean	n/a	0.000	n/a	n/a	0.893
99.949	0.772	control_pumps_demean	n/a	1.000	n/a	n/a	0.746
102.621	0.772	control_pumps_demean	n/a	2.000	n/a	n/a	0.555
105.028	0.772	control_pumps_demean	n/a	3.000	n/a	n/a	0.428
107.203	0.772	control_pumps_demean	n/a	4.000	n/a	n/a	0.501
