onset	duration	trial_type	feedback	TrialNum	StimCond	StimulusNum	Response	response_time	Correct	Feedback
0.195	2.000	feedback	0.440	1	2	7	L	2.052	1	L
4.689	2.000	feedback	0.440	2	2	12	R	2.961	1	R
9.186	2.000	feedback	0.440	3	2	11	R	2.260	1	R
13.588	2.000	feedback	0.440	4	2	4	L	0.961	1	L
18.114	2.000	feedback	-1.560	5	2	6	R	2.082	0	L
22.671	n/a	n/a	n/a	6	2	0	R	2.123	-	-
27.170	n/a	n/a	n/a	7	2	0	R	0.919	-	-
31.670	n/a	n/a	n/a	8	2	0	R	0.692	-	-
36.111	2.000	feedback	0.440	9	2	10	L	1.776	1	L
40.612	2.000	feedback	0.440	10	2	5	R	1.673	1	R
45.112	2.000	feedback	0.440	11	2	7	L	2.311	1	L
49.588	2.000	feedback	0.440	12	2	3	R	0.986	1	R
54.087	2.000	feedback	-1.560	13	2	1	R	1.825	0	L
58.670	n/a	n/a	n/a	14	2	0	R	0.996	-	-
63.170	n/a	n/a	n/a	15	2	0	R	0.528	-	-
67.670	n/a	n/a	n/a	16	2	0	R	0.645	-	-
72.088	2.000	feedback	0.440	17	2	2	R	2.359	1	R
76.612	2.000	feedback	0.440	18	2	5	R	1.779	1	R
81.112	2.000	feedback	0.440	19	2	5	R	2.968	1	R
85.612	2.000	feedback	0.440	20	2	10	L	1.515	1	L
90.084	2.000	feedback	0.440	21	2	4	L	1.209	1	L
94.671	n/a	n/a	n/a	22	2	0	R	1.037	-	-
99.170	n/a	n/a	n/a	23	2	0	R	1.826	-	-
103.671	n/a	n/a	n/a	24	2	0	R	0.726	-	-
108.088	2.000	feedback	-1.560	25	2	1	R	1.617	0	L
112.611	2.000	feedback	0.440	26	2	7	L	2.030	1	L
117.186	2.000	feedback	0.440	27	2	13	L	2.097	1	L
121.686	2.000	feedback	0.440	28	2	11	R	2.412	1	R
126.112	2.000	feedback	0.440	29	2	5	R	1.754	1	R
130.672	n/a	n/a	n/a	30	2	0	R	0.782	-	-
135.171	n/a	n/a	n/a	31	2	0	R	0.595	-	-
139.671	n/a	n/a	n/a	32	2	0	R	1.447	-	-
144.113	2.000	feedback	0.440	33	2	10	L	1.705	1	L
148.612	2.000	feedback	0.440	34	2	10	L	1.887	1	L
153.109	2.000	feedback	0.440	35	2	10	L	1.960	1	L
157.611	2.000	feedback	0.440	36	2	10	L	1.624	1	L
162.186	2.000	feedback	-1.560	37	2	11	L	2.195	0	R
166.671	n/a	n/a	n/a	38	2	0	R	1.193	-	-
171.171	n/a	n/a	n/a	39	2	0	R	1.132	-	-
175.671	n/a	n/a	n/a	40	2	0	R	1.056	-	-
180.087	2.000	feedback	0.440	41	2	2	R	1.221	1	R
184.587	2.000	feedback	-1.560	42	2	1	R	1.458	0	L
189.087	2.000	feedback	0.440	43	2	3	R	1.126	1	R
193.611	2.000	feedback	0.440	44	2	5	R	2.842	1	R
198.088	2.000	feedback	0.440	45	2	2	R	1.245	1	R
202.671	n/a	n/a	n/a	46	2	0	R	0.754	-	-
207.171	n/a	n/a	n/a	47	2	0	R	1.462	-	-
211.671	n/a	n/a	n/a	48	2	0	R	0.674	-	-
216.087	2.000	feedback	0.440	49	2	4	L	1.088	1	L
220.686	2.000	feedback	-1.560	50	2	12	L	1.953	0	R
225.186	2.000	feedback	-1.560	51	2	13	R	2.133	0	L
229.686	2.000	feedback	-1.560	52	2	12	L	2.018	0	R
234.112	2.000	feedback	-1.560	53	2	10	R	2.568	0	L
238.670	n/a	n/a	n/a	54	2	0	R	0.988	-	-
243.171	n/a	n/a	n/a	55	2	0	R	0.560	-	-
247.671	n/a	n/a	n/a	56	2	0	R	0.995	-	-
252.087	2.000	feedback	0.440	57	2	4	L	2.001	1	L
256.611	2.000	feedback	0.440	58	2	7	L	1.805	1	L
261.111	2.000	feedback	0.440	59	2	8	R	1.064	1	R
265.687	2.000	feedback	0.440	60	2	13	L	1.369	1	L
270.111	2.000	feedback	0.440	61	2	7	L	1.176	1	L
274.671	n/a	n/a	n/a	62	2	0	R	0.877	-	-
279.171	n/a	n/a	n/a	63	2	0	R	0.496	-	-
283.671	n/a	n/a	n/a	64	2	0	R	0.918	-	-
288.187	2.000	feedback	0.440	65	2	13	L	1.840	1	L
292.686	2.000	feedback	0.440	66	2	13	L	2.612	1	L
297.112	2.000	feedback	-1.560	67	2	9	L	1.376	0	R
301.612	2.000	feedback	0.440	68	2	6	L	2.669	1	L
306.112	2.000	feedback	0.440	69	2	10	L	1.545	1	L
310.671	n/a	n/a	n/a	70	2	0	R	1.023	-	-
315.171	n/a	n/a	n/a	71	2	0	R	0.626	-	-
319.670	n/a	n/a	n/a	72	2	0	R	0.839	-	-
324.108	2.000	feedback	0.440	73	2	7	L	1.346	1	L
328.615	2.000	feedback	0.440	74	2	5	R	1.591	1	R
333.190	2.000	feedback	-1.560	75	2	12	L	2.219	0	R
337.588	2.000	feedback	0.440	76	2	3	R	2.126	1	R
342.088	2.000	feedback	0.440	77	2	2	R	1.986	1	R
346.671	n/a	n/a	n/a	78	2	0	R	1.736	-	-
351.171	n/a	n/a	n/a	79	2	0	R	0.892	-	-
355.672	n/a	n/a	n/a	80	2	0	R	0.343	-	-
