onset	duration	trial_type	feedback	TrialNum	StimCond	StimulusNum	Response	RT	Correct	Feedback
0.197	2.0	feedback	0.8	1	1	8	R	1.8619999999999999	1	R
4.6945	2.0	feedback	0.8	2	1	11	R	2.04	1	R
9.1075	2.0	feedback	-1.2	3	1	10	R	1.345	0	L
13.610499999999998	2.0	feedback	-1.2	4	1	6	R	1.412	0	L
18.115000000000002	2.0	feedback	0.8	5	1	8	R	1.8319999999999999	1	R
22.67	n/a	n/a	n/a	6	1	0	R	1.1640000000000001	-	-
27.177	n/a	n/a	n/a	7	1	0	R	0.865	-	-
31.676	n/a	n/a	n/a	8	1	0	R	0.773	-	-
36.1895	2.0	feedback	0.8	9	1	11	R	1.4469999999999998	1	R
40.6105	2.0	feedback	0.8	10	1	6	L	2.174	1	L
45.1145	2.0	feedback	-1.2	11	1	8	R	2.002	1	L
49.6905	2.0	feedback	0.8	12	1	11	R	2.057	1	R
54.1075	2.0	feedback	-1.2	13	1	10	R	1.84	0	L
58.676	n/a	n/a	n/a	14	1	0	R	0.7659999999999999	-	-
63.176	n/a	n/a	n/a	15	1	0	R	0.563	-	-
67.67699999999999	n/a	n/a	n/a	16	1	0	R	0.67	-	-
72.1905	2.0	feedback	0.8	17	1	11	R	1.7269999999999999	1	R
76.69	2.0	feedback	0.8	18	1	11	L	2.628	0	L
81.0885	2.0	feedback	-1.2	19	1	1	L	1.831	0	R
85.58449999999999	2.0	feedback	0.8	20	1	3	R	1.811	0	R
90.092	2.0	feedback	-1.2	21	1	2	L	2.44	0	R
94.669	n/a	n/a	n/a	22	1	0	R	0.935	-	-
99.175	n/a	n/a	n/a	23	1	0	R	0.733	-	-
103.676	n/a	n/a	n/a	24	1	0	R	1.192	-	-
108.0855	2.0	feedback	-1.2	25	1	3	R	2.0540000000000003	0	L
112.61	2.0	feedback	-1.2	26	1	6	L	2.569	1	R
117.18950000000001	2.0	feedback	-1.2	27	1	11	L	2.226	0	R
121.6185	2.0	feedback	-1.2	28	1	5	-	0.0	-1	R
126.0875	2.0	feedback	0.8	29	1	1	R	1.4340000000000002	1	R
130.67600000000002	n/a	n/a	n/a	30	1	0	R	1.194	-	-
135.17700000000002	n/a	n/a	n/a	31	1	0	R	1.181	-	-
139.67600000000002	n/a	n/a	n/a	32	1	0	R	0.594	-	-
144.0885	2.0	feedback	0.8	33	1	1	R	1.122	1	R
148.608	2.0	feedback	0.8	34	1	10	L	1.903	1	L
153.19	2.0	feedback	0.8	35	1	11	R	1.547	1	R
157.607	2.0	feedback	-1.2	36	1	10	R	1.537	0	L
