onset	duration	trial_type	TrialNum	StimCond	StimulusNum	Response	RT	Correct
0.121	2.0	classification-probabilistic	1.0	1.0	10.0	L	0.51	1.0
3.3845	2.0	classification-probabilistic	3.0	1.0	6.0	L	0.563	1.0
6.425	2.0	classification-probabilistic	5.0	1.0	1.0	L	0.515	0.0
10.7765	2.0	classification-probabilistic	7.0	1.0	8.0	R	0.596	1.0
15.4005	2.0	classification-deterministic	9.0	2.0	5.0	L	0.732	0.0
19.025	2.0	classification-deterministic	11.0	2.0	13.0	L	0.71	1.0
22.2215	2.0	classification-deterministic	13.0	2.0	10.0	L	0.93	1.0
27.0905	2.0	classification-deterministic	15.0	2.0	3.0	R	0.652	1.0
34.7025	2.0	classification-deterministic	17.0	2.0	12.0	L	0.644	0.0
40.2075	2.0	classification-probabilistic	19.0	1.0	14.0	R	0.727	1.0
43.4225	2.0	classification-probabilistic	21.0	1.0	1.0	L	0.633	0.0
50.418	2.0	classification-deterministic	23.0	2.0	12.0	L	0.787	0.0
55.7	2.0	classification-probabilistic	n/a	n/a	n/a	n/a	n/a	n/a
55.75	n/a	n/a	25.0	1.0	8.0	-	0.0	-1.0
59.501	2.0	classification-probabilistic	27.0	1.0	5.0	-	0.0	-1.0
63.8985	2.0	classification-probabilistic	29.0	1.0	10.0	L	0.726	1.0
67.8855	2.0	classification-probabilistic	31.0	1.0	10.0	L	0.577	1.0
72.7005	2.0	classification-deterministic	33.0	2.0	2.0	R	0.778	1.0
77.191	2.0	classification-probabilistic	35.0	1.0	14.0	-	0.0	-1.0
82.113	2.0	classification-deterministic	37.0	2.0	5.0	R	0.866	1.0
88.978	2.0	classification-deterministic	39.0	2.0	4.0	L	0.671	1.0
93.4225	2.0	classification-deterministic	41.0	2.0	4.0	L	0.668	1.0
100.2845	2.0	classification-probabilistic	43.0	1.0	6.0	L	0.811	1.0
107.2075	2.0	classification-probabilistic	45.0	1.0	2.0	R	0.57	1.0
110.4115	2.0	classification-deterministic	47.0	2.0	12.0	L	0.578	0.0
113.8135	2.0	classification-deterministic	49.0	2.0	4.0	L	0.686	1.0
117.8185	2.0	classification-deterministic	51.0	2.0	1.0	L	0.644	1.0
125.0895	2.0	classification-probabilistic	53.0	1.0	4.0	L	0.578	1.0
131.5965	2.0	classification-probabilistic	55.0	1.0	13.0	R	0.505	0.0
136.703	2.0	classification-probabilistic	57.0	1.0	1.0	L	0.56	0.0
139.7995	2.0	classification-deterministic	59.0	2.0	11.0	R	0.762	1.0
143.923	2.0	classification-deterministic	61.0	2.0	4.0	L	0.537	1.0
149.7015	2.0	classification-probabilistic	63.0	1.0	4.0	L	0.516	1.0
157.319	2.0	classification-probabilistic	65.0	1.0	11.0	R	0.473	1.0
161.8905	2.0	classification-deterministic	67.0	2.0	7.0	L	0.874	1.0
165.5855	2.0	classification-probabilistic	69.0	1.0	1.0	L	0.673	0.0
169.882	2.0	classification-probabilistic	71.0	1.0	10.0	L	0.643	1.0
173.207	2.0	classification-probabilistic	73.0	1.0	11.0	R	0.87	1.0
176.278	2.0	classification-probabilistic	75.0	1.0	5.0	R	0.843	1.0
180.3835	2.0	classification-probabilistic	77.0	1.0	6.0	L	0.626	1.0
184.9005	2.0	classification-deterministic	79.0	2.0	7.0	L	0.855	1.0
189.392	2.0	classification-deterministic	81.0	2.0	9.0	R	0.645	1.0
192.697	2.0	classification-deterministic	83.0	2.0	4.0	L	0.59	1.0
196.2245	2.0	classification-probabilistic	85.0	1.0	6.0	L	0.699	1.0
199.4155	2.0	classification-probabilistic	87.0	1.0	11.0	R	0.702	1.0
202.701	2.0	classification-probabilistic	89.0	1.0	2.0	R	0.527	1.0
208.686	2.0	classification-probabilistic	91.0	1.0	13.0	R	0.661	0.0
215.591	2.0	classification-deterministic	93.0	2.0	3.0	R	0.647	1.0
222.8165	2.0	classification-deterministic	95.0	2.0	13.0	-	0.0	-1.0
227.1125	2.0	classification-probabilistic	97.0	1.0	6.0	L	0.569	1.0
233.483	2.0	classification-probabilistic	99.0	1.0	3.0	L	0.692	1.0
236.586	2.0	classification-probabilistic	101.0	1.0	4.0	-	0.0	-1.0
240.021	2.0	classification-deterministic	103.0	2.0	12.0	L	1.493	0.0
244.785	2.0	classification-deterministic	105.0	2.0	5.0	R	0.605	1.0
247.9115	2.0	classification-deterministic	107.0	2.0	11.0	R	1.37	1.0
250.9995	2.0	classification-deterministic	109.0	2.0	8.0	R	0.64	1.0
254.4965	2.0	classification-probabilistic	111.0	1.0	6.0	L	0.698	1.0
259.3165	2.0	classification-probabilistic	113.0	1.0	2.0	-	0.0	-1.0
262.3845	2.0	classification-deterministic	115.0	2.0	8.0	R	0.71	1.0
265.884	2.0	classification-deterministic	117.0	2.0	5.0	R	0.859	1.0
272.1115	2.0	classification-deterministic	119.0	2.0	5.0	R	0.757	1.0
275.4965	2.0	classification-probabilistic	121.0	1.0	6.0	L	0.61	1.0
280.025	2.0	classification-probabilistic	123.0	1.0	14.0	-	0.0	-1.0
282.9945	2.0	classification-probabilistic	125.0	1.0	10.0	L	0.675	1.0
289.481	2.0	classification-probabilistic	127.0	1.0	4.0	L	0.57	1.0
293.8875	2.0	classification-deterministic	129.0	2.0	7.0	L	0.886	1.0
300.685	2.0	classification-probabilistic	131.0	1.0	12.0	L	0.723	-1.0
304.9765	2.0	classification-probabilistic	133.0	1.0	2.0	R	0.513	1.0
308.2955	2.0	classification-deterministic	135.0	2.0	12.0	L	0.782	0.0
311.5845	2.0	classification-deterministic	137.0	2.0	1.0	L	0.928	1.0
316.4945	2.0	classification-probabilistic	139.0	1.0	10.0	L	0.664	1.0
323.084	2.0	classification-deterministic	141.0	2.0	1.0	L	0.63	1.0
326.9115	2.0	classification-deterministic	143.0	2.0	14.0	R	0.727	1.0
331.888	2.0	classification-probabilistic	145.0	1.0	5.0	L	0.542	0.0
339.3185	2.0	classification-probabilistic	147.0	1.0	1.0	L	0.698	0.0
342.922	2.0	classification-probabilistic	149.0	1.0	3.0	L	0.635	1.0
347.819	2.0	classification-deterministic	151.0	2.0	4.0	L	0.709	1.0
352.0	2.0	classification-deterministic	153.0	2.0	10.0	L	1.107	1.0
356.1115	2.0	classification-deterministic	155.0	2.0	8.0	R	1.376	1.0
363.0035	2.0	classification-probabilistic	157.0	1.0	8.0	-	0.0	-1.0
367.11	2.0	classification-probabilistic	159.0	1.0	10.0	L	0.801	1.0
371.9955	2.0	classification-probabilistic	161.0	1.0	6.0	L	0.645	1.0
374.996	2.0	classification-deterministic	163.0	2.0	5.0	-	0.0	-1.0
378.1125	2.0	classification-deterministic	165.0	2.0	7.0	-	0.0	-1.0
382.62	2.0	classification-probabilistic	167.0	1.0	10.0	L	0.852	1.0
386.609	2.0	classification-deterministic	169.0	2.0	5.0	R	0.723	1.0
393.014	2.0	classification-deterministic	171.0	2.0	8.0	R	0.713	1.0
397.9005	2.0	classification-deterministic	173.0	2.0	6.0	L	0.816	1.0
400.9995	2.0	classification-deterministic	175.0	2.0	10.0	L	0.838	1.0
407.4155	2.0	classification-probabilistic	177.0	1.0	11.0	R	0.87	1.0
412.813	2.0	classification-deterministic	179.0	2.0	2.0	R	0.604	1.0
419.117	2.0	classification-deterministic	181.0	2.0	9.0	R	0.559	1.0
423.088	2.0	classification-deterministic	183.0	2.0	4.0	-	0.0	-1.0
427.109	2.0	classification-deterministic	185.0	2.0	7.0	L	0.866	1.0
432.017	2.0	classification-probabilistic	187.0	1.0	8.0	R	0.554	1.0
435.111	2.0	classification-probabilistic	189.0	1.0	10.0	-	0.0	-1.0
440.977	2.0	classification-probabilistic	191.0	1.0	2.0	R	0.589	1.0
446.5135	2.0	classification-deterministic	193.0	2.0	10.0	R	0.584	0.0
451.9005	2.0	classification-deterministic	195.0	2.0	10.0	L	0.754	1.0
455.612	2.0	classification-deterministic	197.0	2.0	10.0	L	0.839	1.0
460.222	2.0	classification-deterministic	199.0	2.0	7.0	L	1.004	1.0
