onset	duration	trial_type	feedback	TrialNum	StimCond	StimulusNum	Response	response_time	Correct	Feedback
0.196	2.000	feedback	-1.160	1	1	6	R	1.098	0	L
4.617	2.000	feedback	-1.160	2	1	8	L	0.935	0	R
9.085	2.000	feedback	-1.160	3	1	1	L	0.994	0	R
13.619	2.000	feedback	-1.160	4	1	6	R	0.844	0	L
18.198	2.000	feedback	-1.160	5	1	11	L	1.556	0	R
22.681	n/a	n/a	n/a	6	1	0	R	0.712	-	-
27.182	n/a	n/a	n/a	7	1	0	R	0.379	-	-
31.681	n/a	n/a	n/a	8	1	0	R	0.344	-	-
36.093	2.000	feedback	0.840	9	1	2	R	0.876	1	R
40.612	2.000	feedback	-1.160	10	1	6	L	1.514	1	R
45.111	2.000	feedback	-1.160	11	1	10	L	0.770	1	R
49.586	2.000	feedback	0.840	12	1	4	R	0.895	0	R
54.111	2.000	feedback	-1.160	13	1	10	R	1.474	0	L
58.675	n/a	n/a	n/a	14	1	0	R	0.656	-	-
63.175	n/a	n/a	n/a	15	1	0	R	0.884	-	-
67.676	n/a	n/a	n/a	16	1	0	R	0.383	-	-
72.191	2.000	feedback	0.840	17	1	11	R	1.686	1	R
76.691	2.000	feedback	0.840	18	1	14	R	1.779	1	R
81.111	2.000	feedback	-1.160	19	1	10	R	1.258	0	L
85.690	2.000	feedback	-1.160	20	1	13	R	1.549	0	L
90.109	2.000	feedback	0.840	21	1	10	L	1.605	1	L
94.674	n/a	n/a	n/a	22	1	0	R	0.634	-	-
99.176	n/a	n/a	n/a	23	1	0	R	0.276	-	-
103.675	n/a	n/a	n/a	24	1	0	R	0.322	-	-
108.190	2.000	feedback	-1.160	25	1	13	-	0.000	-1	L
112.691	2.000	feedback	-1.160	26	1	14	R	1.852	1	L
117.086	2.000	feedback	-1.160	27	1	4	R	1.445	0	L
121.588	2.000	feedback	-1.160	28	1	1	L	2.150	0	R
126.087	2.000	feedback	0.840	29	1	3	L	1.068	1	L
130.677	n/a	n/a	n/a	30	1	0	R	0.601	-	-
135.175	n/a	n/a	n/a	31	1	0	R	0.295	-	-
139.674	n/a	n/a	n/a	32	1	0	R	0.301	-	-
144.109	2.000	feedback	0.840	33	1	10	L	1.290	1	L
148.616	2.000	feedback	-1.160	34	1	8	R	1.591	1	L
153.087	2.000	feedback	-1.160	35	1	3	L	0.700	1	R
157.615	2.000	feedback	0.840	36	1	8	R	1.480	1	R
162.115	2.000	feedback	0.840	37	1	8	R	0.900	1	R
166.675	n/a	n/a	n/a	38	1	0	R	0.605	-	-
171.175	n/a	n/a	n/a	39	1	0	R	0.297	-	-
175.675	n/a	n/a	n/a	40	1	0	R	0.813	-	-
180.111	2.000	feedback	-1.160	41	1	7	R	1.182	0	L
184.690	2.000	feedback	0.840	42	1	14	R	1.255	1	R
189.113	2.000	feedback	0.840	43	1	8	R	0.844	1	R
193.685	2.000	feedback	-1.160	44	1	12	L	0.979	-1	R
198.110	2.000	feedback	-1.160	45	1	10	R	1.561	0	L
202.675	n/a	n/a	n/a	46	1	0	R	0.630	-	-
207.175	n/a	n/a	n/a	47	1	0	R	0.322	-	-
211.675	n/a	n/a	n/a	48	1	0	R	0.326	-	-
216.190	2.000	feedback	0.840	49	1	13	R	1.053	0	R
220.690	2.000	feedback	0.840	50	1	11	R	1.785	1	R
225.117	2.000	feedback	0.840	51	1	5	R	1.116	1	R
229.589	2.000	feedback	0.840	52	1	1	R	0.889	1	R
234.087	2.000	feedback	0.840	53	1	3	L	1.096	1	L
238.674	n/a	n/a	n/a	54	1	0	R	0.560	-	-
243.176	n/a	n/a	n/a	55	1	0	R	0.419	-	-
247.675	n/a	n/a	n/a	56	1	0	R	0.416	-	-
252.111	2.000	feedback	-1.160	57	1	6	R	1.696	0	L
256.586	2.000	feedback	0.840	58	1	4	L	1.023	1	L
261.113	2.000	feedback	0.840	59	1	6	L	1.494	1	L
265.610	2.000	feedback	0.840	60	1	10	L	1.256	1	L
270.092	2.000	feedback	0.840	61	1	2	R	0.687	1	R
274.675	n/a	n/a	n/a	62	1	0	R	0.577	-	-
279.174	n/a	n/a	n/a	63	1	0	R	0.278	-	-
283.675	n/a	n/a	n/a	64	1	0	R	0.313	-	-
288.112	2.000	feedback	0.840	65	1	6	L	1.097	1	L
292.692	2.000	feedback	0.840	66	1	14	R	1.042	1	R
297.087	2.000	feedback	0.840	67	1	3	L	0.690	1	L
301.617	2.000	feedback	0.840	68	1	5	R	0.707	1	R
306.113	2.000	feedback	0.840	69	1	6	L	1.280	1	L
310.674	n/a	n/a	n/a	70	1	0	R	0.563	-	-
315.175	n/a	n/a	n/a	71	1	0	R	0.278	-	-
319.675	n/a	n/a	n/a	72	1	0	R	0.299	-	-
324.087	2.000	feedback	-1.160	73	1	4	L	1.709	1	R
328.613	2.000	feedback	0.840	74	1	6	L	1.894	1	L
333.118	2.000	feedback	0.840	75	1	5	R	1.528	1	R
337.690	2.000	feedback	0.840	76	1	11	R	1.029	1	R
342.091	2.000	feedback	0.840	77	1	2	R	0.684	1	R
346.675	n/a	n/a	n/a	78	1	0	R	0.636	-	-
351.175	n/a	n/a	n/a	79	1	0	R	0.312	-	-
355.675	n/a	n/a	n/a	80	1	0	R	0.268	-	-
