onset	duration	trial_type	TrialNum	StimCond	StimulusNum	Response	response_time	Correct
0.120	2.000	classification-probabilistic	1.000	1.000	10.000	L	1.301	1.000
5.397	2.000	classification-probabilistic	3.000	1.000	6.000	R	2.256	0.000
10.284	2.000	classification-deterministic	5.000	2.000	5.000	L	1.839	0.000
14.982	2.000	classification-probabilistic	7.000	1.000	1.000	L	1.998	0.000
19.116	2.000	classification-probabilistic	9.000	1.000	8.000	R	1.663	1.000
22.415	2.000	classification-probabilistic	11.000	1.000	14.000	R	0.964	1.000
26.704	2.000	classification-probabilistic	13.000	1.000	1.000	R	1.447	1.000
29.890	2.000	classification-probabilistic	15.000	1.000	8.000	R	1.546	1.000
36.316	2.000	classification-deterministic	17.000	2.000	13.000	L	1.286	1.000
41.283	2.000	classification-deterministic	19.000	2.000	10.000	R	1.562	0.000
44.809	2.000	classification-deterministic	21.000	2.000	3.000	L	1.377	0.000
49.617	2.000	classification-probabilistic	23.000	1.000	5.000	R	2.091	1.000
54.718	2.000	classification-probabilistic	25.000	1.000	10.000	L	1.820	1.000
58.299	2.000	classification-deterministic	27.000	2.000	12.000	L	1.410	0.000
63.596	2.000	classification-deterministic	29.000	2.000	12.000	L	1.733	0.000
66.584	2.000	classification-deterministic	31.000	2.000	2.000	R	1.485	1.000
69.993	2.000	classification-probabilistic	33.000	1.000	10.000	L	2.032	1.000
76.078	2.000	classification-probabilistic	35.000	1.000	14.000	R	1.445	1.000
81.609	2.000	classification-deterministic	37.000	2.000	5.000	L	2.004	0.000
85.382	2.000	classification-probabilistic	39.000	1.000	6.000	R	1.643	0.000
89.711	2.000	classification-probabilistic	41.000	1.000	2.000	R	1.149	1.000
95.815	2.000	classification-probabilistic	43.000	1.000	4.000	L	1.369	1.000
99.303	2.000	classification-probabilistic	45.000	1.000	13.000	R	1.213	0.000
105.594	2.000	classification-deterministic	47.000	2.000	4.000	R	1.906	0.000
112.704	2.000	classification-probabilistic	49.000	1.000	1.000	R	1.459	1.000
116.421	2.000	classification-probabilistic	51.000	1.000	4.000	L	0.990	1.000
121.188	2.000	classification-probabilistic	53.000	1.000	11.000	R	0.960	1.000
126.196	2.000	classification-probabilistic	55.000	1.000	1.000	R	1.569	1.000
132.310	2.000	classification-deterministic	57.000	2.000	4.000	R	1.810	0.000
136.798	2.000	classification-deterministic	59.000	2.000	12.000	L	1.331	0.000
141.585	2.000	classification-deterministic	61.000	2.000	4.000	R	1.623	0.000
144.697	2.000	classification-deterministic	63.000	2.000	1.000	L	1.355	1.000
151.124	2.000	classification-probabilistic	65.000	1.000	10.000	R	1.973	0.000
155.980	2.000	classification-deterministic	67.000	2.000	11.000	R	1.873	1.000
162.317	2.000	classification-deterministic	69.000	2.000	4.000	L	1.957	1.000
166.000	2.000	classification-deterministic	71.000	2.000	7.000	L	1.753	1.000
168.995	2.000	classification-deterministic	73.000	2.000	7.000	L	2.227	1.000
173.677	2.000	classification-deterministic	75.000	2.000	9.000	R	1.932	1.000
177.913	2.000	classification-probabilistic	77.000	1.000	11.000	R	1.252	1.000
183.392	2.000	classification-probabilistic	79.000	1.000	5.000	R	1.753	1.000
186.724	2.000	classification-probabilistic	81.000	1.000	6.000	R	2.150	0.000
191.820	2.000	classification-deterministic	83.000	2.000	4.000	L	1.245	1.000
195.702	2.000	classification-deterministic	85.000	2.000	3.000	R	1.267	1.000
202.125	2.000	classification-probabilistic	87.000	1.000	6.000	L	2.222	1.000
205.804	2.000	classification-deterministic	89.000	2.000	13.000	-	0.000	-1.000
212.298	2.000	classification-deterministic	91.000	2.000	12.000	R	1.099	1.000
215.721	2.000	classification-deterministic	93.000	2.000	5.000	R	1.685	1.000
220.194	2.000	classification-probabilistic	95.000	1.000	11.000	R	0.800	1.000
225.413	2.000	classification-deterministic	97.000	2.000	11.000	R	1.074	1.000
229.221	2.000	classification-deterministic	99.000	2.000	8.000	L	1.404	0.000
235.515	2.000	classification-deterministic	101.000	2.000	8.000	R	1.299	1.000
241.676	2.000	classification-deterministic	103.000	2.000	5.000	R	1.316	1.000
245.592	2.000	classification-probabilistic	105.000	1.000	2.000	R	0.917	1.000
249.190	2.000	classification-probabilistic	107.000	1.000	13.000	R	1.233	0.000
256.514	2.000	classification-deterministic	109.000	2.000	5.000	L	0.894	0.000
259.611	2.000	classification-deterministic	111.000	2.000	7.000	R	1.831	0.000
262.686	2.000	classification-deterministic	113.000	2.000	12.000	R	1.678	1.000
265.816	2.000	classification-deterministic	115.000	2.000	1.000	L	1.287	1.000
272.511	2.000	classification-probabilistic	117.000	1.000	6.000	L	1.083	1.000
275.808	2.000	classification-probabilistic	119.000	1.000	3.000	R	1.042	0.000
279.419	2.000	classification-probabilistic	121.000	1.000	4.000	L	0.960	1.000
287.012	2.000	classification-probabilistic	123.000	1.000	6.000	R	1.839	0.000
291.197	2.000	classification-deterministic	125.000	2.000	1.000	L	1.794	1.000
294.500	2.000	classification-deterministic	n/a	n/a	n/a	n/a	n/a	n/a
294.550	n/a	n/a	127.000	2.000	14.000	R	1.778	1.000
297.476	2.000	classification-deterministic	129.000	2.000	4.000	R	1.725	0.000
300.501	2.000	classification-deterministic	131.000	2.000	10.000	R	1.730	0.000
304.089	2.000	classification-probabilistic	133.000	1.000	2.000	R	0.835	1.000
307.609	2.000	classification-probabilistic	135.000	1.000	6.000	L	1.399	1.000
310.915	2.000	classification-probabilistic	137.000	1.000	14.000	R	1.022	1.000
313.996	2.000	classification-probabilistic	139.000	1.000	10.000	L	1.280	1.000
319.109	2.000	classification-deterministic	141.000	2.000	8.000	R	1.407	1.000
326.316	2.000	classification-probabilistic	143.000	1.000	4.000	L	1.597	1.000
329.500	2.000	classification-deterministic	145.000	2.000	5.000	R	2.352	1.000
334.721	2.000	classification-deterministic	147.000	2.000	7.000	L	1.964	1.000
339.410	2.000	classification-probabilistic	149.000	1.000	12.000	R	1.244	-1.000
344.976	2.000	classification-probabilistic	151.000	1.000	2.000	R	0.883	1.000
348.718	2.000	classification-probabilistic	153.000	1.000	10.000	R	1.370	0.000
352.005	2.000	classification-deterministic	155.000	2.000	5.000	L	1.368	0.000
357.177	2.000	classification-deterministic	157.000	2.000	8.000	R	1.826	1.000
363.519	2.000	classification-probabilistic	159.000	1.000	5.000	L	1.313	0.000
368.593	2.000	classification-probabilistic	161.000	1.000	1.000	R	1.561	1.000
374.124	2.000	classification-deterministic	163.000	2.000	6.000	L	1.573	1.000
379.399	2.000	classification-deterministic	165.000	2.000	10.000	R	1.230	0.000
384.596	2.000	classification-deterministic	167.000	2.000	2.000	R	1.868	1.000
390.093	2.000	classification-probabilistic	169.000	1.000	3.000	L	1.270	1.000
393.112	2.000	classification-probabilistic	171.000	1.000	8.000	L	1.900	0.000
396.497	2.000	classification-probabilistic	173.000	1.000	10.000	L	1.420	1.000
400.388	2.000	classification-deterministic	175.000	2.000	9.000	R	2.349	1.000
404.583	2.000	classification-deterministic	177.000	2.000	4.000	R	1.014	0.000
411.898	2.000	classification-probabilistic	179.000	1.000	6.000	R	1.808	0.000
417.895	2.000	classification-probabilistic	181.000	1.000	10.000	L	1.275	1.000
422.819	2.000	classification-probabilistic	183.000	1.000	11.000	L	2.080	0.000
429.284	2.000	classification-deterministic	185.000	2.000	7.000	R	1.257	0.000
435.812	2.000	classification-deterministic	187.000	2.000	10.000	R	1.742	0.000
438.617	2.000	classification-probabilistic	189.000	1.000	8.000	R	2.197	1.000
441.607	2.000	classification-probabilistic	191.000	1.000	10.000	L	1.282	1.000
446.824	2.000	classification-probabilistic	193.000	1.000	2.000	L	1.671	0.000
451.514	2.000	classification-deterministic	195.000	2.000	10.000	R	1.264	0.000
456.118	2.000	classification-deterministic	197.000	2.000	10.000	R	1.672	0.000
459.109	2.000	classification-deterministic	199.000	2.000	7.000	L	1.768	1.000
