name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
SCLK01-177	MISC	V	0.0	600.0	Miscellaneous	1200.0	good
BG1-1609	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BG2-1609	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BG3-1609	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BP1-1609	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BP2-1609	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BP3-1609	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BR1-1609	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BR2-1609	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BR3-1609	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
G11-1609	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
G12-1609	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
G13-1609	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
G22-1609	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
G23-1609	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
P11-1609	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
P12-1609	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
P22-1609	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
P23-1609	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
Q11-1609	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
Q12-1609	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
Q13-1609	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
Q22-1609	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
Q23-1609	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
R11-1609	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
R12-1609	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
