onset	duration	trial_type	value	sample
2.033333333333333	0.0	encode4	1	2440
7.051666666666667	0.0	probe_in_set	5	8462
7.051666666666667	0.0	probe4	3	8462
7.66	0.0	response_hit	8	9192
7.66	0.0	response_l	9	9192
9.535833333333333	0.0	encode4	1	11443
14.538333333333334	0.0	probe4	3	17446
14.538333333333334	0.0	probe_not_in_set	6	17446
15.123333333333333	0.0	response_r	11	18148
15.123333333333333	0.0	response_correct_rejection	7	18148
17.039166666666667	0.0	encode4	1	20447
22.0575	0.0	probe4	3	26469
22.0575	0.0	probe_not_in_set	6	26469
22.639166666666668	0.0	response_r	11	27167
22.639166666666668	0.0	response_correct_rejection	7	27167
24.525	0.0	encode4	1	29430
29.5275	0.0	probe_in_set	5	35433
29.5275	0.0	probe4	3	35433
29.914166666666667	0.0	response_hit	8	35897
29.914166666666667	0.0	response_l	9	35897
32.028333333333336	0.0	encode4	1	38434
37.04666666666667	0.0	probe4	3	44456
37.04666666666667	0.0	probe_not_in_set	6	44456
37.59166666666667	0.0	response_r	11	45110
37.59166666666667	0.0	response_correct_rejection	7	45110
39.530833333333334	0.0	encode4	1	47437
44.55	0.0	probe4	3	53460
44.55	0.0	probe_not_in_set	6	53460
45.575	0.0	response_r	11	54690
45.575	0.0	response_correct_rejection	7	54690
47.034166666666664	0.0	encode4	1	56441
52.06916666666667	0.0	probe_in_set	5	62483
52.06916666666667	0.0	probe4	3	62483
52.7975	0.0	response_hit	8	63357
52.7975	0.0	response_l	9	63357
54.5375	0.0	encode4	1	65445
59.5725	0.0	probe4	3	71487
59.5725	0.0	probe_not_in_set	6	71487
60.08416666666667	0.0	response_r	11	72101
60.08416666666667	0.0	response_correct_rejection	7	72101
62.04	0.0	encode4	1	74448
67.05833333333334	0.0	probe_in_set	5	80470
67.05833333333334	0.0	probe4	3	80470
67.55	0.0	response_hit	8	81060
67.55	0.0	response_l	9	81060
69.54333333333334	0.0	encode4	1	83452
74.56166666666667	0.0	probe_in_set	5	89474
74.56166666666667	0.0	probe4	3	89474
75.09333333333333	0.0	response_hit	8	90112
75.09333333333333	0.0	response_l	9	90112
77.04583333333333	0.0	encode6	2	92455
82.08166666666666	0.0	probe_in_set	5	98498
82.08166666666666	0.0	probe6	4	98498
82.91	0.0	response_hit	8	99492
82.91	0.0	response_l	9	99492
84.5325	0.0	encode6	2	101439
89.55083333333333	0.0	probe_not_in_set	6	107461
89.55083333333333	0.0	probe6	4	107461
90.12833333333333	0.0	response_r	11	108154
90.12833333333333	0.0	response_correct_rejection	7	108154
92.035	0.0	encode6	2	110442
97.07083333333334	0.0	probe_in_set	5	116485
97.07083333333334	0.0	probe6	4	116485
97.55916666666667	0.0	response_hit	8	117071
97.55916666666667	0.0	response_l	9	117071
99.53833333333333	0.0	encode6	2	119446
104.55666666666667	0.0	probe_in_set	5	125468
104.55666666666667	0.0	probe6	4	125468
105.17916666666666	0.0	response_hit	8	126215
105.17916666666666	0.0	response_l	9	126215
107.04083333333334	0.0	encode6	2	128449
112.06	0.0	probe_not_in_set	6	134472
112.06	0.0	probe6	4	134472
112.51583333333333	0.0	response_r	11	135019
112.51583333333333	0.0	response_correct_rejection	7	135019
114.54416666666667	0.0	encode6	2	137453
119.57916666666667	0.0	probe_not_in_set	6	143495
119.57916666666667	0.0	probe6	4	143495
120.35333333333334	0.0	response_r	11	144424
120.35333333333334	0.0	response_correct_rejection	7	144424
122.03	0.0	encode6	2	146436
127.04916666666666	0.0	probe_in_set	5	152459
127.04916666666666	0.0	probe6	4	152459
127.58333333333333	0.0	response_hit	8	153100
127.58333333333333	0.0	response_l	9	153100
129.53333333333333	0.0	encode6	2	155440
134.56833333333333	0.0	probe_not_in_set	6	161482
134.56833333333333	0.0	probe6	4	161482
135.11416666666668	0.0	response_r	11	162137
135.11416666666668	0.0	response_correct_rejection	7	162137
137.03583333333333	0.0	encode6	2	164443
142.07166666666666	0.0	probe_not_in_set	6	170486
142.07166666666666	0.0	probe6	4	170486
142.67083333333332	0.0	response_r	11	171205
142.67083333333332	0.0	response_correct_rejection	7	171205
144.53916666666666	0.0	encode6	2	173447
149.5575	0.0	probe_in_set	5	179469
149.5575	0.0	probe6	4	179469
150.35083333333333	0.0	response_hit	8	180421
150.35083333333333	0.0	response_l	9	180421
152.02583333333334	0.0	encode4	1	182431
157.0275	0.0	probe4	3	188433
157.0275	0.0	probe_not_in_set	6	188433
157.50083333333333	0.0	response_r	11	189001
157.50083333333333	0.0	response_correct_rejection	7	189001
159.52833333333334	0.0	encode4	1	191434
164.54666666666665	0.0	probe_in_set	5	197456
164.54666666666665	0.0	probe4	3	197456
165.32833333333335	0.0	response_hit	8	198394
165.32833333333335	0.0	response_l	9	198394
167.03166666666667	0.0	encode4	1	200438
172.05	0.0	probe_in_set	5	206460
172.05	0.0	probe4	3	206460
172.485	0.0	response_hit	8	206982
172.485	0.0	response_l	9	206982
174.53416666666666	0.0	encode4	1	209441
179.56916666666666	0.0	probe4	3	215483
179.56916666666666	0.0	probe_not_in_set	6	215483
180.13333333333333	0.0	response_r	11	216160
180.13333333333333	0.0	response_correct_rejection	7	216160
182.0375	0.0	encode4	1	218445
