onset	duration	trial_type	distance from indifference	parametric gain	parametric loss	gain	loss	PTval	respnum	respcat	RT
0.0	3	distance from indifference	-0.0827	n/a	n/a	20	5	14.44	1	1	0.991
4.0	3	distance from indifference	0.2506	n/a	n/a	22	17	3.08	2	1	1.404
8.0	3	distance from indifference	0.2506	n/a	n/a	10	16	-7.81	4	0	1.94
12.0	3	distance from indifference	-0.416	n/a	n/a	38	18	17.97	1	1	1.716
16.0	3	distance from indifference	-0.0827	n/a	n/a	20	14	4.42	2	1	1.737
24.0	3	distance from indifference	0.2506	n/a	n/a	14	13	-0.47	2	1	1.847
28.0	3	distance from indifference	0.584	n/a	n/a	40	8	31.1	1	1	1.053
32.0	3	distance from indifference	-0.0827	n/a	n/a	32	18	11.97	1	1	1.722
36.0	3	distance from indifference	-0.0827	n/a	n/a	24	8	15.1	1	1	1.142
40.0	3	distance from indifference	-0.0827	n/a	n/a	36	14	20.42	1	1	1.013
44.0	3	distance from indifference	0.2506	n/a	n/a	28	6	21.32	1	1	0.826
48.0	3	distance from indifference	0.2506	n/a	n/a	16	14	0.42	2	1	1.462
56.0	3	distance from indifference	-0.0827	n/a	n/a	14	9	3.98	2	1	1.361
60.0	3	distance from indifference	-0.0827	n/a	n/a	20	13	5.53	1	1	1.862
64.0	3	distance from indifference	-0.0827	n/a	n/a	30	18	9.97	1	1	1.743
72.0	3	distance from indifference	0.2506	n/a	n/a	14	15	-2.69	3	0	1.993
76.0	3	distance from indifference	-0.0827	n/a	n/a	12	12	-1.36	3	0	1.302
84.0	3	distance from indifference	-0.416	n/a	n/a	24	11	11.76	1	1	1.737
88.0	3	distance from indifference	-0.0827	n/a	n/a	12	10	0.87	2	1	2.31
94.0	3	distance from indifference	-0.416	n/a	n/a	16	6	9.32	1	1	1.152
98.0	3	distance from indifference	-0.416	n/a	n/a	38	20	15.74	1	1	1.47
102.0	3	distance from indifference	-0.0827	n/a	n/a	28	10	16.87	1	1	1.43
106.0	3	distance from indifference	-0.0827	n/a	n/a	20	7	12.21	1	1	0.737
110.0	3	distance from indifference	0.2506	n/a	n/a	38	9	27.98	1	1	1.202
120.0	3	distance from indifference	-0.0827	n/a	n/a	26	12	12.64	1	1	1.593
132.0	3	distance from indifference	0.2506	n/a	n/a	10	14	-5.58	3	0	1.137
136.0	3	distance from indifference	0.2506	n/a	n/a	12	13	-2.47	3	0	1.463
146.0	3	distance from indifference	-0.0827	n/a	n/a	24	15	7.31	2	1	1.73
150.0	3	distance from indifference	-0.416	n/a	n/a	32	15	15.31	1	1	1.287
154.0	3	distance from indifference	-0.0827	n/a	n/a	36	15	19.31	1	1	1.215
162.0	3	distance from indifference	-0.416	n/a	n/a	36	18	15.97	1	1	1.066
166.0	3	distance from indifference	0.584	n/a	n/a	12	18	-8.03	4	0	1.799
176.0	3	distance from indifference	-0.416	n/a	n/a	20	9	9.98	1	1	0.963
180.0	3	distance from indifference	-0.416	n/a	n/a	16	8	7.1	1	1	1.431
184.0	3	distance from indifference	0.584	n/a	n/a	12	20	-10.26	4	0	1.883
194.0	3	distance from indifference	0.2506	n/a	n/a	22	19	0.85	2	1	2.059
200.0	3	distance from indifference	0.2506	n/a	n/a	36	9	25.98	1	1	1.37
204.0	3	distance from indifference	0.2506	n/a	n/a	26	6	19.32	1	1	2.69
208.0	3	distance from indifference	0.2506	n/a	n/a	30	5	24.44	1	1	1.847
212.0	3	distance from indifference	0.584	n/a	n/a	36	7	28.21	1	1	0.963
216.0	3	distance from indifference	-0.416	n/a	n/a	18	10	6.87	1	1	1.736
220.0	3	distance from indifference	-0.0827	n/a	n/a	30	9	19.98	1	1	1.439
226.0	3	distance from indifference	-0.0827	n/a	n/a	30	12	16.64	1	1	1.307
236.0	3	distance from indifference	-0.416	n/a	n/a	14	8	5.1	2	1	2.434
240.0	3	distance from indifference	0.2506	n/a	n/a	20	19	-1.15	2	1	1.616
