onset	duration	trial_type	parametric gain	distance from indifference	parametric loss	gain	loss	PTval	respnum	respcat	response_time
0.000	3.000	parametric gain	-0.119	n/a	n/a	20	5	11.600	1	1	1.811
4.000	3.000	parametric gain	-0.069	n/a	n/a	22	17	-6.580	4	0	1.656
8.000	3.000	parametric gain	-0.369	n/a	n/a	10	16	-16.890	4	0	1.394
12.000	3.000	parametric gain	0.331	n/a	n/a	38	18	7.740	2	1	1.480
16.000	3.000	parametric gain	-0.119	n/a	n/a	20	14	-3.530	4	0	1.704
24.000	3.000	parametric gain	-0.269	n/a	n/a	14	13	-7.850	4	0	1.179
28.000	3.000	parametric gain	0.381	n/a	n/a	40	8	26.550	1	1	1.105
32.000	3.000	parametric gain	0.181	n/a	n/a	32	18	1.740	3	0	1.849
36.000	3.000	parametric gain	-0.019	n/a	n/a	24	8	10.550	1	1	1.345
40.000	3.000	parametric gain	0.281	n/a	n/a	36	14	12.470	2	1	1.872
44.000	3.000	parametric gain	0.081	n/a	n/a	28	6	17.910	1	1	0.945
48.000	3.000	parametric gain	-0.219	n/a	n/a	16	14	-7.530	4	0	1.354
56.000	3.000	parametric gain	-0.269	n/a	n/a	14	9	-1.130	3	0	1.387
60.000	3.000	parametric gain	-0.119	n/a	n/a	20	13	-1.850	2	1	1.664
64.000	3.000	parametric gain	0.131	n/a	n/a	30	18	-0.260	2	1	1.393
72.000	3.000	parametric gain	-0.269	n/a	n/a	14	15	-11.210	4	0	1.116
76.000	3.000	parametric gain	-0.319	n/a	n/a	12	12	-8.170	4	0	1.098
84.000	3.000	parametric gain	-0.019	n/a	n/a	24	11	5.510	2	1	1.497
88.000	3.000	parametric gain	-0.319	n/a	n/a	12	10	-4.810	4	0	0.993
94.000	3.000	parametric gain	-0.219	n/a	n/a	16	6	5.910	1	1	0.876
98.000	3.000	parametric gain	0.331	n/a	n/a	38	20	4.380	2	1	1.833
102.000	3.000	parametric gain	0.081	n/a	n/a	28	10	11.190	2	1	1.514
106.000	3.000	parametric gain	-0.119	n/a	n/a	20	7	8.230	1	1	0.924
110.000	3.000	parametric gain	0.331	n/a	n/a	38	9	22.870	1	1	0.882
120.000	3.000	parametric gain	0.031	n/a	n/a	26	12	5.830	3	0	2.118
132.000	3.000	parametric gain	-0.369	n/a	n/a	10	14	-13.530	4	0	1.365
136.000	3.000	parametric gain	-0.319	n/a	n/a	12	13	-9.850	4	0	0.986
146.000	3.000	parametric gain	-0.019	n/a	n/a	24	15	-1.210	2	1	1.413
150.000	3.000	parametric gain	0.181	n/a	n/a	32	15	6.790	2	1	1.443
154.000	3.000	parametric gain	0.281	n/a	n/a	36	15	10.790	2	1	1.770
162.000	3.000	parametric gain	0.281	n/a	n/a	36	18	5.740	2	1	1.493
166.000	3.000	parametric gain	-0.319	n/a	n/a	12	18	-18.260	4	0	1.258
176.000	3.000	parametric gain	-0.119	n/a	n/a	20	9	4.870	1	1	0.984
180.000	3.000	parametric gain	-0.219	n/a	n/a	16	8	2.550	2	1	1.890
184.000	3.000	parametric gain	-0.319	n/a	n/a	12	20	-21.620	4	0	0.960
194.000	3.000	parametric gain	-0.069	n/a	n/a	22	19	-9.940	4	0	1.471
200.000	3.000	parametric gain	0.281	n/a	n/a	36	9	20.870	1	1	1.271
204.000	3.000	parametric gain	0.031	n/a	n/a	26	6	15.910	1	1	1.116
208.000	3.000	parametric gain	0.131	n/a	n/a	30	5	21.600	1	1	1.156
212.000	3.000	parametric gain	0.281	n/a	n/a	36	7	24.230	1	1	0.868
216.000	3.000	parametric gain	-0.169	n/a	n/a	18	10	1.190	2	1	1.495
220.000	3.000	parametric gain	0.131	n/a	n/a	30	9	14.870	1	1	0.844
226.000	3.000	parametric gain	0.131	n/a	n/a	30	12	9.830	2	1	1.343
236.000	3.000	parametric gain	-0.269	n/a	n/a	14	8	0.550	3	0	1.596
240.000	3.000	parametric gain	-0.119	n/a	n/a	20	19	-11.940	4	0	1.149
244.000	3.000	parametric gain	0.081	n/a	n/a	28	14	4.470	3	0	1.453
250.000	3.000	parametric gain	-0.219	n/a	n/a	16	17	-12.580	4	0	1.063
258.000	3.000	parametric gain	0.031	n/a	n/a	26	8	12.550	1	1	1.091
262.000	3.000	parametric gain	-0.369	n/a	n/a	10	17	-18.580	4	0	1.349
274.000	3.000	parametric gain	-0.319	n/a	n/a	12	5	3.600	2	1	1.789
282.000	3.000	parametric gain	0.381	n/a	n/a	40	6	29.910	1	1	0.912
286.000	3.000	parametric gain	0.281	n/a	n/a	36	13	14.150	1	1	1.445
294.000	3.000	parametric gain	-0.369	n/a	n/a	10	9	-5.130	4	0	1.010
298.000	3.000	parametric gain	0.231	n/a	n/a	34	18	3.740	2	1	1.349
304.000	3.000	parametric gain	0.131	n/a	n/a	30	15	4.790	2	1	1.532
316.000	3.000	parametric gain	-0.169	n/a	n/a	18	9	2.870	2	1	1.664
322.000	3.000	parametric gain	0.031	n/a	n/a	26	20	-7.620	3	0	1.560
326.000	3.000	parametric gain	0.281	n/a	n/a	36	20	2.380	3	0	1.574
330.000	3.000	parametric gain	-0.069	n/a	n/a	22	15	-3.210	4	0	1.910
334.000	3.000	parametric gain	0.331	n/a	n/a	38	8	24.550	1	1	1.118
342.000	3.000	parametric gain	0.081	n/a	n/a	28	16	1.110	2	1	1.453
348.000	3.000	parametric gain	0.231	n/a	n/a	34	12	13.830	2	1	1.233
358.000	3.000	parametric gain	0.081	n/a	n/a	28	15	2.790	3	0	1.391
364.000	3.000	parametric gain	-0.019	n/a	n/a	24	17	-4.580	4	0	1.133
368.000	3.000	parametric gain	0.081	n/a	n/a	28	11	9.510	2	1	1.350
372.000	3.000	parametric gain	-0.219	n/a	n/a	16	9	0.870	3	0	1.678
378.000	3.000	parametric gain	-0.069	n/a	n/a	22	13	0.150	4	0	1.319
384.000	3.000	parametric gain	0.381	n/a	n/a	40	11	21.510	1	1	0.866
390.000	3.000	parametric gain	0.081	n/a	n/a	28	8	14.550	1	1	1.425
396.000	3.000	parametric gain	0.281	n/a	n/a	36	16	9.110	2	1	1.398
400.000	3.000	parametric gain	-0.119	n/a	n/a	20	10	3.190	2	1	1.326
404.000	3.000	parametric gain	-0.369	n/a	n/a	10	18	-20.260	4	0	1.039
408.000	3.000	parametric gain	0.381	n/a	n/a	40	9	24.870	1	1	0.882
