onset	duration	trial_type	TrialType	Stimulus	SSD	Response	RT	CorrectGo	SuccStop
0.0	1.5	failed stop	1	1	0.3	50	0.622	1	0
3.375	1.5	go	0	0	0.0	49	0.392	1	0
6.25	1.5	go	0	0	0.0	49	0.444	1	0
9.625	1.5	go	0	1	0.0	50	0.341	1	0
11.875	1.5	go	0	0	0.0	49	0.554	1	0
16.625	1.5	go	0	1	0.0	50	0.516	1	0
20.75	1.5	successful stop	1	0	0.22	0	0.0	0	1
23.375	1.5	go	0	1	0.0	50	0.333	1	0
25.5	1.5	go	0	1	0.0	50	0.519	1	0
27.625	1.5	go	0	0	0.0	49	0.434	1	0
29.875	1.5	failed stop	1	1	0.26	50	0.312	1	0
33.625	1.5	go	0	0	0.0	49	0.473	1	0
35.875	1.5	successful stop	1	0	0.26	0	0.0	0	1
38.25	1.5	go	0	1	0.0	50	0.271	1	0
41.0	1.5	go	0	1	0.0	50	0.361	1	0
43.5	1.5	go	0	0	0.0	49	0.452	1	0
45.875	1.5	go	0	1	0.0	50	0.509	1	0
50.5	1.5	go	0	0	0.0	49	0.411	1	0
52.625	1.5	go	0	0	0.0	49	0.606	1	0
57.25	1.5	failed stop	1	1	0.26	50	0.38	1	0
59.25	1.5	go	0	1	0.0	50	0.42	1	0
62.125	1.5	failed stop	1	0	0.22	49	0.408	1	0
64.125	1.5	go	0	0	0.0	49	0.4	1	0
66.875	1.5	go	0	1	0.0	50	0.418	1	0
70.75	1.5	go	0	0	0.0	49	0.39	1	0
73.5	1.5	go	0	0	0.0	49	0.463	1	0
78.125	1.5	go	0	1	0.0	50	0.373	1	0
82.125	1.5	failed stop	1	1	0.22	50	0.349	1	0
85.375	1.5	junk	0	0	0.0	50	0.29	0	0
87.375	1.5	go	0	1	0.0	50	0.394	1	0
90.875	1.5	failed stop	1	1	0.34	50	0.39	1	0
93.0	1.5	go	0	0	0.0	49	0.392	1	0
95.375	1.5	go	0	0	0.0	49	0.408	1	0
98.0	1.5	failed stop	1	1	0.26	50	0.367	1	0
101.625	1.5	go	0	1	0.0	50	0.398	1	0
105.875	1.5	go	0	0	0.0	49	0.491	1	0
108.125	1.5	successful stop	1	1	0.22	0	0.0	0	1
111.75	1.5	go	0	0	0.0	49	0.415	1	0
114.875	1.5	go	0	1	0.0	50	0.393	1	0
117.25	1.5	go	0	0	0.0	49	0.466	1	0
119.625	1.5	go	0	1	0.0	50	0.419	1	0
124.25	1.5	go	0	1	0.0	50	0.497	1	0
128.875	1.5	go	0	0	0.0	49	0.503	1	0
133.375	1.5	successful stop	1	0	0.3	0	0.0	0	1
136.125	1.5	successful stop	1	1	0.34	0	0.0	0	1
139.75	1.5	go	0	0	0.0	49	0.418	1	0
141.875	1.5	go	0	0	0.0	49	0.405	1	0
143.875	1.5	go	0	1	0.0	50	0.46	1	0
146.125	1.5	go	0	0	0.0	49	0.482	1	0
149.125	1.5	go	0	0	0.0	49	0.561	1	0
151.25	1.5	go	0	1	0.0	50	0.516	1	0
153.625	1.5	failed stop	1	1	0.34	50	0.373	1	0
155.75	1.5	successful stop	1	1	0.26	0	0.0	0	1
158.0	1.5	go	0	0	0.0	49	0.317	1	0
160.125	1.5	go	0	1	0.0	50	0.424	1	0
165.0	1.5	go	0	0	0.0	49	0.412	1	0
167.25	1.5	successful stop	1	1	0.26	0	0.0	0	1
170.125	1.5	go	0	0	0.0	49	0.438	1	0
172.25	1.5	go	0	0	0.0	49	0.457	1	0
174.25	1.5	go	0	1	0.0	50	0.432	1	0
176.25	1.5	go	0	0	0.0	49	0.408	1	0
178.875	1.5	go	0	0	0.0	49	0.511	1	0
181.25	1.5	successful stop	1	1	0.34	0	0.0	0	1
185.0	1.5	go	0	1	0.0	50	0.441	1	0
188.0	1.5	go	0	0	0.0	49	0.336	1	0
190.0	1.5	go	0	1	0.0	50	0.456	1	0
192.875	1.5	go	0	1	0.0	50	0.365	1	0
195.0	1.5	successful stop	1	0	0.22	0	0.0	0	1
197.875	1.5	failed stop	1	1	0.34	50	0.38	1	0
200.375	1.5	go	0	0	0.0	49	0.343	1	0
203.25	1.5	go	0	0	0.0	49	0.403	1	0
205.625	1.5	go	0	1	0.0	50	0.452	1	0
207.75	1.5	go	0	0	0.0	49	0.343	1	0
210.625	1.5	go	0	1	0.0	50	0.395	1	0
213.75	1.5	go	0	0	0.0	49	0.39	1	0
216.25	1.5	failed stop	1	1	0.34	50	0.49	1	0
219.875	1.5	successful stop	1	0	0.3	0	0.0	0	1
224.375	1.5	go	0	1	0.0	50	0.395	1	0
228.25	1.5	go	0	1	0.0	50	0.503	1	0
231.75	1.5	go	0	0	0.0	49	0.507	1	0
234.25	1.5	go	0	1	0.0	50	0.662	1	0
237.5	1.5	failed stop	1	0	0.34	49	0.444	1	0
240.5	1.5	go	0	0	0.0	49	0.379	1	0
243.5	1.5	go	0	1	0.0	50	0.403	1	0
246.0	1.5	go	0	1	0.0	50	0.438	1	0
248.125	1.5	go	0	0	0.0	49	0.601	1	0
250.375	1.5	go	0	1	0.0	50	0.551	1	0
253.25	1.5	successful stop	1	0	0.3	0	0.0	0	1
255.75	1.5	successful stop	1	1	0.22	0	0.0	0	1
257.75	1.5	go	0	0	0.0	49	0.43	1	0
260.375	1.5	junk	0	1	0.0	49	0.309	0	0
264.875	1.5	go	0	0	0.0	49	0.392	1	0
266.875	1.5	go	0	1	0.0	50	0.352	1	0
269.375	1.5	successful stop	1	0	0.34	0	0.0	0	1
271.625	1.5	junk	0	1	0.0	49	0.505	0	0
273.625	1.5	go	0	0	0.0	49	0.409	1	0
275.75	1.5	failed stop	1	1	0.3	50	0.396	1	0
277.75	1.5	go	0	0	0.0	49	0.363	1	0
280.625	1.5	go	0	0	0.0	49	0.424	1	0
282.875	1.5	go	0	1	0.0	50	0.501	1	0
285.0	1.5	go	0	0	0.0	49	0.584	1	0
287.5	1.5	failed stop	1	1	0.3	50	0.428	1	0
290.5	1.5	go	0	0	0.0	49	0.331	1	0
293.25	1.5	go	0	1	0.0	50	0.469	1	0
295.625	1.5	failed stop	1	0	0.26	49	0.365	1	0
300.125	1.5	go	0	0	0.0	49	0.36	1	0
302.125	1.5	go	0	1	0.0	50	0.6	1	0
304.75	1.5	go	0	1	0.0	50	0.551	1	0
307.0	1.5	successful stop	1	0	0.22	0	0.0	0	1
310.75	1.5	go	0	1	0.0	50	0.358	1	0
313.375	1.5	go	0	1	0.0	50	0.5	1	0
315.375	1.5	go	0	0	0.0	49	0.388	1	0
319.75	1.5	go	0	0	0.0	49	0.468	1	0
322.5	1.5	go	0	1	0.0	50	0.541	1	0
325.125	1.5	go	0	1	0.0	50	0.452	1	0
329.625	1.5	successful stop	1	0	0.3	0	0.0	0	1
332.875	1.5	go	0	1	0.0	50	0.405	1	0
337.25	1.5	failed stop	1	0	0.26	49	0.413	1	0
339.875	1.5	go	0	0	0.0	49	0.428	1	0
341.875	1.5	go	0	1	0.0	50	0.427	1	0
344.0	1.5	failed stop	1	1	0.3	50	0.391	1	0
346.0	1.5	go	0	0	0.0	49	0.518	1	0
348.0	1.5	go	0	0	0.0	49	0.381	1	0
351.125	1.5	go	0	1	0.0	50	0.448	1	0
354.0	1.5	go	0	1	0.0	50	0.492	1	0
356.25	1.5	go	0	0	0.0	49	0.522	1	0
358.25	1.5	go	0	0	0.0	49	0.658	1	0
361.125	1.5	successful stop	1	1	0.22	0	0.0	0	1
