onset	duration	trial_type	TrialType	SSD
0.0	1.5	failed stop	1	0.34
2.25	1.5	go	0	0.0
4.75	1.5	go	0	0.0
8.5	1.5	go	0	0.0
10.625	1.5	go	0	0.0
15.0	1.5	successful stop	1	0.26
18.5	1.5	go	0	0.0
22.375	1.5	go	0	0.0
25.875	1.5	junk	0	0.0
28.125	1.5	go	0	0.0
31.125	1.5	successful stop	1	0.3
33.5	1.5	go	0	0.0
35.5	1.5	go	0	0.0
37.875	1.5	failed stop	1	0.3
40.5	1.5	go	0	0.0
42.875	1.5	go	0	0.0
45.25	1.5	go	0	0.0
47.75	1.5	go	0	0.0
50.375	1.5	go	0	0.0
53.0	1.5	successful stop	1	0.3
56.125	1.5	successful stop	1	0.26
59.875	1.5	go	0	0.0
62.125	1.5	go	0	0.0
64.25	1.5	go	0	0.0
66.25	1.5	successful stop	1	0.26
68.625	1.5	go	0	0.0
70.75	1.5	go	0	0.0
73.0	1.5	go	0	0.0
75.0	1.5	go	0	0.0
78.875	1.5	go	0	0.0
81.75	1.5	junk	0	0.0
84.125	1.5	successful stop	1	0.38
86.125	1.5	go	0	0.0
88.125	1.5	go	0	0.0
90.375	1.5	successful stop	1	0.3
93.375	1.5	go	0	0.0
97.75	1.5	successful stop	1	0.26
99.875	1.5	go	0	0.0
102.5	1.5	go	0	0.0
105.25	1.5	go	0	0.0
107.375	1.5	go	0	0.0
109.5	1.5	go	0	0.0
112.25	1.5	go	0	0.0
115.25	1.5	failed stop	1	0.34
117.375	1.5	go	0	0.0
120.125	1.5	go	0	0.0
122.125	1.5	failed stop	1	0.38
124.25	1.5	go	0	0.0
127.375	1.5	go	0	0.0
130.0	1.5	go	0	0.0
133.75	1.5	junk	0	0.0
135.75	1.5	successful stop	1	0.38
139.125	1.5	failed stop	1	0.3
142.375	1.5	go	0	0.0
144.625	1.5	go	0	0.0
148.125	1.5	go	0	0.0
151.5	1.5	go	0	0.0
154.0	1.5	go	0	0.0
157.375	1.5	go	0	0.0
161.375	1.5	successful stop	1	0.3
164.5	1.5	go	0	0.0
166.875	1.5	go	0	0.0
169.0	1.5	go	0	0.0
174.5	1.5	failed stop	1	0.38
177.625	1.5	successful stop	1	0.26
180.75	1.5	go	0	0.0
183.875	1.5	go	0	0.0
187.375	1.5	go	0	0.0
190.875	1.5	go	0	0.0
193.75	1.5	go	0	0.0
196.5	1.5	go	0	0.0
199.375	1.5	successful stop	1	0.38
201.5	1.5	go	0	0.0
204.0	1.5	go	0	0.0
208.0	1.5	go	0	0.0
213.125	1.5	successful stop	1	0.38
217.25	1.5	go	0	0.0
219.375	1.5	go	0	0.0
222.25	1.5	go	0	0.0
224.5	1.5	successful stop	1	0.34
228.125	1.5	go	0	0.0
232.125	1.5	go	0	0.0
235.375	1.5	go	0	0.0
238.125	1.5	successful stop	1	0.38
240.375	1.5	go	0	0.0
243.375	1.5	go	0	0.0
245.75	1.5	go	0	0.0
248.0	1.5	successful stop	1	0.34
250.625	1.5	successful stop	1	0.26
252.625	1.5	go	0	0.0
257.25	1.5	go	0	0.0
259.625	1.5	junk	0	0.0
261.625	1.5	junk	0	0.0
263.625	1.5	go	0	0.0
266.625	1.5	go	0	0.0
270.375	1.5	successful stop	1	0.38
272.375	1.5	successful stop	1	0.34
274.875	1.5	go	0	0.0
277.0	1.5	go	0	0.0
279.0	1.5	junk	0	0.0
282.0	1.5	go	0	0.0
284.125	1.5	go	0	0.0
286.125	1.5	successful stop	1	0.34
288.375	1.5	go	0	0.0
290.5	1.5	successful stop	1	0.3
294.0	1.5	go	0	0.0
296.125	1.5	go	0	0.0
298.875	1.5	go	0	0.0
302.75	1.5	go	0	0.0
306.0	1.5	successful stop	1	0.26
310.25	1.5	go	0	0.0
312.75	1.5	go	0	0.0
315.75	1.5	go	0	0.0
318.625	1.5	go	0	0.0
321.625	1.5	go	0	0.0
324.875	1.5	successful stop	1	0.34
328.125	1.5	go	0	0.0
332.125	1.5	go	0	0.0
334.375	1.5	go	0	0.0
338.375	1.5	successful stop	1	0.3
340.5	1.5	successful stop	1	0.34
345.875	1.5	go	0	0.0
348.5	1.5	go	0	0.0
353.125	1.5	go	0	0.0
355.75	1.5	go	0	0.0
359.0	1.5	go	0	0.0
362.375	1.5	successful stop	1	0.26
365.875	1.5	junk	0	0.0
