onset	duration	trial_type	TrialType	Stimulus	SSD	Response	RT	CorrectGo	SuccStop
0.0	n/a	n/a	0	1	0.0	50	0.399	1	0
2.0	1.5	go	0	1	0.0	50	0.323	1	0
4.25	1.5	go	0	0	0.0	49	0.463	1	0
8.625	1.5	failed stop	1	0	0.4	49	0.392	1	0
12.375	1.5	go	0	0	0.0	49	0.354	1	0
15.25	1.5	go	0	1	0.0	50	0.455	1	0
18.25	1.5	failed stop	1	0	0.25	49	0.319	1	0
21.25	1.5	go	0	1	0.0	50	0.384	1	0
23.375	1.5	go	0	1	0.0	50	0.458	1	0
26.375	1.5	go	0	1	0.0	50	0.362	1	0
28.625	1.5	go	0	0	0.0	49	0.4	1	0
31.25	1.5	failed stop	1	0	0.2	49	0.455	1	0
34.875	1.5	failed stop	1	0	0.25	49	0.454	1	0
38.125	1.5	go	0	0	0.0	49	0.78	1	0
40.25	1.5	go	0	1	0.0	50	0.359	1	0
42.25	1.5	go	0	1	0.0	50	0.455	1	0
45.25	1.5	go	0	0	0.0	49	0.38	1	0
47.5	1.5	go	0	1	0.0	50	0.309	1	0
49.5	1.5	go	0	0	0.0	49	0.389	1	0
52.875	1.5	failed stop	1	1	0.2	50	0.35	1	0
55.75	1.5	go	0	1	0.0	50	0.419	1	0
58.375	1.5	go	0	0	0.0	49	0.394	1	0
62.5	1.5	failed stop	1	1	0.35	50	0.397	1	0
64.875	1.5	go	0	0	0.0	49	0.574	1	0
69.125	1.5	go	0	0	0.0	49	0.42	1	0
71.125	1.5	go	0	0	0.0	49	0.372	1	0
73.25	1.5	junk	0	1	0.0	49	0.311	0	0
76.25	1.5	failed stop	1	1	0.15	50	0.615	1	0
80.125	1.5	go	0	1	0.0	50	0.46	1	0
82.5	1.5	failed stop	1	1	0.2	50	0.405	1	0
85.125	1.5	go	0	0	0.0	49	0.364	1	0
87.75	1.5	go	0	0	0.0	49	0.451	1	0
90.25	1.5	go	0	1	0.0	50	0.444	1	0
92.375	1.5	go	0	0	0.0	49	0.41	1	0
94.375	1.5	failed stop	1	0	0.3	49	0.418	1	0
97.625	1.5	go	0	1	0.0	50	0.504	1	0
101.0	1.5	successful stop	1	0	0.1	0	0.0	0	1
105.75	1.5	go	0	1	0.0	50	0.403	1	0
108.875	1.5	go	0	1	0.0	50	0.414	1	0
111.25	1.5	go	0	0	0.0	49	0.423	1	0
114.25	1.5	failed stop	1	0	0.15	49	0.567	1	0
118.0	1.5	go	0	0	0.0	49	0.505	1	0
120.125	1.5	go	0	1	0.0	50	0.468	1	0
122.625	1.5	go	0	1	0.0	50	0.48	1	0
125.25	1.5	go	0	0	0.0	49	0.447	1	0
129.125	1.5	go	0	1	0.0	50	0.42	1	0
131.25	1.5	go	0	1	0.0	50	0.463	1	0
133.375	1.5	failed stop	1	0	0.15	49	0.57	1	0
136.0	1.5	go	0	1	0.0	50	0.406	1	0
139.125	1.5	go	0	1	0.0	50	0.372	1	0
142.0	1.5	successful stop	1	0	0.1	0	0.0	0	1
144.125	1.5	go	0	0	0.0	49	0.604	1	0
146.625	1.5	go	0	0	0.0	49	0.432	1	0
149.25	1.5	successful stop	1	0	0.1	0	0.0	0	1
151.875	1.5	go	0	1	0.0	50	0.47	1	0
154.25	1.5	go	0	1	0.0	50	0.447	1	0
158.375	1.5	successful stop	1	0	0.25	0	0.0	0	1
162.375	1.5	go	0	1	0.0	50	0.402	1	0
166.125	1.5	go	0	1	0.0	50	0.364	1	0
169.0	1.5	go	0	0	0.0	49	0.601	1	0
171.0	1.5	go	0	1	0.0	50	0.369	1	0
173.625	1.5	successful stop	1	0	0.15	0	0.0	0	1
176.5	1.5	go	0	0	0.0	49	0.453	1	0
178.5	1.5	go	0	1	0.0	50	0.493	1	0
180.5	1.5	go	0	0	0.0	49	0.41	1	0
182.75	1.5	go	0	0	0.0	49	0.467	1	0
185.75	1.5	go	0	1	0.0	50	0.532	1	0
189.75	1.5	failed stop	1	1	0.2	50	0.395	1	0
192.25	1.5	successful stop	1	1	0.15	0	0.0	0	1
194.75	1.5	go	0	0	0.0	49	0.548	1	0
197.375	1.5	go	0	0	0.0	49	0.45	1	0
200.25	1.5	go	0	1	0.0	50	0.511	1	0
202.875	1.5	failed stop	1	1	0.3	50	0.51	1	0
206.0	1.5	go	0	0	0.0	49	0.553	1	0
210.625	1.5	go	0	0	0.0	49	0.52	1	0
212.875	1.5	go	0	1	0.0	50	0.734	1	0
215.375	1.5	go	0	0	0.0	49	0.522	1	0
218.25	1.5	failed stop	1	1	0.15	50	0.391	1	0
220.375	1.5	go	0	1	0.0	50	0.698	1	0
222.75	1.5	go	0	0	0.0	49	0.411	1	0
225.625	1.5	failed stop	1	1	0.25	50	0.325	1	0
