onset	duration	trial_type	TrialType	Stimulus	SSD	Response	RT	CorrectGo	SuccStop
0.0	1.5	failed stop-noncritical	1	1	0.15	50	0.505	1	0
3.0	1.5	go-critical	0	0	0.0	49	0.402	1	0
5.125	1.5	go-critical	0	0	0.0	49	0.636	1	0
7.375	1.5	go-critical	0	0	0.0	49	0.346	1	0
9.625	1.5	go-noncritical	0	1	0.0	50	0.512	1	0
11.75	1.5	go-noncritical	0	1	0.0	50	0.363	1	0
14.0	1.5	go-noncritical	0	1	0.0	50	0.353	1	0
17.5	1.5	go-critical	0	0	0.0	49	0.453	1	0
19.75	1.5	failed stop-noncritical	1	1	0.1	50	0.227	1	0
24.0	1.5	go-noncritical	0	1	0.0	50	0.505	1	0
27.125	1.5	go-critical	0	0	0.0	49	0.628	1	0
29.75	1.5	successful stop-critical	1	0	0.2	0	0.0	0	1
32.375	1.5	go-noncritical	0	1	0.0	50	0.426	1	0
35.0	1.5	go-noncritical	0	1	0.0	50	0.425	1	0
37.25	1.5	go-noncritical	0	1	0.0	50	0.271	1	0
41.625	1.5	go-noncritical	0	1	0.0	50	0.504	1	0
43.625	1.5	go-critical	0	0	0.0	49	0.568	1	0
45.875	1.5	successful stop-critical	1	0	0.25	0	0.0	0	1
49.875	1.5	successful stop-critical	1	0	0.15	0	0.0	0	1
53.125	1.5	failed stop-noncritical	1	1	0.25	50	0.596	1	0
55.375	1.5	go-noncritical	0	1	0.0	50	0.37	1	0
57.75	1.5	go-critical	0	0	0.0	49	0.659	1	0
60.375	1.5	go-noncritical	0	1	0.0	50	0.538	1	0
63.125	1.5	go-critical	0	0	0.0	49	0.452	1	0
65.125	1.5	successful stop-critical	1	0	0.1	0	0.0	0	1
67.125	1.5	go-noncritical	0	1	0.0	50	0.291	1	0
69.75	1.5	go-critical	0	0	0.0	49	0.603	1	0
74.0	1.5	failed stop-noncritical	1	1	0.2	50	0.601	1	0
76.0	1.5	go-critical	0	0	0.0	49	0.657	1	0
79.125	1.5	go-critical	0	0	0.0	49	0.58	1	0
82.0	1.5	go-critical	0	0	0.0	49	0.593	1	0
84.125	1.5	go-noncritical	0	1	0.0	50	0.468	1	0
86.75	1.5	go-critical	0	0	0.0	49	0.493	1	0
88.75	1.5	go-noncritical	0	1	0.0	50	0.338	1	0
90.875	1.5	go-noncritical	0	1	0.0	50	0.406	1	0
92.875	1.5	go-critical	0	0	0.0	49	0.486	1	0
94.875	1.5	go-noncritical	0	1	0.0	50	0.342	1	0
97.75	1.5	go-critical	0	0	0.0	49	0.531	1	0
101.5	1.5	go-critical	0	0	0.0	49	0.525	1	0
104.0	1.5	go-critical	0	0	0.0	49	0.617	1	0
108.875	1.5	go-noncritical	0	1	0.0	50	0.309	1	0
111.125	1.5	go-noncritical	0	1	0.0	50	0.276	1	0
113.25	1.5	failed stop-critical	1	0	0.15	49	0.519	1	0
116.25	1.5	go-critical	0	0	0.0	49	0.591	1	0
120.0	1.5	failed stop-noncritical	1	1	0.3	50	0.425	1	0
122.0	1.5	go-critical	0	0	0.0	49	0.753	1	0
124.125	1.5	go-noncritical	0	1	0.0	50	0.524	1	0
127.0	1.5	go-noncritical	0	1	0.0	50	0.409	1	0
129.75	1.5	go-noncritical	0	1	0.0	50	0.339	1	0
132.125	1.5	go-critical	0	0	0.0	49	0.556	1	0
