onset	duration	trial_type	rating_par
1.015	5	att_neg	n/a
8.002	3	rating_par	0.214
13.014	5	att_neut	n/a
19.005	3	rating_par	-0.786
29.012	5	att_neg	n/a
37.011	3	rating_par	0.214
43.002	5	suppr_neg	n/a
49.010	3	rating_par	-0.786
53.010	5	suppr_neg	n/a
60.013	3	rating_par	0.214
65.009	5	suppr_neg	n/a
71.016	3	rating_par	-0.786
77.007	5	suppr_neg	n/a
84.011	3	rating_par	1.214
89.006	5	att_neut	n/a
95.014	3	rating_par	-0.786
99.013	5	att_neg	n/a
105.004	3	rating_par	1.214
111.012	5	att_neg	n/a
119.011	3	rating_par	0.214
127.010	5	suppr_neg	n/a
134.014	3	rating_par	1.214
141.017	5	att_neut	n/a
147.009	3	rating_par	-0.786
151.008	5	att_neg	n/a
159.007	3	junk_rating	n/a
170.010	5	att_neut	n/a
177.014	3	rating_par	-0.786
183.005	5	att_neg	n/a
190.008	3	rating_par	-0.786
194.008	5	att_neut	n/a
201.011	3	rating_par	-0.786
205.011	5	att_neut	n/a
212.014	3	rating_par	-0.786
217.009	5	suppr_neg	n/a
223.017	3	rating_par	-0.786
233.008	5	att_neut	n/a
241.007	3	rating_par	-0.786
248.011	5	att_neg	n/a
254.001	3	rating_par	0.214
259.014	5	suppr_neg	n/a
266.017	3	rating_par	1.214
272.008	5	att_neut	n/a
280.007	3	rating_par	-0.786
285.003	5	att_neut	n/a
292.006	3	rating_par	-0.786
297.001	5	suppr_neg	n/a
305.017	3	rating_par	0.214
309.017	5	att_neg	n/a
316.003	3	rating_par	1.214
320.003	5	suppr_neg	n/a
326.011	3	rating_par	0.214
339.005	5	suppr_neg	n/a
347.004	3	rating_par	0.214
353.012	5	att_neg	n/a
362.007	3	rating_par	1.214
367.002	5	att_neg	n/a
375.008	3	rating_par	1.214
380.013	5	att_neut	n/a
386.005	3	junk_rating	n/a
