onset	duration	trial_type
0.0306	1.5	go
2.0214	1.5	unsucc_stop
4.8924	1.5	succ_stop
9.141	1.5	go
12.5099	1.5	go
15.5138	1.5	go
17.8868	1.5	go
20.0111	1.5	go
22.4009	1.5	go
24.6415	1.5	go
27.0145	1.5	go
29.0061	1.5	go
33.7692	1.5	go
36.5075	1.5	unsucc_stop
38.6317	1.5	go
41.7684	1.5	succ_stop
45.6351	1.5	succ_stop
47.8922	1.5	unsucc_stop
50.6305	1.5	go
53.0203	1.5	go
55.1445	1.5	go
57.7667	1.5	go
61.2684	1.5	go
65.1351	1.5	go
69.2675	1.5	go
71.2591	1.5	go
73.2671	1.5	go
75.5076	1.5	go
79.7561	1.5	succ_stop
82.1459	1.5	go
84.1373	1.5	go
86.5105	1.5	unsucc_stop
88.7676	1.5	go
90.8919	1.5	unsucc_stop
94.3936	1.5	succ_stop
99.2561	1.5	go
101.6458	1.5	go
103.6373	1.5	go
108.0187	1.5	go
110.8898	1.5	go
114.1426	1.5	go
117.6443	1.5	go
119.7686	1.5	go
123.5191	1.5	unsucc_stop
125.6435	1.5	go
128.5144	1.5	succ_stop
132.7631	1.5	go
134.7712	1.5	go
137.1443	1.5	unsucc_stop
140.5133	1.5	go
142.7703	1.5	unsucc_stop
148.1308	1.5	go
150.3878	1.5	go
152.6449	1.5	go
154.8853	1.5	go
157.1422	1.5	go
159.1338	1.5	unsucc_stop
162.1375	1.5	go
164.3946	1.5	go
167.6308	1.5	go
170.1368	1.5	go
172.2611	1.5	go
174.2692	1.5	go
177.3892	1.5	succ_stop
179.7622	1.5	unsucc_stop
182.1355	1.5	succ_stop
185.1394	1.5	go
188.0106	1.5	go
191.6449	1.5	go
193.7692	1.5	go
196.0096	1.5	go
198.0177	1.5	go
200.2582	1.5	succ_stop
204.0088	1.5	go
207.2615	1.5	go
209.8838	1.5	go
213.2693	1.5	go
216.2565	1.5	go
218.2646	1.5	go
220.3889	1.5	unsucc_stop
222.5131	1.5	go
224.6374	1.5	go
226.7616	1.5	go
229.0187	1.5	go
231.3918	1.5	go
234.1301	1.5	succ_stop
237.3829	1.5	unsucc_stop
241.5154	1.5	go
243.6396	1.5	go
245.6311	1.5	go
248.2697	1.5	go
250.7592	1.5	go
252.7672	1.5	unsucc_stop
255.5056	1.5	unsucc_stop
258.1443	1.5	go
261.0154	1.5	go
263.7702	1.5	go
267.1392	1.5	succ_stop
270.2592	1.5	go
272.5162	1.5	go
274.8894	1.5	go
276.881	1.5	go
281.395	1.5	succ_stop
283.6355	1.5	go
285.6436	1.5	go
288.6307	1.5	unsucc_stop
292.7631	1.5	go
294.8874	1.5	go
298.3891	1.5	go
301.144	1.5	go
305.6416	1.5	go
307.633	1.5	succ_stop
310.6367	1.5	unsucc_stop
313.6406	1.5	go
315.8811	1.5	go
320.3951	1.5	go
324.1458	1.5	succ_stop
326.3862	1.5	go
329.0084	1.5	go
331.7633	1.5	go
336.6425	1.5	go
339.7625	1.5	go
341.7705	1.5	go
344.26	1.5	go
347.8945	1.5	go
350.1347	1.5	go
352.6407	1.5	succ_stop
355.014	1.5	succ_stop
