onset	duration	trial_type	rating_par
1.002	5.000	att_neut	n/a
7.010	0.422	rating_par	-0.966
15.009	5.000	att_neg	n/a
21.017	1.684	rating_par	1.034
29.016	5.000	att_neg	n/a
36.002	1.819	rating_par	0.035
41.014	5.000	suppr_neg	n/a
48.001	0.294	rating_par	0.035
53.013	5.000	suppr_neg	n/a
61.012	0.600	rating_par	0.035
69.012	5.000	att_neg	n/a
76.015	0.664	rating_par	1.034
83.002	5.000	suppr_neg	n/a
89.010	0.478	rating_par	-0.966
100.013	5.000	att_neut	n/a
106.004	1.329	rating_par	-0.966
111.016	5.000	att_neut	n/a
117.007	0.400	rating_par	-0.966
121.006	5.000	suppr_neg	n/a
127.014	0.718	rating_par	0.035
139.013	5.000	att_neg	n/a
146.016	0.516	rating_par	2.034
150.016	5.000	att_neut	n/a
157.002	0.892	rating_par	-0.966
163.010	5.000	suppr_neg	n/a
171.009	0.451	rating_par	1.034
176.005	5.000	att_neut	n/a
183.008	0.668	rating_par	-0.966
188.003	5.000	att_neut	n/a
196.002	0.340	rating_par	-0.966
201.014	5.000	att_neg	n/a
208.001	0.270	rating_par	2.034
212.017	5.000	att_neut	n/a
219.004	0.521	rating_par	-0.966
225.012	5.000	att_neg	n/a
233.011	0.571	rating_par	0.035
240.015	5.000	att_neut	n/a
247.001	1.115	rating_par	-0.966
252.013	5.000	suppr_neg	n/a
259.017	0.451	rating_par	0.035
263.016	5.000	att_neg	n/a
270.003	0.756	rating_par	0.035
276.011	5.000	att_neg	n/a
285.006	0.489	rating_par	1.034
292.009	5.000	att_neut	n/a
301.004	3.000	junk_rating	n/a
307.012	5.000	suppr_neg	n/a
314.015	0.381	rating_par	-0.966
319.010	5.000	suppr_neg	n/a
325.002	1.197	rating_par	0.035
332.005	5.000	suppr_neg	n/a
339.009	0.533	rating_par	-0.966
344.004	5.000	suppr_neg	n/a
351.007	1.773	rating_par	0.035
355.007	5.000	att_neg	n/a
361.014	0.337	rating_par	2.034
365.014	5.000	att_neut	n/a
373.013	0.481	rating_par	-0.966
381.013	5.000	att_neg	n/a
387.004	0.452	rating_par	1.034
