onset	duration	trial_type	easy_par	hard_par
16.011	4.500	easy_par	0.354	n/a
21.255	4.500	hard_par	n/a	0.083
26.516	4.500	easy_par	0.354	n/a
37.004	4.500	hard_par	n/a	0.083
42.265	4.500	easy_par	0.354	n/a
47.509	4.500	hard_par	n/a	0.083
52.754	4.500	hard_par	n/a	0.083
58.014	4.500	hard_par	n/a	0.083
63.259	4.500	hard_par	n/a	-0.917
68.503	4.500	easy_par	-0.646	n/a
73.764	4.500	easy_par	-0.646	n/a
79.008	4.500	hard_par	n/a	0.083
84.253	4.500	hard_par	n/a	0.083
89.513	4.500	hard_par	n/a	0.083
94.758	4.500	easy_par	-0.646	n/a
100.002	4.500	hard_par	n/a	0.083
110.507	4.500	hard_par	n/a	0.083
115.751	4.500	hard_par	n/a	0.083
121.012	4.500	easy_par	-0.646	n/a
126.256	4.500	hard_par	n/a	0.083
131.501	4.500	hard_par	n/a	0.083
136.762	4.500	hard_par	n/a	0.083
142.006	4.500	hard_par	n/a	0.083
147.267	4.500	hard_par	n/a	0.083
152.511	4.500	easy_par	0.354	n/a
157.756	4.500	hard_par	n/a	0.083
163.016	4.500	hard_par	n/a	0.083
168.261	4.500	hard_par	n/a	0.083
173.505	4.500	easy_par	-0.646	n/a
184.010	4.500	hard_par	n/a	0.083
189.254	4.500	hard_par	n/a	0.083
194.515	4.500	easy_par	0.354	n/a
199.759	4.500	hard_par	n/a	0.083
205.004	4.500	easy_par	0.354	n/a
210.264	4.500	easy_par	-0.646	n/a
215.509	4.500	hard_par	n/a	0.083
220.753	4.500	easy_par	-0.646	n/a
226.014	4.500	hard_par	n/a	0.083
231.258	4.500	hard_par	n/a	0.083
236.502	4.500	hard_par	n/a	-0.917
241.763	4.500	easy_par	0.354	n/a
247.008	4.500	easy_par	0.354	n/a
257.513	4.500	hard_par	n/a	0.083
262.757	4.500	hard_par	n/a	0.083
268.001	4.500	easy_par	0.354	n/a
273.262	4.500	hard_par	n/a	0.083
278.506	4.500	hard_par	n/a	0.083
283.767	4.500	easy_par	-0.646	n/a
289.012	4.500	easy_par	0.354	n/a
294.256	4.500	easy_par	0.354	n/a
299.517	4.500	hard_par	n/a	0.083
304.761	4.500	hard_par	n/a	0.083
310.005	4.500	easy_par	0.354	n/a
315.266	4.500	easy_par	0.354	n/a
320.510	4.500	hard_par	n/a	0.083
331.016	4.500	easy_par	0.354	n/a
336.260	4.500	easy_par	-0.646	n/a
341.504	4.500	hard_par	n/a	0.083
346.765	4.500	hard_par	n/a	0.083
352.009	4.500	easy_par	-0.646	n/a
357.253	4.500	easy_par	0.354	n/a
362.514	4.500	easy_par	0.354	n/a
367.759	4.500	easy_par	-0.646	n/a
373.003	4.500	hard_par	n/a	0.083
378.264	4.500	hard_par	n/a	0.083
383.508	4.500	easy_par	0.354	n/a
388.752	4.500	easy_par	0.354	n/a
394.013	4.500	easy_par	-0.646	n/a
404.502	4.500	hard_par	n/a	-0.917
409.762	4.500	easy_par	0.354	n/a
415.007	4.500	hard_par	n/a	0.083
420.251	4.500	easy_par	0.354	n/a
425.512	4.500	easy_par	0.354	n/a
430.756	4.500	hard_par	n/a	-0.917
436.017	4.500	easy_par	-0.646	n/a
441.261	4.500	easy_par	0.354	n/a
446.506	4.500	hard_par	n/a	0.083
451.767	4.500	hard_par	n/a	0.083
457.011	4.500	easy_par	0.354	n/a
462.255	4.500	easy_par	0.354	n/a
467.516	4.500	easy_par	0.354	n/a
478.005	4.500	hard_par	n/a	0.083
483.265	4.500	easy_par	-0.646	n/a
488.510	4.500	easy_par	0.354	n/a
493.754	4.500	easy_par	0.354	n/a
499.015	4.500	easy_par	0.354	n/a
504.259	4.500	easy_par	-0.646	n/a
509.503	4.500	easy_par	0.354	n/a
514.764	4.500	easy_par	0.354	n/a
520.009	4.500	hard_par	n/a	0.083
525.253	4.500	easy_par	0.354	n/a
530.514	4.500	hard_par	n/a	0.083
535.758	4.500	hard_par	n/a	0.083
541.002	4.500	easy_par	-0.646	n/a
551.507	4.500	easy_par	-0.646	n/a
556.751	4.500	hard_par	n/a	0.083
