onset	duration	trial_type
0.0185	2	accept
3.5532	2	accept
6.2749	2	accept
9.2954	2	reject
15.1704	2	accept
17.1617	2	accept
18.9208	2	accept
21.0451	2	accept
23.1861	2	reject
27.1191	2	accept
29.6085	2	accept
31.4009	2	accept
32.8945	2	accept
35.0355	2	explode
38.172	2	accept
40.3129	2	accept
42.4703	2	accept
44.744	2	reject
50.6687	2	accept
52.1457	2	accept
54.9173	2	accept
56.6099	2	reject
61.5391	2	accept
63.3313	2	accept
65.4887	2	accept
67.281	2	reject
71.4299	2	accept
73.0729	2	accept
75.2304	2	accept
76.7739	2	reject
84.0925	2	accept
85.5696	2	accept
87.1132	2	accept
89.3369	2	accept
91.1457	2	reject
97.0705	2	accept
99.3607	2	accept
101.0037	2	accept
102.9952	2	accept
105.6838	2	explode
111.9403	2	accept
113.3675	2	accept
114.8444	2	accept
116.5871	2	reject
121.0182	2	accept
123.1756	2	accept
125.1174	2	accept
127.1088	2	reject
132.4694	2	accept
134.1289	2	accept
135.8216	2	accept
137.415	2	accept
139.2072	2	reject
143.7877	2	accept
145.9617	2	accept
147.3392	2	accept
148.9987	2	reject
152.3677	2	accept
154.5251	2	accept
156.2677	2	accept
157.8443	2	accept
161.1802	2	reject
165.3622	2	accept
167.6192	2	accept
169.3286	2	accept
170.7228	2	reject
175.2036	2	accept
176.7302	2	accept
178.6056	2	accept
180.4478	2	explode
183.4682	2	accept
185.3435	2	accept
187.0695	2	accept
189.1937	2	reject
194.521	2	accept
196.8443	2	accept
198.587	2	accept
200.4127	2	accept
202.2714	2	reject
209.3742	2	accept
211.3824	2	accept
213.3737	2	accept
215.0667	2	accept
216.4938	2	accept
218.6015	2	reject
224.5095	2	accept
226.7833	2	accept
228.2271	2	accept
230.5671	2	accept
232.6913	2	reject
236.4751	2	accept
237.8195	2	accept
239.4957	2	accept
240.9727	2	accept
243.296	2	reject
246.997	2	accept
248.474	2	accept
250.5485	2	accept
252.739	2	accept
254.7968	2	accept
256.8549	2	reject
260.423	2	accept
262.2485	2	accept
264.522	2	accept
266.2149	2	accept
268.1565	2	reject
272.3884	2	accept
274.4132	2	accept
275.7076	2	accept
277.0851	2	accept
278.8774	2	reject
283.1592	2	accept
284.6527	2	accept
286.0635	2	accept
288.0383	2	accept
289.9467	2	accept
291.6562	2	reject
296.2533	2	accept
297.5644	2	accept
299.5888	2	accept
301.315	2	accept
303.2898	2	reject
309.1315	2	accept
310.592	2	accept
312.6666	2	accept
314.1105	2	accept
315.886	2	explode
320.1015	2	accept
321.8108	2	accept
323.6196	2	accept
325.047	2	explode
328.7312	2	accept
330.4073	2	accept
331.8513	2	accept
334.1581	2	accept
335.8342	2	reject
339.5021	2	accept
341.3773	2	accept
343.4018	2	accept
345.659	2	accept
347.053	2	reject
351.5836	2	accept
353.2433	2	accept
355.3343	2	accept
356.9109	2	accept
359.085	2	reject
363.3667	2	accept
364.8603	2	accept
366.4368	2	accept
368.3952	2	accept
370.2207	2	accept
372.7268	2	reject
376.5935	2	accept
378.7178	2	accept
380.2611	2	accept
382.4352	2	accept
384.2442	2	accept
387.0323	2	reject
391.7621	2	accept
394.1021	2	accept
396.0936	2	accept
398.0685	2	accept
399.9935	2	reject
406.134	2	accept
408.0258	2	accept
409.7021	2	accept
411.6273	2	accept
413.4196	2	accept
416.6392	2	reject
420.7052	2	accept
422.8293	2	accept
424.3563	2	accept
426.3643	2	accept
428.2563	2	reject
