onset	duration	trial_type
0.23702213	2.5	junk single-task items
3.5556953	2.5	correct classification of dual-task items
7.4381053	2.5	junk dual-task items
11.626911999999999	2.5	junk dual-task items
16.751814000000003	2.5	correct classification of single-task items
19.830336	2.5	correct classification of single-task items
25.132956	2.5	correct classification of single-task items
28.444847999999997	2.5	correct classification of single-task items
33.65917	2.5	correct classification of dual-task items
37.760321999999995	2.5	correct classification of dual-task items
41.931575	2.5	correct classification of dual-task items
46.430797999999996	2.5	junk single-task items
53.526132999999994	2.5	junk single-task items
57.760066	2.5	junk single-task items
61.75192	2.5	junk single-task items
68.50553599999999	2.5	correct classification of dual-task items
71.572886	2.5	junk dual-task items
74.79043	2.5	junk dual-task items
78.80549	2.5	junk single-task items
82.12678100000001	2.5	junk single-task items
85.948447	2.5	correct classification of dual-task items
90.971296	2.5	correct classification of dual-task items
95.08782	2.5	correct classification of single-task items
99.259991	2.5	junk single-task items
102.47085	2.5	correct classification of single-task items
106.44738000000001	2.5	correct classification of dual-task items
110.6269	2.5	junk dual-task items
116.93068000000001	2.5	junk single-task items
120.25238999999999	2.5	correct classification of dual-task items
124.94769	2.5	junk single-task items
128.63513999999998	2.5	junk dual-task items
132.59637	2.5	correct classification of dual-task items
140.09816	2.5	junk dual-task items
145.44796000000002	2.5	correct classification of dual-task items
150.00912	2.5	junk dual-task items
153.29174	2.5	correct classification of single-task items
156.93868999999998	2.5	correct classification of single-task items
160.25931	2.5	junk single-task items
163.44754	2.5	junk dual-task items
170.53447	2.5	junk single-task items
174.5185	2.5	correct classification of single-task items
180.56402	2.5	correct classification of dual-task items
183.63533	2.5	correct classification of dual-task items
187.65778	2.5	junk single-task items
191.75976	2.5	junk dual-task items
195.00168	2.5	correct classification of dual-task items
198.97688	2.5	correct classification of dual-task items
202.75246	2.5	junk dual-task items
210.33719	2.5	correct classification of single-task items
213.19816	2.5	correct classification of single-task items
220.66492999999997	2.5	junk dual-task items
224.93839	2.5	correct classification of single-task items
227.94789	2.5	correct classification of single-task items
230.948	2.5	correct classification of single-task items
237.48583	2.5	junk dual-task items
241.88488999999998	2.5	correct classification of dual-task items
245.31439	2.5	correct classification of dual-task items
248.75941	2.5	junk single-task items
252.38417	2.5	junk single-task items
256.19798	2.5	correct classification of single-task items
260.32518	2.5	junk single-task items
264.30601	2.5	correct classification of single-task items
268.19721	2.5	correct classification of dual-task items
275.79138	2.5	junk dual-task items
279.06586	2.5	junk single-task items
282.2172	2.5	correct classification of single-task items
285.56361	2.5	correct classification of single-task items
288.50119	2.5	junk single-task items
291.75999	2.5	correct classification of dual-task items
296.82272	2.5	junk dual-task items
300.25187999999997	2.5	junk dual-task items
305.7807	2.5	correct classification of single-task items
310.58831000000004	2.5	junk single-task items
313.44781	2.5	correct classification of single-task items
319.00167000000005	2.5	junk dual-task items
322.06289	2.5	junk dual-task items
326.18866	2.5	correct classification of dual-task items
329.71997999999996	2.5	junk dual-task items
335.66601	2.5	junk single-task items
339.25354	2.5	correct classification of single-task items
344.5813	2.5	junk dual-task items
348.57291000000004	2.5	junk dual-task items
351.63446	2.5	junk dual-task items
354.75883	2.5	junk single-task items
358.69772	2.5	correct classification of single-task items
361.8304	2.5	correct classification of single-task items
366.54037999999997	2.5	correct classification of dual-task items
371.0872	2.5	junk dual-task items
374.0791	2.5	junk dual-task items
377.55584	2.5	correct classification of single-task items
381.2911	2.5	correct classification of single-task items
384.50268	2.5	junk single-task items
388.50125	2.5	junk dual-task items
392.90932999999995	2.5	junk single-task items
396.14342	2.5	junk single-task items
400.19779	2.5	correct classification of single-task items
404.07263	2.5	correct classification of dual-task items
407.72024	2.5	correct classification of dual-task items
410.81408	2.5	junk dual-task items
414.25297	2.5	junk dual-task items
417.30644	2.5	correct classification of single-task items
420.30592	2.5	junk single-task items
427.79103	2.5	correct classification of dual-task items
432.90925999999996	2.5	correct classification of dual-task items
439.0955	2.5	junk dual-task items
444.59570999999994	2.5	correct classification of dual-task items
450.27285	2.5	correct classification of single-task items
455.0799	2.5	correct classification of single-task items
460.38399000000004	2.5	junk single-task items
464.32264000000004	2.5	junk single-task items
468.7206	2.5	junk dual-task items
472.43864	2.5	junk dual-task items
