onset	duration	trial_type
0.139	4.000	dual-task classification
4.802	4.000	dual-task classification
9.448	4.000	dual-task classification
14.049	4.000	dual-task classification
18.649	4.000	dual-task classification
23.149	2.000	dual-task probe
40.930	4.000	dual-task classification
45.523	4.000	dual-task classification
50.173	4.000	dual-task classification
54.766	4.000	dual-task classification
59.361	4.000	dual-task classification
63.861	2.000	dual-task probe
81.719	4.000	dual-task classification
86.376	4.000	dual-task classification
91.023	4.000	dual-task classification
95.728	4.000	dual-task classification
100.376	4.000	dual-task classification
104.876	2.000	dual-task probe
122.657	4.000	dual-task classification
127.255	4.000	dual-task classification
131.910	4.000	dual-task classification
136.612	4.000	dual-task classification
141.317	4.000	dual-task classification
145.817	2.000	dual-task probe
163.535	4.000	dual-task classification
168.129	4.000	dual-task classification
172.776	4.000	dual-task classification
177.426	4.000	dual-task classification
182.129	4.000	dual-task classification
186.629	2.000	dual-task probe
204.393	4.000	dual-task classification
208.987	4.000	dual-task classification
213.643	4.000	dual-task classification
218.236	4.000	dual-task classification
222.829	4.000	dual-task classification
227.329	2.000	dual-task probe
245.129	4.000	dual-task classification
249.722	4.000	dual-task classification
254.378	4.000	dual-task classification
258.970	4.000	dual-task classification
263.565	4.000	dual-task classification
268.065	2.000	dual-task probe
285.865	4.000	dual-task classification
290.459	4.000	dual-task classification
295.051	4.000	dual-task classification
299.755	4.000	dual-task classification
304.354	4.000	dual-task classification
308.854	2.000	dual-task probe
326.728	4.000	dual-task classification
331.375	4.000	dual-task classification
336.080	4.000	dual-task classification
340.679	4.000	dual-task classification
345.391	4.000	dual-task classification
349.891	2.000	dual-task probe
367.709	4.000	dual-task classification
372.358	4.000	dual-task classification
377.007	4.000	dual-task classification
381.658	4.000	dual-task classification
386.255	4.000	dual-task classification
390.755	2.000	dual-task probe
