onset	duration	trial_type
0.000	2.000	tone counting probe
2.172	4.000	tone counting
6.760	4.000	tone counting
11.404	4.000	tone counting
16.042	4.000	tone counting
20.684	4.000	tone counting
25.274	4.000	tone counting
29.916	4.000	tone counting
34.507	4.000	tone counting
39.007	3.000	tone counting probe
56.000	2.000	tone counting probe
58.207	4.000	tone counting
62.894	4.000	tone counting
67.583	4.000	tone counting
72.211	4.000	tone counting
76.796	4.000	tone counting
81.380	4.000	tone counting
86.029	4.000	tone counting
90.604	4.000	tone counting
95.104	3.000	tone counting probe
112.000	2.000	tone counting probe
114.205	4.000	tone counting
118.841	4.000	tone counting
123.427	4.000	tone counting
128.065	4.000	tone counting
132.650	4.000	tone counting
137.349	4.000	tone counting
141.998	4.000	tone counting
146.581	4.000	tone counting
151.081	3.000	tone counting probe
168.000	2.000	tone counting probe
170.095	4.000	tone counting
174.737	4.000	tone counting
179.370	4.000	tone counting
184.008	4.000	tone counting
188.651	4.000	tone counting
193.274	4.000	tone counting
197.876	4.000	tone counting
202.558	4.000	tone counting
207.058	3.000	tone counting probe
