onset	duration	trial_type
0.12	2.0	English-English-Concrete-Novel
5.12	2.0	Spanish-English-Concrete-Novel
8.12	2.0	English-English-Concrete-Repeat
15.12	2.0	Spanish-Spanish-Concrete-Novel
18.12	2.0	English-English-Abstract-Novel
22.12	2.0	English-Spanish-Abstract-Novel
24.12	2.0	Spanish-English-Abstract-Novel
26.12	2.0	Spanish-Spanish-Concrete-Repeat
29.12	2.0	English-English-Concrete-Novel
35.12	2.0	English-English-Concrete-Repeat
43.12	2.0	English-Spanish-Concrete-Novel
47.12	2.0	Spanish-Spanish-Concrete-Novel
54.12	2.0	English-English-Abstract-Repeat
57.12	2.0	Spanish-Spanish-Concrete-Repeat
62.12	2.0	English-English-Abstract-Novel
71.12	2.0	Spanish-English-Abstract-Repeat
76.12	2.0	English-English-Concrete-Novel
80.12	2.0	Spanish-English-Abstract-Novel
82.12	2.0	Spanish-English-Abstract-Repeat
86.12	2.0	Spanish-Spanish-Abstract-Novel
89.12	2.0	Spanish-Spanish-Abstract-Repeat
98.12	2.0	Spanish-English-Abstract-Novel
100.12	2.0	English-Spanish-Abstract-Repeat
107.12	2.0	English-Spanish-Concrete-Repeat
109.12	2.0	English-English-Abstract-Repeat
112.12	2.0	English-Spanish-Concrete-Novel
114.12	2.0	English-Spanish-Abstract-Novel
117.12	2.0	Spanish-English-Concrete-Repeat
120.12	2.0	Spanish-Spanish-Abstract-Novel
122.12	2.0	English-Spanish-Concrete-Repeat
125.12	2.0	Spanish-Spanish-Concrete-Novel
127.12	2.0	Spanish-English-Abstract-Repeat
130.12	2.0	English-English-Concrete-Repeat
134.12	2.0	Spanish-Spanish-Concrete-Repeat
137.12	2.0	English-Spanish-Abstract-Repeat
139.12	2.0	English-Spanish-Concrete-Novel
143.12	2.0	English-Spanish-Abstract-Novel
146.12	2.0	English-English-Abstract-Novel
148.12	2.0	Spanish-English-Concrete-Novel
150.12	2.0	Spanish-English-Concrete-Repeat
157.12	2.0	English-Spanish-Concrete-Repeat
161.12	2.0	Spanish-English-Abstract-Novel
165.12	2.0	English-English-Abstract-Repeat
169.12	2.0	Spanish-Spanish-Abstract-Repeat
175.12	2.0	English-Spanish-Concrete-Novel
178.12	2.0	Spanish-Spanish-Abstract-Novel
181.12	2.0	English-Spanish-Abstract-Repeat
183.12	2.0	English-Spanish-Concrete-Repeat
188.12	2.0	English-Spanish-Concrete-Novel
193.12	2.0	English-English-Concrete-Novel
196.12	2.0	English-English-Abstract-Novel
199.12	2.0	Spanish-English-Abstract-Repeat
205.12	2.0	English-English-Abstract-Repeat
209.12	2.0	Spanish-English-Abstract-Novel
212.12	2.0	English-Spanish-Concrete-Repeat
214.12	2.0	English-Spanish-Abstract-Novel
217.12	2.0	Spanish-Spanish-Concrete-Novel
223.12	2.0	English-English-Concrete-Repeat
226.12	2.0	English-English-Abstract-Novel
231.12	2.0	Spanish-Spanish-Abstract-Repeat
233.12	2.0	English-English-Abstract-Repeat
238.12	2.0	Spanish-Spanish-Concrete-Repeat
241.12	2.0	Spanish-Spanish-Abstract-Novel
243.12	2.0	Spanish-English-Abstract-Repeat
247.12	2.0	English-English-Abstract-Novel
250.12	2.0	English-Spanish-Concrete-Novel
256.12	2.0	Spanish-Spanish-Abstract-Repeat
260.12	2.0	English-Spanish-Abstract-Repeat
267.12	2.0	English-Spanish-Abstract-Novel
270.12	2.0	Spanish-English-Abstract-Novel
274.12	2.0	English-English-Concrete-Novel
286.12	2.0	English-English-Concrete-Repeat
292.12	2.0	English-Spanish-Abstract-Repeat
295.12	2.0	English-English-Concrete-Novel
299.12	2.0	Spanish-Spanish-Abstract-Novel
303.12	2.0	Spanish-English-Concrete-Novel
307.12	2.0	English-Spanish-Abstract-Novel
311.12	2.0	Spanish-Spanish-Concrete-Novel
317.12	2.0	Spanish-English-Concrete-Repeat
322.12	2.0	English-Spanish-Concrete-Repeat
325.12	2.0	Spanish-Spanish-Concrete-Repeat
327.12	2.0	English-Spanish-Abstract-Repeat
330.12	2.0	Spanish-Spanish-Abstract-Repeat
334.12	2.0	Spanish-English-Concrete-Novel
337.12	2.0	Spanish-Spanish-Concrete-Novel
340.12	2.0	English-English-Abstract-Repeat
346.12	2.0	Spanish-English-Concrete-Repeat
350.12	2.0	Spanish-Spanish-Concrete-Repeat
352.12	2.0	Spanish-English-Concrete-Novel
356.12	2.0	Spanish-Spanish-Abstract-Novel
359.12	2.0	Spanish-English-Concrete-Repeat
363.12	2.0	Spanish-English-Concrete-Novel
380.12	2.0	Spanish-English-Concrete-Repeat
383.12	2.0	English-English-Concrete-Repeat
388.12	2.0	Spanish-English-Abstract-Repeat
394.12	2.0	Spanish-Spanish-Abstract-Repeat
