onset	duration	trial_type	0	1	2	3
0.12	2.0	Spanish-English-Abstract-Novel	rareza	SEAn_13	2984	39
3.12	2.0	Spanish-Spanish-Concrete-Novel	venda	SSCn_13	9984	25
13.12	2.0	English-Spanish-Concrete-Novel	chair	ESCn_13	2984	69
16.12	2.0	English-English-Abstract-Novel	pressure	EEAn_13	2984	18
19.12	2.0	English-English-Concrete-Novel	garlic	EECn_13	3984	33
23.12	2.0	Spanish-Spanish-Abstract-Novel	trayecto	SSAn_13	1984	2
25.12	2.0	Spanish-Spanish-Abstract-Repeat	trayecto	SSAr_13	2984	2
28.12	2.0	Spanish-Spanish-Concrete-Repeat	venda	SSCr_13	2984	25
31.12	2.0	Spanish-Spanish-Abstract-Novel	sur	SSAn_14	2984	98
34.12	2.0	English-English-Abstract-Repeat	pressure	EEAr_13	4984	18
39.12	2.0	Spanish-English-Abstract-Repeat	rarity	SEAr_13	2984	39
42.12	2.0	English-Spanish-Abstract-Novel	style	ESAn_13	1984	21
44.12	2.0	Spanish-Spanish-Concrete-Novel	paraguas	SSCn_14	3984	4
48.12	2.0	Spanish-Spanish-Concrete-Repeat	paraguas	SSCr_14	3984	4
52.12	2.0	English-English-Concrete-Repeat	garlic	EECr_13	3984	33
56.12	2.0	English-English-Concrete-Novel	arrow	EECn_14	1984	20
58.12	2.0	English-English-Abstract-Novel	rating	EEAn_14	4984	38
63.12	2.0	English-Spanish-Abstract-Repeat	estilo	ESAr_13	2984	21
66.12	2.0	Spanish-English-Concrete-Novel	montaña	SECn_13	5984	53
72.12	2.0	English-Spanish-Abstract-Novel	hue	ESAn_14	3984	12
76.12	2.0	English-English-Concrete-Repeat	arrow	EECr_14	5984	20
82.12	2.0	English-Spanish-Concrete-Repeat	silla	ESCr_13	1984	69
84.12	2.0	English-Spanish-Abstract-Repeat	matiz	ESAr_14	7984	12
92.12	2.0	Spanish-Spanish-Concrete-Novel	escarcha	SSCn_15	1984	53
94.12	2.0	Spanish-English-Abstract-Novel	chiste	SEAn_14	1984	19
96.12	2.0	English-English-Abstract-Repeat	rating	EEAr_14	2984	38
99.12	2.0	English-English-Concrete-Novel	sea	EECn_15	4984	5
104.12	2.0	English-English-Concrete-Repeat	sea	EECr_15	2984	5
107.12	2.0	English-Spanish-Abstract-Novel	malady	ESAn_15	5984	41
113.12	2.0	Spanish-English-Abstract-Repeat	joke	SEAr_14	5984	19
119.12	2.0	Spanish-English-Concrete-Repeat	mountain	SECr_13	2984	53
122.12	2.0	Spanish-English-Concrete-Novel	flauta	SECn_14	1984	10
124.12	2.0	English-Spanish-Concrete-Novel	corner	ESCn_14	4984	60
129.12	2.0	Spanish-Spanish-Abstract-Repeat	sur	SSAr_14	2984	98
132.12	2.0	Spanish-English-Concrete-Repeat	flute	SECr_14	2984	10
135.12	2.0	Spanish-English-Concrete-Novel	cárcel	SECn_15	6984	16
142.12	2.0	English-English-Abstract-Novel	agreement	EEAn_15	2984	25
145.12	2.0	Spanish-Spanish-Concrete-Repeat	escarcha	SSCr_15	2984	53
148.12	2.0	English-Spanish-Abstract-Repeat	enfermedad	ESAr_15	2984	41
151.12	2.0	Spanish-English-Concrete-Repeat	prison	SECr_15	4984	16
156.12	2.0	Spanish-Spanish-Abstract-Novel	reconocimiento	SSAn_15	2984	20
159.12	2.0	English-Spanish-Abstract-Novel	knowledge	ESAn_16	1984	28
161.12	2.0	Spanish-English-Concrete-Novel	nieve	SECn_16	2984	149
164.12	2.0	English-English-Concrete-Novel	cloud	EECn_16	2984	10
167.12	2.0	English-English-Abstract-Repeat	agreement	EEAr_15	4984	25
172.12	2.0	English-English-Abstract-Novel	despair	EEAn_16	1984	20
174.12	2.0	English-English-Concrete-Repeat	cloud	EECr_16	1984	10
176.12	2.0	Spanish-Spanish-Abstract-Repeat	reconocimiento	SSAr_15	7984	20
184.12	2.0	English-Spanish-Concrete-Repeat	esquina	ESCr_14	2984	60
187.12	2.0	English-Spanish-Abstract-Repeat	conocimiento	ESAr_16	1984	28
189.12	2.0	Spanish-English-Abstract-Novel	pavor	SEAn_15	2984	6
