onset	duration	trial_type
0.12	2.0	positive feedback
7.12	2.0	negative feedback
15.62	2.0	negative feedback
22.12	2.0	negative feedback
29.62	2.0	negative feedback
36.12	2.0	positive feedback
49.12	2.0	positive feedback
57.12	2.0	positive feedback
64.62	2.0	negative feedback
76.12	2.0	negative feedback
83.12	2.0	positive feedback
94.62	2.0	positive feedback
106.62	2.0	negative feedback
115.62	2.0	positive feedback
131.62	2.0	negative feedback
144.12	2.0	positive feedback
151.12	2.0	positive feedback
159.62	2.0	negative feedback
168.62	2.0	positive feedback
176.12	2.0	negative feedback
182.62	2.0	positive feedback
197.12	2.0	negative feedback
204.12	2.0	positive feedback
216.12	2.0	negative feedback
224.62	2.0	positive feedback
232.12	2.0	positive feedback
240.62	2.0	negative feedback
247.12	2.0	positive feedback
255.12	2.0	negative feedback
261.62	2.0	negative feedback
274.62	2.0	negative feedback
282.12	2.0	negative feedback
288.62	2.0	negative feedback
300.62	2.0	negative feedback
310.62	2.0	positive feedback
321.62	2.0	positive feedback
332.62	2.0	negative feedback
339.62	2.0	negative feedback
348.12	2.0	negative feedback
362.12	2.0	positive feedback
371.62	2.0	positive feedback
379.62	2.0	positive feedback
388.12	2.0	negative feedback
399.12	2.0	negative feedback
406.12	2.0	negative feedback
420.62	2.0	positive feedback
427.12	2.0	negative feedback
441.62	2.0	negative feedback
