onset	duration	trial_type
0.120	2.000	positive feedback
7.620	2.000	positive feedback
14.620	2.000	positive feedback
29.120	2.000	positive feedback
35.620	2.000	positive feedback
48.120	2.000	positive feedback
65.620	2.000	negative feedback
73.120	2.000	positive feedback
84.120	2.000	negative feedback
91.620	2.000	negative feedback
99.620	2.000	negative feedback
107.120	2.000	positive feedback
113.620	2.000	positive feedback
124.620	2.000	positive feedback
141.120	2.000	positive feedback
149.620	2.000	positive feedback
159.120	2.000	positive feedback
168.620	2.000	negative feedback
175.620	2.000	positive feedback
183.120	2.000	positive feedback
189.620	2.000	positive feedback
198.120	2.000	negative feedback
209.620	2.000	negative feedback
217.620	2.000	positive feedback
224.620	2.000	negative feedback
231.620	2.000	negative feedback
238.120	2.000	positive feedback
244.620	2.000	positive feedback
251.120	2.000	negative feedback
264.620	2.000	negative feedback
271.120	2.000	positive feedback
282.620	2.000	negative feedback
289.120	2.000	positive feedback
295.620	2.000	positive feedback
305.120	2.000	negative feedback
312.120	2.000	negative feedback
320.620	2.000	positive feedback
329.120	2.000	positive feedback
336.620	2.000	negative feedback
352.120	2.000	positive feedback
370.620	2.000	positive feedback
378.620	2.000	negative feedback
385.120	2.000	positive feedback
405.120	2.000	negative feedback
413.620	2.000	negative feedback
422.120	2.000	negative feedback
430.120	2.000	positive feedback
438.620	2.000	negative feedback
