onset	duration	trial_type	Unnamed: 1	Rsponse	StimVar	Stimulus	ResponseTime
0.0	1.0	incongruent_correct	1	2	incongruent	625	 
2.5	1.0	incongruent_correct	1	2	incongruent	453	 
5.0	1.0	congruent_correct	1	1	congruent	449	 
7.5	1.0	congruent_correct	1	1	congruent	511	 
10.0	1.0	incongruent_correct	1	2	incongruent	411	 
12.5	1.0	incongruent_correct	1	2	incongruent	376	 
20.0	1.0	incongruent_correct	1	2	incongruent	965	 
22.5	1.0	incongruent_correct	1	2	incongruent	370	 
25.0	1.0	congruent_correct	1	1	congruent	390	 
27.5	1.0	congruent_correct	1	1	congruent	427	 
30.0	1.0	congruent_correct	1	1	congruent	408	 
32.5	1.0	congruent_correct	1	1	congruent	342	 
45.0	1.0	congruent_correct	1	1	congruent	493	 
47.5	1.0	congruent_correct	1	1	congruent	417	 
50.0	1.0	incongruent_correct	1	2	incongruent	573	 
52.5	1.0	incongruent_correct	1	2	incongruent	474	 
55.0	1.0	congruent_correct	1	1	congruent	487	 
57.5	1.0	incongruent_correct	1	2	incongruent	483	 
65.0	1.0	congruent_correct	1	1	congruent	490	 
67.5	1.0	incongruent_correct	1	2	incongruent	447	 
70.0	1.0	incongruent_correct	1	2	incongruent	420	 
72.5	1.0	incongruent_correct	1	2	incongruent	327	 
75.0	1.0	congruent_correct	1	1	congruent	437	 
77.5	1.0	congruent_correct	1	1	congruent	345	 
80.0	1.0	congruent_correct	1	1	congruent	340	 
82.5	1.0	congruent_correct	1	1	congruent	314	 
85.0	1.0	congruent_correct	1	1	congruent	346	 
87.5	1.0	incongruent_incorrect	0	2	incongruent	405	 
90.0	1.0	incongruent_correct	1	2	incongruent	464	 
92.5	1.0	congruent_correct	1	1	congruent	436	 
95.0	1.0	incongruent_correct	1	2	incongruent	458	 
97.5	1.0	incongruent_correct	1	2	incongruent	358	 
100.0	1.0	incongruent_correct	1	2	incongruent	323	 
102.5	1.0	incongruent_correct	1	2	incongruent	543	 
105.0	1.0	congruent_correct	1	1	congruent	468	 
107.5	1.0	congruent_correct	1	1	congruent	338	 
110.0	1.0	incongruent_incorrect	0	2	incongruent	415	 
112.5	1.0	incongruent_correct	1	2	incongruent	441	 
120.0	1.0	incongruent_correct	1	2	incongruent	632	 
122.5	1.0	congruent_correct	1	1	congruent	468	 
125.0	1.0	congruent_correct	1	1	congruent	369	 
127.5	1.0	congruent_correct	1	1	congruent	391	 
135.0	1.0	incongruent_correct	1	2	incongruent	580	 
137.5	1.0	congruent_correct	1	1	congruent	401	 
140.0	1.0	congruent_correct	1	1	congruent	446	 
142.5	1.0	incongruent_correct	1	2	incongruent	563	 
145.0	1.0	congruent_correct	1	1	congruent	383	 
147.5	1.0	incongruent_correct	1	2	incongruent	459	 
150.0	1.0	congruent_correct	1	1	congruent	408	 
152.5	1.0	congruent_correct	1	1	congruent	324	 
155.0	1.0	congruent_correct	1	1	congruent	417	 
157.5	1.0	incongruent_correct	1	2	incongruent	525	 
160.0	1.0	incongruent_correct	1	2	incongruent	475	 
162.5	1.0	congruent_correct	1	1	congruent	392	 
170.0	1.0	incongruent_correct	1	2	incongruent	502	 
172.5	1.0	congruent_correct	1	1	congruent	490	 
175.0	1.0	congruent_correct	1	1	congruent	470	 
177.5	1.0	incongruent_correct	1	2	incongruent	451	 
185.0	1.0	incongruent_correct	1	2	incongruent	769	 
187.5	1.0	incongruent_correct	1	2	incongruent	581	 
190.0	1.0	incongruent_correct	1	2	incongruent	547	 
192.5	1.0	incongruent_correct	1	2	incongruent	400	 
195.0	1.0	congruent_correct	1	1	congruent	620	 
197.5	1.0	congruent_correct	1	1	congruent	384	 
200.0	1.0	congruent_correct	1	1	congruent	366	 
202.5	1.0	incongruent_correct	1	2	incongruent	465	 
205.0	1.0	incongruent_correct	1	2	incongruent	446	 
207.5	1.0	incongruent_correct	1	2	incongruent	332	 
215.0	1.0	incongruent_correct	1	2	incongruent	545	 
217.5	1.0	incongruent_correct	1	2	incongruent	478	 
220.0	1.0	congruent_correct	1	1	congruent	386	 
222.5	1.0	incongruent_correct	1	2	incongruent	414	 
225.0	1.0	incongruent_correct	1	2	incongruent	460	 
227.5	1.0	congruent_correct	1	1	congruent	465	 
230.0	1.0	congruent_correct	1	1	congruent	326	 
232.5	1.0	congruent_correct	1	1	congruent	386	 
235.0	1.0	incongruent_correct	1	2	incongruent	486	 
237.5	1.0	congruent_correct	1	1	congruent	452	 
240.0	1.0	incongruent_correct	1	2	incongruent	455	 
242.5	1.0	congruent_correct	1	1	congruent	460	 
245.0	1.0	congruent_correct	1	1	congruent	361	 
247.5	1.0	incongruent_correct	1	2	incongruent	422	 
250.0	1.0	congruent_correct	1	1	congruent	442	 
252.5	1.0	congruent_correct	1	1	congruent	543	 
255.0	1.0	incongruent_correct	1	2	incongruent	571	 
257.5	1.0	congruent_correct	1	1	congruent	529	 
270.0	1.0	incongruent_correct	1	2	incongruent	607	 
272.5	1.0	congruent_correct	1	1	congruent	397	 
275.0	1.0	congruent_correct	1	1	congruent	377	 
277.5	1.0	incongruent_incorrect	0	2	incongruent	390	 
280.0	1.0	incongruent_correct	1	2	incongruent	554	 
282.5	1.0	congruent_correct	1	1	congruent	550	 
290.0	1.0	congruent_correct	1	1	congruent	614	 
292.5	1.0	incongruent_correct	1	2	incongruent	506	 
295.0	1.0	incongruent_correct	1	2	incongruent	479	 
297.5	1.0	congruent_correct	1	1	congruent	387	 
