onset	duration	trial_type	congruent_incorrect	Unnamed: 1	Rsponse	StimVar	Stimulus	ResponseTime
0.0	1.0	congruent_correct	n/a	1	1	congruent	827	n/a
2.5	1.0	congruent_correct	n/a	1	1	congruent	389	n/a
10.0	1.0	incongruent_correct	n/a	1	2	incongruent	579	n/a
12.5	1.0	incongruent_correct	n/a	1	2	incongruent	418	n/a
15.0	1.0	incongruent_correct	n/a	1	2	incongruent	644	n/a
17.5	1.0	incongruent_correct	n/a	1	2	incongruent	433	n/a
25.0	1.0	congruent_correct	n/a	1	1	congruent	624	n/a
27.5	1.0	congruent_correct	n/a	1	1	congruent	388	n/a
30.0	1.0	incongruent_correct	n/a	1	2	incongruent	409	n/a
32.5	1.0	congruent_correct	n/a	1	1	congruent	430	n/a
35.0	1.0	incongruent_correct	n/a	1	2	incongruent	459	n/a
37.5	1.0	congruent_correct	n/a	1	1	congruent	367	n/a
40.0	1.0	congruent_correct	n/a	1	1	congruent	371	n/a
42.5	1.0	incongruent_correct	n/a	1	2	incongruent	440	n/a
45.0	1.0	incongruent_correct	n/a	1	2	incongruent	308	n/a
47.5	1.0	incongruent_incorrect	n/a	0	2	incongruent	377	n/a
50.0	1.0	incongruent_correct	n/a	1	2	incongruent	510	n/a
52.5	1.0	incongruent_correct	n/a	1	2	incongruent	557	n/a
60.0	1.0	congruent_correct	n/a	1	1	congruent	584	n/a
62.5	1.0	congruent_correct	n/a	1	1	congruent	422	n/a
65.0	1.0	congruent_correct	n/a	1	1	congruent	417	n/a
67.5	1.0	congruent_correct	n/a	1	1	congruent	382	n/a
75.0	1.0	congruent_correct	n/a	1	1	congruent	531	n/a
77.5	1.0	congruent_correct	n/a	1	1	congruent	377	n/a
80.0	1.0	congruent_correct	n/a	1	1	congruent	349	n/a
82.5	1.0	incongruent_correct	n/a	1	2	incongruent	425	n/a
85.0	1.0	incongruent_correct	n/a	1	2	incongruent	423	n/a
87.5	1.0	congruent_correct	n/a	1	1	congruent	348	n/a
90.0	1.0	incongruent_correct	n/a	1	2	incongruent	401	n/a
92.5	1.0	congruent_correct	n/a	1	1	congruent	388	n/a
95.0	1.0	congruent_correct	n/a	1	1	congruent	346	n/a
97.5	1.0	incongruent_correct	n/a	1	2	incongruent	494	n/a
100.0	1.0	congruent_correct	n/a	1	1	congruent	413	n/a
102.5	1.0	incongruent_correct	n/a	1	2	incongruent	432	n/a
105.0	1.0	incongruent_incorrect	n/a	0	2	incongruent	389	n/a
107.5	1.0	incongruent_correct	n/a	1	2	incongruent	544	n/a
110.0	1.0	congruent_correct	n/a	1	1	congruent	359	n/a
112.5	1.0	congruent_correct	n/a	1	1	congruent	417	n/a
120.0	1.0	congruent_correct	n/a	1	1	congruent	496	n/a
122.5	1.0	congruent_correct	n/a	1	1	congruent	389	n/a
125.0	1.0	congruent_correct	n/a	1	1	congruent	490	n/a
127.5	1.0	congruent_correct	n/a	1	1	congruent	366	n/a
130.0	1.0	congruent_correct	n/a	1	1	congruent	354	n/a
132.5	1.0	incongruent_correct	n/a	1	2	incongruent	439	n/a
135.0	1.0	congruent_correct	n/a	1	1	congruent	420	n/a
137.5	1.0	incongruent_correct	n/a	1	2	incongruent	553	n/a
140.0	1.0	congruent_correct	n/a	1	1	congruent	494	n/a
142.5	1.0	incongruent_correct	n/a	1	2	incongruent	378	n/a
150.0	1.0	incongruent_correct	n/a	1	2	incongruent	576	n/a
152.5	1.0	congruent_correct	n/a	1	1	congruent	429	n/a
155.0	1.0	incongruent_correct	n/a	1	2	incongruent	521	n/a
157.5	1.0	incongruent_correct	n/a	1	2	incongruent	471	n/a
160.0	1.0	incongruent_incorrect	n/a	0	2	incongruent	371	n/a
162.5	1.0	incongruent_correct	n/a	1	2	incongruent	567	n/a
165.0	1.0	incongruent_correct	n/a	1	2	incongruent	491	n/a
167.5	1.0	incongruent_correct	n/a	1	2	incongruent	432	n/a
170.0	1.0	incongruent_correct	n/a	1	2	incongruent	502	n/a
172.5	1.0	incongruent_correct	n/a	1	2	incongruent	394	n/a
175.0	1.0	congruent_correct	n/a	1	1	congruent	398	n/a
177.5	1.0	congruent_correct	n/a	1	1	congruent	363	n/a
185.0	1.0	incongruent_correct	n/a	1	2	incongruent	658	n/a
187.5	1.0	congruent_correct	n/a	1	1	congruent	462	n/a
190.0	1.0	congruent_correct	n/a	1	1	congruent	379	n/a
192.5	1.0	incongruent_correct	n/a	1	2	incongruent	574	n/a
195.0	1.0	incongruent_correct	n/a	1	2	incongruent	580	n/a
197.5	1.0	incongruent_correct	n/a	1	2	incongruent	424	n/a
200.0	1.0	incongruent_correct	n/a	1	2	incongruent	445	n/a
202.5	1.0	congruent_correct	n/a	1	1	congruent	426	n/a
210.0	1.0	incongruent_correct	n/a	1	2	incongruent	559	n/a
212.5	1.0	incongruent_correct	n/a	1	2	incongruent	397	n/a
215.0	1.0	congruent_correct	n/a	1	1	congruent	354	n/a
217.5	1.0	incongruent_correct	n/a	1	2	incongruent	407	n/a
225.0	1.0	congruent_correct	n/a	1	1	congruent	419	n/a
227.5	1.0	congruent_correct	n/a	1	1	congruent	392	n/a
230.0	1.0	congruent_correct	n/a	1	1	congruent	453	n/a
232.5	1.0	congruent_correct	n/a	1	1	congruent	377	n/a
235.0	1.0	incongruent_incorrect	n/a	0	2	incongruent	342	n/a
237.5	1.0	congruent_correct	n/a	1	1	congruent	451	n/a
240.0	1.0	congruent_correct	n/a	1	1	congruent	416	n/a
242.5	1.0	incongruent_correct	n/a	1	2	incongruent	516	n/a
245.0	1.0	incongruent_correct	n/a	1	2	incongruent	497	n/a
247.5	1.0	congruent_correct	n/a	1	1	congruent	502	n/a
250.0	1.0	incongruent_correct	n/a	1	2	incongruent	363	n/a
252.5	1.0	congruent_correct	n/a	1	1	congruent	410	n/a
260.0	1.0	incongruent_correct	n/a	1	2	incongruent	468	n/a
262.5	1.0	congruent_correct	n/a	1	1	congruent	393	n/a
270.0	1.0	congruent_correct	n/a	1	1	congruent	567	n/a
272.5	1.0	congruent_correct	n/a	1	1	congruent	459	n/a
275.0	1.0	incongruent_correct	n/a	1	2	incongruent	553	n/a
277.5	1.0	congruent_correct	n/a	1	1	congruent	526	n/a
285.0	1.0	congruent_correct	n/a	1	1	congruent	492	n/a
287.5	1.0	incongruent_correct	n/a	1	2	incongruent	480	n/a
290.0	1.0	congruent_correct	n/a	1	1	congruent	381	n/a
292.5	1.0	incongruent_correct	n/a	1	2	incongruent	450	n/a
295.0	1.0	incongruent_correct	n/a	1	2	incongruent	558	n/a
297.5	1.0	incongruent_correct	n/a	1	2	incongruent	364	n/a
