	onset	duration	trial_type	incongruent_incorrect	Unnamed: 1	Rsponse	StimVar	Stimulus	ResponseTime
0	0.0	1.0	incongruent_correct	n/a	1	2	incongruent	586	n/a
1	2.5	1.0	incongruent_correct	n/a	1	2	incongruent	413	n/a
2	5.0	1.0	congruent_incorrect	n/a	0	1	congruent	801	n/a
3	7.5	1.0	congruent_correct	n/a	1	1	congruent	454	n/a
4	10.0	1.0	incongruent_correct	n/a	1	2	incongruent	547	n/a
5	12.5	1.0	incongruent_correct	n/a	1	2	incongruent	447	n/a
6	20.0	1.0	incongruent_correct	n/a	1	2	incongruent	436	n/a
7	22.5	1.0	incongruent_correct	n/a	1	2	incongruent	369	n/a
8	25.0	1.0	congruent_correct	n/a	1	1	congruent	413	n/a
9	27.5	1.0	congruent_correct	n/a	1	1	congruent	395	n/a
10	30.0	1.0	congruent_correct	n/a	1	1	congruent	479	n/a
11	32.5	1.0	congruent_correct	n/a	1	1	congruent	388	n/a
12	45.0	1.0	congruent_correct	n/a	1	1	congruent	482	n/a
13	47.5	1.0	congruent_correct	n/a	1	1	congruent	376	n/a
14	50.0	1.0	incongruent_correct	n/a	1	2	incongruent	603	n/a
15	52.5	1.0	incongruent_correct	n/a	1	2	incongruent	561	n/a
16	55.0	1.0	congruent_incorrect	n/a	0	1	congruent	556	n/a
17	57.5	1.0	incongruent_correct	n/a	1	2	incongruent	682	n/a
18	65.0	1.0	congruent_correct	n/a	1	1	congruent	1049	n/a
19	67.5	1.0	incongruent_correct	n/a	1	2	incongruent	549	n/a
20	70.0	1.0	incongruent_correct	n/a	1	2	incongruent	514	n/a
21	72.5	1.0	incongruent_correct	n/a	1	2	incongruent	463	n/a
22	75.0	1.0	congruent_correct	n/a	1	1	congruent	475	n/a
23	77.5	1.0	congruent_correct	n/a	1	1	congruent	480	n/a
24	80.0	1.0	congruent_correct	n/a	1	1	congruent	532	n/a
25	82.5	1.0	congruent_correct	n/a	1	1	congruent	521	n/a
26	85.0	1.0	congruent_correct	n/a	1	1	congruent	396	n/a
27	87.5	1.0	incongruent_correct	n/a	1	2	incongruent	659	n/a
28	90.0	1.0	incongruent_correct	n/a	1	2	incongruent	559	n/a
29	92.5	1.0	congruent_correct	n/a	1	1	congruent	443	n/a
30	95.0	1.0	incongruent_correct	n/a	1	2	incongruent	568	n/a
31	97.5	1.0	incongruent_correct	n/a	1	2	incongruent	509	n/a
32	100.0	1.0	incongruent_correct	n/a	1	2	incongruent	714	n/a
33	102.5	1.0	incongruent_correct	n/a	1	2	incongruent	573	n/a
34	105.0	1.0	congruent_correct	n/a	1	1	congruent	435	n/a
35	107.5	1.0	congruent_correct	n/a	1	1	congruent	496	n/a
36	110.0	1.0	incongruent_correct	n/a	1	2	incongruent	549	n/a
37	112.5	1.0	incongruent_correct	n/a	1	2	incongruent	520	n/a
38	120.0	1.0	incongruent_correct	n/a	1	2	incongruent	622	n/a
39	122.5	1.0	congruent_correct	n/a	1	1	congruent	507	n/a
40	125.0	1.0	congruent_correct	n/a	1	1	congruent	488	n/a
41	127.5	1.0	congruent_correct	n/a	1	1	congruent	541	n/a
42	135.0	1.0	incongruent_correct	n/a	1	2	incongruent	602	n/a
43	137.5	1.0	congruent_correct	n/a	1	1	congruent	496	n/a
44	140.0	1.0	congruent_correct	n/a	1	1	congruent	477	n/a
45	142.5	1.0	incongruent_correct	n/a	1	2	incongruent	545	n/a
46	145.0	1.0	congruent_correct	n/a	1	1	congruent	478	n/a
47	147.5	1.0	incongruent_correct	n/a	1	2	incongruent	539	n/a
48	150.0	1.0	congruent_correct	n/a	1	1	congruent	559	n/a
49	152.5	1.0	congruent_correct	n/a	1	1	congruent	451	n/a
50	155.0	1.0	congruent_correct	n/a	1	1	congruent	458	n/a
51	157.5	1.0	incongruent_correct	n/a	1	2	incongruent	565	n/a
52	160.0	1.0	incongruent_correct	n/a	1	2	incongruent	514	n/a
53	162.5	1.0	congruent_correct	n/a	1	1	congruent	470	n/a
54	170.0	1.0	incongruent_correct	n/a	1	2	incongruent	669	n/a
55	172.5	1.0	congruent_correct	n/a	1	1	congruent	466	n/a
56	175.0	1.0	congruent_correct	n/a	1	1	congruent	518	n/a
