onset	duration	trial_type	incongruent_incorrect	Unnamed: 1	Rsponse	StimVar	Stimulus	ResponseTime
0.0	1.0	incongruent_correct	n/a	1	2	incongruent	632	n/a
2.5	1.0	incongruent_correct	n/a	1	2	incongruent	407	n/a
5.0	1.0	congruent_correct	n/a	1	1	congruent	510	n/a
7.5	1.0	congruent_correct	n/a	1	1	congruent	516	n/a
10.0	1.0	incongruent_correct	n/a	1	2	incongruent	459	n/a
12.5	1.0	incongruent_correct	n/a	1	2	incongruent	498	n/a
20.0	1.0	incongruent_correct	n/a	1	2	incongruent	855	n/a
22.5	1.0	incongruent_correct	n/a	1	2	incongruent	350	n/a
25.0	1.0	congruent_correct	n/a	1	1	congruent	573	n/a
27.5	1.0	congruent_correct	n/a	1	1	congruent	380	n/a
30.0	1.0	congruent_correct	n/a	1	1	congruent	426	n/a
32.5	1.0	congruent_correct	n/a	1	1	congruent	457	n/a
45.0	1.0	congruent_correct	n/a	1	1	congruent	611	n/a
47.5	1.0	congruent_correct	n/a	1	1	congruent	531	n/a
50.0	1.0	incongruent_correct	n/a	1	2	incongruent	545	n/a
52.5	1.0	incongruent_correct	n/a	1	2	incongruent	512	n/a
55.0	1.0	congruent_correct	n/a	1	1	congruent	536	n/a
57.5	1.0	incongruent_correct	n/a	1	2	incongruent	438	n/a
65.0	1.0	congruent_correct	n/a	1	1	congruent	651	n/a
67.5	1.0	incongruent_correct	n/a	1	2	incongruent	490	n/a
70.0	1.0	incongruent_correct	n/a	1	2	incongruent	513	n/a
72.5	1.0	incongruent_correct	n/a	1	2	incongruent	431	n/a
75.0	1.0	congruent_correct	n/a	1	1	congruent	591	n/a
77.5	1.0	congruent_correct	n/a	1	1	congruent	453	n/a
80.0	1.0	congruent_correct	n/a	1	1	congruent	964	n/a
82.5	1.0	congruent_correct	n/a	1	1	congruent	378	n/a
85.0	1.0	congruent_correct	n/a	1	1	congruent	530	n/a
87.5	1.0	incongruent_correct	n/a	1	2	incongruent	496	n/a
90.0	1.0	incongruent_correct	n/a	1	2	incongruent	495	n/a
92.5	1.0	congruent_correct	n/a	1	1	congruent	502	n/a
95.0	1.0	incongruent_correct	n/a	1	2	incongruent	389	n/a
97.5	1.0	incongruent_correct	n/a	1	2	incongruent	468	n/a
100.0	1.0	incongruent_correct	n/a	1	2	incongruent	354	n/a
102.5	1.0	incongruent_correct	n/a	1	2	incongruent	633	n/a
105.0	1.0	congruent_correct	n/a	1	1	congruent	408	n/a
107.5	1.0	congruent_correct	n/a	1	1	congruent	479	n/a
110.0	1.0	incongruent_correct	n/a	1	2	incongruent	477	n/a
112.5	1.0	incongruent_correct	n/a	1	2	incongruent	549	n/a
120.0	1.0	incongruent_correct	n/a	1	2	incongruent	497	n/a
122.5	1.0	congruent_correct	n/a	1	1	congruent	408	n/a
125.0	1.0	congruent_correct	n/a	1	1	congruent	407	n/a
127.5	1.0	congruent_correct	n/a	1	1	congruent	366	n/a
135.0	1.0	incongruent_correct	n/a	1	2	incongruent	459	n/a
137.5	1.0	congruent_correct	n/a	1	1	congruent	466	n/a
140.0	1.0	congruent_correct	n/a	1	1	congruent	409	n/a
142.5	1.0	incongruent_correct	n/a	1	2	incongruent	375	n/a
145.0	1.0	congruent_correct	n/a	1	1	congruent	390	n/a
147.5	1.0	incongruent_correct	n/a	1	2	incongruent	437	n/a
150.0	1.0	congruent_incorrect	n/a	0	1	congruent	444	n/a
152.5	1.0	congruent_correct	n/a	1	1	congruent	522	n/a
155.0	1.0	congruent_correct	n/a	1	1	congruent	450	n/a
157.5	1.0	incongruent_correct	n/a	1	2	incongruent	441	n/a
160.0	1.0	incongruent_correct	n/a	1	2	incongruent	471	n/a
162.5	1.0	congruent_correct	n/a	1	1	congruent	494	n/a
170.0	1.0	incongruent_correct	n/a	1	2	incongruent	754	n/a
172.5	1.0	congruent_correct	n/a	1	1	congruent	498	n/a
175.0	1.0	congruent_correct	n/a	1	1	congruent	472	n/a
177.5	1.0	incongruent_correct	n/a	1	2	incongruent	472	n/a
185.0	1.0	incongruent_correct	n/a	1	2	incongruent	620	n/a
187.5	1.0	incongruent_correct	n/a	1	2	incongruent	427	n/a
190.0	1.0	incongruent_correct	n/a	1	2	incongruent	482	n/a
192.5	1.0	incongruent_correct	n/a	1	2	incongruent	585	n/a
195.0	1.0	congruent_correct	n/a	1	1	congruent	472	n/a
197.5	1.0	congruent_correct	n/a	1	1	congruent	551	n/a
200.0	1.0	congruent_correct	n/a	1	1	congruent	510	n/a
202.5	1.0	incongruent_correct	n/a	1	2	incongruent	420	n/a
205.0	1.0	incongruent_correct	n/a	1	2	incongruent	451	n/a
207.5	1.0	incongruent_correct	n/a	1	2	incongruent	386	n/a
215.0	1.0	incongruent_correct	n/a	1	2	incongruent	631	n/a
217.5	1.0	incongruent_correct	n/a	1	2	incongruent	429	n/a
220.0	1.0	congruent_incorrect	n/a	0	1	congruent	501	n/a
222.5	1.0	incongruent_correct	n/a	1	2	incongruent	483	n/a
225.0	1.0	incongruent_correct	n/a	1	2	incongruent	474	n/a
227.5	1.0	congruent_correct	n/a	1	1	congruent	504	n/a
230.0	1.0	congruent_correct	n/a	1	1	congruent	600	n/a
232.5	1.0	congruent_correct	n/a	1	1	congruent	591	n/a
235.0	1.0	incongruent_correct	n/a	1	2	incongruent	605	n/a
237.5	1.0	congruent_correct	n/a	1	1	congruent	477	n/a
240.0	1.0	incongruent_correct	n/a	1	2	incongruent	515	n/a
242.5	1.0	congruent_correct	n/a	1	1	congruent	626	n/a
245.0	1.0	congruent_correct	n/a	1	1	congruent	528	n/a
247.5	1.0	incongruent_correct	n/a	1	2	incongruent	504	n/a
250.0	1.0	congruent_correct	n/a	1	1	congruent	566	n/a
252.5	1.0	congruent_correct	n/a	1	1	congruent	517	n/a
255.0	1.0	incongruent_correct	n/a	1	2	incongruent	515	n/a
257.5	1.0	congruent_correct	n/a	1	1	congruent	491	n/a
270.0	1.0	incongruent_correct	n/a	1	2	incongruent	749	n/a
272.5	1.0	congruent_correct	n/a	1	1	congruent	564	n/a
275.0	1.0	congruent_correct	n/a	1	1	congruent	539	n/a
277.5	1.0	incongruent_correct	n/a	1	2	incongruent	674	n/a
280.0	1.0	incongruent_correct	n/a	1	2	incongruent	529	n/a
282.5	1.0	congruent_correct	n/a	1	1	congruent	631	n/a
290.0	1.0	congruent_correct	n/a	1	1	congruent	924	n/a
292.5	1.0	incongruent_correct	n/a	1	2	incongruent	547	n/a
295.0	1.0	incongruent_correct	n/a	1	2	incongruent	386	n/a
297.5	1.0	congruent_correct	n/a	1	1	congruent	832	n/a
