onset	duration	trial_type	congruent_incorrect	incongruent_incorrect	Unnamed: 1	Rsponse	StimVar	Stimulus	ResponseTime
0.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	514	n/a
2.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	440	n/a
5.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	432	n/a
7.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	302	n/a
10.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	413	n/a
12.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	420	n/a
20.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	432	n/a
22.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	432	n/a
25.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	414	n/a
27.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	430	n/a
30.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	460	n/a
32.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	347	n/a
45.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	414	n/a
47.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	348	n/a
50.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	356	n/a
52.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	418	n/a
55.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	425	n/a
57.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	359	n/a
65.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	372	n/a
67.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	412	n/a
70.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	410	n/a
72.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	394	n/a
75.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	392	n/a
77.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	391	n/a
80.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	461	n/a
82.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	445	n/a
85.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	420	n/a
87.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	546	n/a
90.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	377	n/a
92.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	328	n/a
95.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	391	n/a
97.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	389	n/a
100.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	388	n/a
102.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	442	n/a
105.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	482	n/a
107.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	393	n/a
110.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	351	n/a
112.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	350	n/a
120.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	651	n/a
122.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	370	n/a
125.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	360	n/a
127.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	408	n/a
135.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	421	n/a
137.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	331	n/a
140.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	363	n/a
142.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	385	n/a
145.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	392	n/a
147.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	351	n/a
150.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	430	n/a
152.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	349	n/a
155.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	387	n/a
157.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	522	n/a
160.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	401	n/a
162.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	328	n/a
170.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	420	n/a
172.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	388	n/a
175.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	371	n/a
177.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	409	n/a
185.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	414	n/a
187.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	389	n/a
190.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	436	n/a
192.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	386	n/a
195.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	442	n/a
197.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	321	n/a
200.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	415	n/a
202.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	438	n/a
205.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	429	n/a
207.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	340	n/a
215.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	520	n/a
217.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	392	n/a
220.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	351	n/a
222.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	397	n/a
225.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	380	n/a
227.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	371	n/a
230.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	394	n/a
232.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	328	n/a
235.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	463	n/a
237.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	414	n/a
240.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	397	n/a
242.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	428	n/a
245.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	426	n/a
247.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	378	n/a
250.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	408	n/a
252.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	319	n/a
255.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	437	n/a
257.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	373	n/a
270.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	527	n/a
272.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	318	n/a
275.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	357	n/a
277.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	379	n/a
280.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	451	n/a
282.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	417	n/a
290.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	398	n/a
292.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	406	n/a
295.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	420	n/a
297.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	363	n/a
