onset	duration	trial_type	congruent_incorrect	incongruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	763
10.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	613
20.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	737
32.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	869
44.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	647
54.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	595
64.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	509
76.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	545
88.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	533
102.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	495
116.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	728
130.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	633
140.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	854
154.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	824
164.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	643
174.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	671
184.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	826
196.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	918
208.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	480
220.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	547
232.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	662
246.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	495
260.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	754
274.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	508
