onset	duration	trial_type	congruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	incongruent_correct	n/a	1	2	 incongruent	759
10.000	2.000	congruent_correct	n/a	1	1	 congruent	507
20.000	2.000	incongruent_correct	n/a	1	2	 incongruent	686
30.000	2.000	congruent_correct	n/a	1	1	 congruent	578
40.000	2.000	incongruent_correct	n/a	1	2	 incongruent	678
52.000	2.000	congruent_correct	n/a	1	2	 incongruent	528
64.000	2.000	incongruent_incorrect	n/a	0	1	 congruent	490
76.000	2.000	congruent_correct	n/a	1	1	 congruent	622
88.000	2.000	incongruent_correct	n/a	1	1	 congruent	791
102.000	2.000	congruent_correct	n/a	1	1	 congruent	626
116.000	2.000	incongruent_correct	n/a	1	1	 congruent	716
130.000	2.000	congruent_correct	n/a	1	1	 congruent	710
144.000	2.000	congruent_correct	n/a	1	2	 incongruent	640
154.000	2.000	congruent_correct	n/a	1	2	 incongruent	524
164.000	2.000	incongruent_correct	n/a	1	2	 incongruent	1031
174.000	2.000	incongruent_correct	n/a	1	2	 incongruent	861
184.000	2.000	incongruent_correct	n/a	1	2	 incongruent	1550
196.000	2.000	congruent_correct	n/a	1	2	 incongruent	465
208.000	2.000	incongruent_correct	n/a	1	1	 congruent	651
220.000	2.000	congruent_correct	n/a	1	2	 incongruent	559
232.000	2.000	congruent_correct	n/a	1	2	 incongruent	378
246.000	2.000	incongruent_correct	n/a	1	1	 congruent	699
260.000	2.000	congruent_correct	n/a	1	1	 congruent	446
274.000	2.000	incongruent_correct	n/a	1	1	 congruent	783
