onset	duration	trial_type
12.0	0.5	shoe
14.0	0.5	shoe
16.0	0.5	shoe
18.0	0.5	shoe
20.0	0.5	shoe
22.0	0.5	shoe
24.0	0.5	shoe
26.0	0.5	shoe
28.0	0.5	shoe
30.0	0.5	shoe
32.0	0.5	shoe
34.0	0.5	shoe
48.0	0.5	house
50.0	0.5	house
52.0	0.5	house
54.0	0.5	house
56.0	0.5	house
58.0	0.5	house
60.0	0.5	house
62.0	0.5	house
64.0	0.5	house
66.0	0.5	house
68.0	0.5	house
70.0	0.5	house
84.0	0.5	chair
86.0	0.5	chair
88.0	0.5	chair
90.0	0.5	chair
92.0	0.5	chair
94.0	0.5	chair
96.0	0.5	chair
98.0	0.5	chair
100.0	0.5	chair
102.0	0.5	chair
104.0	0.5	chair
106.0	0.5	chair
120.0	0.5	cat
122.0	0.5	cat
124.0	0.5	cat
126.0	0.5	cat
128.0	0.5	cat
130.0	0.5	cat
132.0	0.5	cat
134.0	0.5	cat
136.0	0.5	cat
138.0	0.5	cat
140.0	0.5	cat
142.0	0.5	cat
156.0	0.5	face
158.0	0.5	face
160.0	0.5	face
162.0	0.5	face
164.0	0.5	face
166.0	0.5	face
168.0	0.5	face
170.0	0.5	face
172.0	0.5	face
174.0	0.5	face
176.0	0.5	face
178.0	0.5	face
192.0	0.5	scrambledpix
194.0	0.5	scrambledpix
196.0	0.5	scrambledpix
198.0	0.5	scrambledpix
200.0	0.5	scrambledpix
202.0	0.5	scrambledpix
204.0	0.5	scrambledpix
206.0	0.5	scrambledpix
208.0	0.5	scrambledpix
210.0	0.5	scrambledpix
212.0	0.5	scrambledpix
214.0	0.5	scrambledpix
228.0	0.5	bottle
230.0	0.5	bottle
232.0	0.5	bottle
234.0	0.5	bottle
236.0	0.5	bottle
238.0	0.5	bottle
240.0	0.5	bottle
242.0	0.5	bottle
244.0	0.5	bottle
246.0	0.5	bottle
248.0	0.5	bottle
250.0	0.5	bottle
264.0	0.5	scissors
266.0	0.5	scissors
268.0	0.5	scissors
270.0	0.5	scissors
272.0	0.5	scissors
274.0	0.5	scissors
276.0	0.5	scissors
278.0	0.5	scissors
280.0	0.5	scissors
282.0	0.5	scissors
284.0	0.5	scissors
286.0	0.5	scissors
