onset	duration	trial_type	0	1	2	3
0.000	0.350	Words	mist	1	NR	NR
1.000	0.350	Words	otter	1	NR	NR
2.000	0.350	Words	otter	1	27	642
3.100	0.350	Words	verse	1	NR	NR
4.100	0.350	Words	pail	1	NR	NR
5.100	0.350	Words	bosom	1	NR	NR
6.100	0.350	Words	tidy	1	NR	NR
7.100	0.350	Words	buyer	1	NR	NR
8.200	0.350	Words	port	1	NR	NR
9.200	0.350	Words	gulf	1	NR	NR
10.200	0.350	Words	gulf	1	27	463
11.200	0.350	Words	timid	1	NR	NR
12.200	0.350	Words	fowl	1	NR	NR
13.300	0.350	Words	navel	1	NR	NR
14.300	0.350	Words	spurt	1	NR	NR
15.300	0.350	Words	naval	1	NR	NR
16.300	0.350	Objects	blmv	2	NR	NR
17.300	0.350	Objects	gmzbw	2	NR	NR
18.400	0.350	Objects	gmzbw	2	27	416
19.400	0.350	Objects	fpjnl	2	NR	NR
20.400	0.350	Objects	nsqs	2	NR	NR
21.400	0.350	Objects	gprdk	2	NR	NR
22.400	0.350	Objects	jjfm	2	NR	NR
23.500	0.350	Objects	vhhtx	2	NR	NR
24.500	0.350	Objects	zrpc	2	NR	NR
25.500	0.350	Objects	tjlf	2	NR	NR
26.500	0.350	Objects	tjlf	2	27	386
27.500	0.350	Objects	hxfnj	2	NR	NR
28.600	0.350	Objects	bptb	2	NR	NR
29.600	0.350	Objects	wzkcb	2	NR	NR
30.600	0.350	Objects	lnzxh	2	NR	NR
31.600	0.350	Objects	mcvqp	2	NR	NR
32.800	0.350	Scrambled objects	kettle	3	NR	NR
33.800	0.350	Scrambled objects	ear	3	NR	NR
34.800	0.350	Scrambled objects	pencil	3	NR	NR
35.800	0.350	Scrambled objects	pencil	3	27	659
36.900	0.350	Scrambled objects	bird	3	NR	NR
37.900	0.350	Scrambled objects	snail	3	NR	NR
38.900	0.350	Scrambled objects	hook	3	NR	NR
39.900	0.350	Scrambled objects	mop	3	NR	NR
41.000	0.350	Scrambled objects	plate	3	NR	NR
42.000	0.350	Scrambled objects	owl	3	NR	NR
43.000	0.350	Scrambled objects	slide	3	NR	NR
44.000	0.350	Scrambled objects	slide	3	27	625
45.100	0.350	Scrambled objects	brain	3	NR	NR
46.100	0.350	Scrambled objects	whisk	3	NR	NR
47.100	0.350	Scrambled objects	worm	3	NR	NR
48.100	0.350	Scrambled objects	leek	3	NR	NR
49.200	0.350	Consonant strings	scram_1	4	NR	NR
50.200	0.350	Consonant strings	scram_2	4	NR	NR
51.300	0.350	Consonant strings	scram_2	4	27	454
52.300	0.350	Consonant strings	scram_4	4	NR	NR
53.300	0.350	Consonant strings	scram_5	4	NR	NR
54.400	0.350	Consonant strings	scram_6	4	NR	NR
55.400	0.350	Consonant strings	scram_7	4	NR	NR
56.400	0.350	Consonant strings	scram_8	4	NR	NR
57.500	0.350	Consonant strings	scram_9	4	NR	NR
58.500	0.350	Consonant strings	scram_10	4	NR	NR
59.500	0.350	Consonant strings	scram_10	4	NR	NR
60.600	0.350	Consonant strings	scram_12	4	NR	NR
61.600	0.350	Consonant strings	scram_13	4	NR	NR
62.700	0.350	Consonant strings	scram_14	4	NR	NR
63.700	0.350	Consonant strings	scram_15	4	NR	NR
64.700	0.350	Consonant strings	scram_16	4	NR	NR
81.000	0.350	Scrambled objects	mug	3	NR	NR
82.000	0.350	Scrambled objects	hat	3	NR	NR
83.100	0.350	Scrambled objects	chain	3	NR	NR
