onset	duration	trial_type
0.0	0.35	Words
1.0	0.35	Words
2.0	0.35	Words
3.1	0.35	Words
4.1	0.35	Words
5.1	0.35	Words
6.1	0.35	Words
7.1	0.35	Words
8.2	0.35	Words
9.2	0.35	Words
10.2	0.35	Words
11.2	0.35	Words
12.2	0.35	Words
13.3	0.35	Words
14.3	0.35	Words
15.3	0.35	Words
16.3	0.35	Objects
17.3	0.35	Objects
18.4	0.35	Objects
19.4	0.35	Objects
20.4	0.35	Objects
21.4	0.35	Objects
22.4	0.35	Objects
23.5	0.35	Objects
24.5	0.35	Objects
25.5	0.35	Objects
26.5	0.35	Objects
27.5	0.35	Objects
28.6	0.35	Objects
29.6	0.35	Objects
30.6	0.35	Objects
31.6	0.35	Objects
32.9	0.35	Scrambled objects
34.0	0.35	Scrambled objects
35.1	0.35	Scrambled objects
36.2	0.35	Scrambled objects
37.3	0.35	Scrambled objects
38.4	0.35	Scrambled objects
39.6	0.35	Scrambled objects
40.7	0.35	Scrambled objects
41.8	0.35	Scrambled objects
42.9	0.35	Scrambled objects
44.1	0.35	Scrambled objects
45.1	0.35	Scrambled objects
46.3	0.35	Scrambled objects
47.5	0.35	Scrambled objects
48.6	0.35	Scrambled objects
49.7	0.35	Scrambled objects
50.8	0.35	Consonant strings
51.9	0.35	Consonant strings
52.9	0.35	Consonant strings
54.0	0.35	Consonant strings
55.1	0.35	Consonant strings
56.2	0.35	Consonant strings
57.2	0.35	Consonant strings
58.3	0.35	Consonant strings
59.4	0.35	Consonant strings
60.4	0.35	Consonant strings
61.5	0.35	Consonant strings
62.6	0.35	Consonant strings
63.8	0.35	Consonant strings
64.8	0.35	Consonant strings
65.9	0.35	Consonant strings
66.9	0.35	Consonant strings
84.1	0.35	Scrambled objects
85.2	0.35	Scrambled objects
86.4	0.35	Scrambled objects
87.5	0.35	Scrambled objects
88.5	0.35	Scrambled objects
89.6	0.35	Scrambled objects
90.7	0.35	Scrambled objects
91.9	0.35	Scrambled objects
93.0	0.35	Scrambled objects
94.2	0.35	Scrambled objects
95.3	0.35	Scrambled objects
96.4	0.35	Scrambled objects
97.5	0.35	Scrambled objects
98.7	0.35	Scrambled objects
99.7	0.35	Scrambled objects
100.9	0.35	Scrambled objects
101.9	0.35	Words
102.9	0.35	Words
104.0	0.35	Words
105.0	0.35	Words
106.0	0.35	Words
107.0	0.35	Words
108.0	0.35	Words
109.0	0.35	Words
110.1	0.35	Words
111.1	0.35	Words
112.1	0.35	Words
113.1	0.35	Words
114.1	0.35	Words
115.2	0.35	Words
116.2	0.35	Words
117.2	0.35	Words
118.3	0.35	Consonant strings
119.4	0.35	Consonant strings
120.5	0.35	Consonant strings
121.5	0.35	Consonant strings
122.5	0.35	Consonant strings
123.7	0.35	Consonant strings
124.7	0.35	Consonant strings
125.9	0.35	Consonant strings
127.0	0.35	Consonant strings
128.0	0.35	Consonant strings
129.1	0.35	Consonant strings
130.2	0.35	Consonant strings
131.3	0.35	Consonant strings
132.3	0.35	Consonant strings
133.4	0.35	Consonant strings
134.5	0.35	Consonant strings
135.6	0.35	Objects
136.6	0.35	Objects
137.6	0.35	Objects
138.6	0.35	Objects
139.6	0.35	Objects
140.7	0.35	Objects
141.7	0.35	Objects
142.7	0.35	Objects
143.7	0.35	Objects
144.7	0.35	Objects
145.8	0.35	Objects
146.8	0.35	Objects
147.8	0.35	Objects
148.8	0.35	Objects
149.8	0.35	Objects
150.9	0.35	Objects
168.1	0.35	Consonant strings
169.1	0.35	Consonant strings
170.2	0.35	Consonant strings
171.3	0.35	Consonant strings
172.3	0.35	Consonant strings
173.4	0.35	Consonant strings
