filename	"cjdh	2	NR	NR"	"mist	1	NR	NR"
func/sub-43task-onebacktask_run-02_bold.nii.gz	"hdrg	2	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"hdrg	2	34	419"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"tgdjz	2	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"bzcrn	2	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"gjss	2	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"nsxrr	2	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"jdjrq	2	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"jdjrq	2	34	506"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"gxkz	2	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"vhjb	2	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"dclm	2	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"bfzqz	2	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"dbwq	2	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"cjczd	2	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"tlqv	2	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"scram_1	4	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"scram_2	4	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"scram_2	4	34	486"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"scram_4	4	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"scram_5	4	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"scram_6	4	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"scram_7	4	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"scram_8	4	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"scram_9	4	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"scram_10	4	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"scram_10	4	34	778"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"scram_12	4	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"scram_13	4	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"scram_14	4	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"scram_15	4	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"scram_16	4	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"goat	3	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"goat	3	34	544"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"camera	3	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"wheel	3	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"camel	3	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"donkey	3	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"candle	3	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"zip	3	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"stool	3	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"stool	3	34	530"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"ruler	3	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"wool	3	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"tap	3	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"mouse	3	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"tiger	3	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"belt	3	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"claw	1	NR	NR"	n/a
func/sub-43task-onebacktask_run-02_bold.nii.gz	"hare	1	NR	NR"	n/a
