onset	duration	trial_type
1.482	2.0	Look_Neg_Cue
3.496	8.0	Look_Neg_Stim
16.498	2.1	Look_Neg_Rating
22.588	2.0	Reapp_Neg_Cue
24.584	4.0	Reapp_Neg_Ant
28.594	8.0	Reapp_Neg_Stim
40.589	2.1	Reapp_Neg_Rating
49.699	2.0	Look_Neutral_Cue
51.696	8.0	Look_Neutral_Stim
66.694	2.1	Look_Neutral_Rating
74.798	2.0	Reapp_Neg_Cue
76.794	4.0	Reapp_Neg_Ant
80.821	2.1	Reapp_Neg_Rating
89.931	2.0	Look_Neutral_Cue
91.927	4.0	Look_Neutral_Ant
95.937	2.1	Look_Neutral_Rating
102.043	2.0	Look_Neg_Cue
104.04	4.0	Look_Neg_Ant
108.05	8.0	Look_Neg_Stim
121.052	2.1	Look_Neg_Rating
127.159	2.0	Look_Neutral_Cue
129.155	4.0	Look_Neutral_Ant
133.182	2.1	Look_Neutral_Rating
135.245	2.0	Reapp_Neg_Cue
137.242	8.0	Reapp_Neg_Stim
149.254	2.1	Reapp_Neg_Rating
156.367	2.0	Look_Neg_Cue
158.364	4.0	Look_Neg_Ant
162.373	2.1	Look_Neg_Rating
168.48	2.0	Look_Neg_Cue
170.477	8.0	Look_Neg_Stim
182.472	2.1	Look_Neg_Rating
191.582	2.0	Look_Neutral_Cue
193.579	8.0	Look_Neutral_Stim
208.577	2.1	Look_Neutral_Rating
215.691	2.0	Reapp_Neg_Cue
217.687	8.0	Reapp_Neg_Stim
231.679	2.1	Reapp_Neg_Rating
237.786	2.0	Reapp_Neg_Cue
239.782	4.0	Reapp_Neg_Ant
243.792	8.0	Reapp_Neg_Stim
258.791	2.1	Reapp_Neg_Rating
266.894	2.0	Look_Neg_Cue
268.891	4.0	Look_Neg_Ant
272.9	2.1	Look_Neg_Rating
282.01	2.0	Look_Neutral_Cue
284.007	4.0	Look_Neutral_Ant
288.0	8.0	Look_Neutral_Stim
302.008	2.1	Look_Neutral_Rating
309.122	2.0	Look_Neg_Cue
311.118	4.0	Look_Neg_Ant
315.111	8.0	Look_Neg_Stim
330.11	2.1	Look_Neg_Rating
336.217	2.0	Reapp_Neg_Cue
338.213	4.0	Reapp_Neg_Ant
342.24	2.1	Reapp_Neg_Rating
350.343	2.0	Look_Neutral_Cue
352.339	4.0	Look_Neutral_Ant
356.349	8.0	Look_Neutral_Stim
371.348	2.1	Look_Neutral_Rating
