onset	duration	trial_type
10.000	10.000	false belief story
22.000	6.000	false belief question
38.000	10.000	false belief story
54.000	6.000	false belief question
70.000	10.000	false photo story
82.000	6.000	false photo question
98.000	10.000	false photo story
112.000	6.000	false photo question
128.000	10.000	false photo story
144.000	6.000	false photo question
160.000	10.000	false photo story
174.000	6.000	false photo question
190.000	10.000	false photo story
200.000	6.000	false photo question
216.000	10.000	false belief story
228.000	6.000	false belief question
244.000	10.000	false photo story
260.000	6.000	false photo question
276.000	10.000	false belief story
290.000	6.000	false belief question
306.000	10.000	false belief story
316.000	6.000	false belief question
332.000	10.000	false belief story
342.000	6.000	false belief question
