onset	duration	trial_type
4.001	1.0	Valid Other Obj Cue: valid cue where following stimulus was an untested or no response object
10.001	0.5	Valid Other Obj: stimulus that was an untested or no response object and that followed a valid cue
12.0555	1.0	Valid Miss Cue: valid cue where following object was a subsequent miss
16.0555	0.5	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue
18.0944	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble
24.0944	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue
28.1357	1.0	Invalid Miss Cue: invalid cue where following object was a subsequent miss
32.1357	0.5	Invalid Miss Obj: object that was a subsequent miss and that followed an invalid cue
34.1781	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble
36.1781	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue
38.216	1.0	Valid Miss Cue: valid cue where following object was a subsequent miss
40.216	0.5	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue
42.2534	1.0	Valid Miss Cue: valid cue where following object was a subsequent miss
44.2534	0.5	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue
46.291	1.0	Valid LC-Hit Cue: valid cue where following object was a subsequent low confidence hit
48.291	0.5	Valid LC-Hit Obj: object that was a subsequent low confidence hit and that followed a valid cue
50.3287	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble
56.3287	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue
58.3696	1.0	Invalid Other Greeble Cue: invalid cue where following stimulus was an untested or no response greeble
60.3696	0.5	Invalid Other Greeble: stimulus that was an untested or no response greeble and that followed a invalid cue
62.4075	1.0	Valid LC-Hit Cue: valid cue where following object was a subsequent low confidence hit
64.4075	0.5	Valid LC-Hit Obj: object that was a subsequent low confidence hit and that followed a valid cue
66.4444	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble
72.4444	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue
76.4867	1.0	Valid LC-Hit Cue: valid cue where following object was a subsequent low confidence hit
80.4867	0.5	Valid LC-Hit Obj: object that was a subsequent low confidence hit and that followed a valid cue
86.528	1.0	Valid LC-Hit Cue: valid cue where following object was a subsequent low confidence hit
88.528	0.5	Valid LC-Hit Obj: object that was a subsequent low confidence hit and that followed a valid cue
90.5707	1.0	Valid Miss Cue: valid cue where following object was a subsequent miss
94.5707	0.5	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue
96.6102	1.0	Valid Miss Cue: valid cue where following object was a subsequent miss
100.6102	0.5	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue
102.6497	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble
108.6497	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue
110.6915	1.0	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit
114.6915	0.5	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue
118.7307	1.0	Invalid Other Greeble Cue: invalid cue where following stimulus was an untested or no response greeble
120.7307	0.5	Invalid Other Greeble: stimulus that was an untested or no response greeble and that followed a invalid cue
122.7699	1.0	Valid Miss Cue: valid cue where following object was a subsequent miss
126.7699	0.5	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue
130.8099	1.0	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit
132.8099	0.5	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue
136.849	1.0	Valid LC-Hit Cue: valid cue where following object was a subsequent low confidence hit
142.849	0.5	Valid LC-Hit Obj: object that was a subsequent low confidence hit and that followed a valid cue
144.8938	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble
148.8938	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue
150.9327	1.0	Valid Miss Cue: valid cue where following object was a subsequent miss
154.9327	0.5	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue
156.973	1.0	Invalid Miss Cue: invalid cue where following object was a subsequent miss
160.973	0.5	Invalid Miss Obj: object that was a subsequent miss and that followed an invalid cue
163.0131	1.0	Valid Miss Cue: valid cue where following object was a subsequent miss
169.0131	0.5	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue
173.0541	1.0	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit
179.0541	0.5	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue
181.0978	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble
183.0978	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue
185.1358	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble
187.1358	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue
189.1726	1.0	Invalid LC-Hit Cue: invalid cue where following object was a subsequent low confidence hit
193.1726	0.5	Invalid LC-Hit Obj: object that was a subsequent low confidence hit and that followed an invalid cue
197.213	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble
203.213	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue
205.2564	1.0	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit
207.2564	0.5	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue
209.2945	1.0	Invalid Miss Cue: invalid cue where following object was a subsequent miss
211.2945	0.5	Invalid Miss Obj: object that was a subsequent miss and that followed an invalid cue
213.3487	1.0	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit
219.3487	0.5	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue
221.3895	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble
225.3895	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue
227.4297	1.0	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit
231.4297	0.5	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue
233.4696	1.0	Valid Other Obj Cue: valid cue where following stimulus was an untested or no response object
235.4696	0.5	Valid Other Obj: stimulus that was an untested or no response object and that followed a valid cue
247.5483	1.0	Valid Miss Cue: valid cue where following object was a subsequent miss
253.5483	0.5	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue
255.5925	1.0	Valid Other Obj Cue: valid cue where following stimulus was an untested or no response object
257.5925	0.5	Valid Other Obj: stimulus that was an untested or no response object and that followed a valid cue
259.63	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble
265.63	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue
267.6712	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble
271.6712	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue
273.7107	1.0	Valid Other Obj Cue: valid cue where following stimulus was an untested or no response object
277.7107	0.5	Valid Other Obj: stimulus that was an untested or no response object and that followed a valid cue
279.7502	1.0	Invalid Miss Cue: invalid cue where following object was a subsequent miss
281.7502	0.5	Invalid Miss Obj: object that was a subsequent miss and that followed an invalid cue
287.7876	1.0	Valid Miss Cue: valid cue where following object was a subsequent miss
291.7876	0.5	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue
293.8324	1.0	Valid Other Obj Cue: valid cue where following stimulus was an untested or no response object
297.8324	0.5	Valid Other Obj: stimulus that was an untested or no response object and that followed a valid cue
299.8722	1.0	Valid Other Obj Cue: valid cue where following stimulus was an untested or no response object
301.8722	0.5	Valid Other Obj: stimulus that was an untested or no response object and that followed a valid cue
305.909	1.0	Invalid Miss Cue: invalid cue where following object was a subsequent miss
311.909	0.5	Invalid Miss Obj: object that was a subsequent miss and that followed an invalid cue
313.9536	1.0	Valid Miss Cue: valid cue where following object was a subsequent miss
315.9536	0.5	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue
317.99	1.0	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit
323.99	0.5	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue
326.0319	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble
332.0319	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue
334.0739	1.0	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble
340.0739	0.5	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue
342.1158	1.0	Valid LC-Hit Cue: valid cue where following object was a subsequent low confidence hit
348.1158	0.5	Valid LC-Hit Obj: object that was a subsequent low confidence hit and that followed a valid cue
350.1575	1.0	Invalid LC-Hit Cue: invalid cue where following object was a subsequent low confidence hit
352.1575	0.5	Invalid LC-Hit Obj: object that was a subsequent low confidence hit and that followed an invalid cue
356.1952	1.0	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit
360.1952	0.5	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue
362.237	1.0	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit
