onset	duration	trial_type	Object_Cond	Validity_Cond	Obj_Accuracy	Obj_Acc_RT	Subseq_Recog	Subseq_Recog_RT	Subseq_Source_Mem_Acc	Subseq_Source_Mem_Acc_RT
4.000	1.000	Valid Other Obj Cue: valid cue where following stimulus was an untested or no response object	OBJ	V	1	0.99046	UT	UT	UT	UT
8.000	0.500	Valid Other Obj: stimulus that was an untested or no response object and that followed a valid cue	OBJ	V	1	0.99046	UT	UT	UT	UT
10.052	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.92682	UT	UT	UT	UT
14.052	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.92682	UT	UT	UT	UT
16.091	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	 0.7914	LC-MISS	 1.0321	UT	UT
20.091	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	 0.7914	LC-MISS	 1.0321	UT	UT
26.130	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.75999	LC-MISS	 1.0063	UT	UT
32.130	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.75999	LC-MISS	 1.0063	UT	UT
34.176	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.73833	HC-MISS	 1.2341	UT	UT
36.176	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.73833	HC-MISS	 1.2341	UT	UT
38.214	1.000	Invalid Miss Cue: invalid cue where following object was a subsequent miss	OBJ	NV	1	 1.3564	HC-MISS	 1.1557	UT	UT
42.214	0.500	Invalid Miss Obj: object that was a subsequent miss and that followed an invalid cue	OBJ	NV	1	 1.3564	HC-MISS	 1.1557	UT	UT
46.253	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.81755	UT	UT	UT	UT
50.253	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.81755	UT	UT	UT	UT
52.295	1.000	Valid LC-Hit Cue: valid cue where following object was a subsequent low confidence hit	OBJ	V	1	0.93171	LC-HIT	 2.9734	1	0.28481
54.295	0.500	Valid LC-Hit Obj: object that was a subsequent low confidence hit and that followed a valid cue	OBJ	V	1	0.93171	LC-HIT	 2.9734	1	0.28481
56.334	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.72228	LC-MISS	 1.5729	UT	UT
62.334	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.72228	LC-MISS	 1.5729	UT	UT
64.374	1.000	Invalid LC-Hit Cue: invalid cue where following object was a subsequent low confidence hit	OBJ	NV	1	 1.7581	LC-HIT	 1.5364	0	0.33397
66.374	0.500	Invalid LC-Hit Obj: object that was a subsequent low confidence hit and that followed an invalid cue	OBJ	NV	1	 1.7581	LC-HIT	 1.5364	0	0.33397
72.413	1.000	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit	OBJ	V	1	0.62553	HC-HIT	  1.623	0	0.9689
76.413	0.500	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue	OBJ	V	1	0.62553	HC-HIT	  1.623	0	0.9689
78.456	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.88718	LC-MISS	 1.4045	UT	UT
84.456	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.88718	LC-MISS	 1.4045	UT	UT
