onset	duration	trial_type	run	run_id	volume	run_volume	stim	genre	delay	catch	sound_soa	trigger_ts
0.03	6.0	country	5	2	612	0	country_001.wav	country	8	1	0.03279999999995198	2296.04
14.0	6.0	ambient	5	2	619	7	ambient_000.wav	ambient	6	0	0.003400000000056025	2310.0391
26.0	6.0	rocknroll	5	2	625	13	rocknroll_002.wav	rocknroll	6	0	0.0025000000000545697	2322.0395
38.0	6.0	ambient	5	2	631	19	ambient_002.wav	ambient	6	0	0.0035000000002582965	2334.0388
50.0	6.0	ambient	5	2	637	25	ambient_004.wav	ambient	4	0	0.003799999999955617	2346.0389999999998
60.0	6.0	country	5	2	642	30	country_000.wav	country	4	0	0.003400000000056025	2356.0389
70.0	6.0	symphonic	5	2	647	35	symphonic_004.wav	symphonic	4	0	0.0025000000000545697	2366.0385
80.01	6.0	ambient	5	2	652	40	ambient_001.wav	ambient	8	1	0.0079000000000633	2376.0388
94.01	6.0	symphonic	5	2	659	47	symphonic_002.wav	symphonic	8	1	0.012999999999919964	2390.0386
108.0	6.0	rocknroll	5	2	666	54	rocknroll_000.wav	rocknroll	6	0	0.0027000000000043656	2404.0394
120.0	6.0	country	5	2	672	60	country_002.wav	country	6	0	0.0024999999995998228	2416.0389999999998
132.0	6.0	rocknroll	5	2	678	66	rocknroll_004.wav	rocknroll	6	0	0.0025000000000545697	2428.0394
144.0	6.0	symphonic	5	2	684	72	symphonic_003.wav	symphonic	6	0	0.0025000000000545697	2440.0385
156.0	6.0	metal	5	2	690	78	metal_003.wav	metal	6	0	0.0025000000000545697	2452.0394
168.0	6.0	symphonic	5	2	696	84	symphonic_000.wav	symphonic	6	0	0.0025000000000545697	2464.0394
180.0	6.0	symphonic	5	2	702	90	symphonic_001.wav	symphonic	6	0	0.0024999999995998228	2476.0389999999998
192.0	6.0	country	5	2	708	96	country_004.wav	country	6	0	0.0024999999995998228	2488.0389999999998
204.0	6.0	metal	5	2	714	102	metal_001.wav	metal	4	0	0.0034999999998035487	2500.0385
214.02	6.0	rocknroll	5	2	719	107	rocknroll_001.wav	rocknroll	8	1	0.015300000000024738	2510.0385
228.0	6.0	rocknroll	5	2	726	114	rocknroll_003.wav	rocknroll	4	0	0.003600000000005821	2524.0388
238.0	6.0	metal	5	2	731	119	metal_002.wav	metal	6	0	0.002400000000307045	2534.0395
250.0	6.0	metal	5	2	737	125	metal_000.wav	metal	6	0	0.003400000000056025	2546.0386
262.0	6.0	ambient	5	2	743	131	ambient_003.wav	ambient	6	0	0.0024999999995998228	2558.0389999999998
274.01	6.0	metal	5	2	749	137	metal_004.wav	metal	8	1	0.012299999999868305	2570.0387
288.0	6.0	country	5	2	756	144	country_003.wav	country	6	0	0.002300000000104774	2584.0389
