onset	duration	trial_type	Response	Stimulus	RT
5.192	0.2	auditory standard stimulus presentation	n/a	n/a	n/a
8.204	0.2	auditory standard stimulus presentation	n/a	n/a	n/a
10.62	0.2	auditory oddball stimulus presentation	1.0	target	n/a
10.62	0.45799999999999996	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
13.664000000000001	0.2	auditory standard stimulus presentation	0.0	standard	n/a
15.715	0.40299999999999997	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
15.715	0.2	auditory oddball stimulus presentation	1.0	target	n/a
18.761	0.2	auditory standard stimulus presentation	0.0	standard	n/a
21.605999999999998	0.2	auditory standard stimulus presentation	0.0	standard	n/a
24.451999999999998	0.2	auditory standard stimulus presentation	0.0	standard	n/a
27.497	0.2	auditory standard stimulus presentation	0.0	standard	n/a
29.531999999999996	0.2	auditory standard stimulus presentation	0.0	standard	n/a
32.577	0.2	auditory standard stimulus presentation	0.0	standard	n/a
35.622	0.2	auditory standard stimulus presentation	0.0	standard	n/a
37.872	0.2	auditory standard stimulus presentation	0.0	standard	n/a
40.503	0.6890000000000001	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
40.503	0.2	auditory oddball stimulus presentation	1.0	target	n/a
42.967	0.2	auditory standard stimulus presentation	0.0	standard	n/a
45.61600000000001	0.2	auditory standard stimulus presentation	0.0	standard	n/a
47.651	0.2	auditory standard stimulus presentation	0.0	standard	n/a
50.48	0.2	auditory standard stimulus presentation	0.0	standard	n/a
52.928000000000004	0.2	auditory standard stimulus presentation	0.0	standard	n/a
55.178999999999995	0.2	auditory standard stimulus presentation	0.0	standard	n/a
57.215	0.2	auditory standard stimulus presentation	0.0	standard	n/a
59.663999999999994	0.2	auditory standard stimulus presentation	0.0	standard	n/a
62.111000000000004	0.2	auditory standard stimulus presentation	0.0	standard	n/a
64.346	0.2	auditory standard stimulus presentation	0.0	standard	n/a
67.39	0.2	auditory standard stimulus presentation	0.0	standard	n/a
69.67399999999999	0.2	auditory standard stimulus presentation	0.0	standard	n/a
72.52	0.2	auditory standard stimulus presentation	0.0	standard	n/a
75.365	0.2	auditory standard stimulus presentation	0.0	standard	n/a
77.99600000000001	0.2	auditory standard stimulus presentation	0.0	standard	n/a
80.843	0.2	auditory standard stimulus presentation	0.0	standard	n/a
83.68799999999999	0.2	auditory standard stimulus presentation	0.0	standard	n/a
86.535	0.2	auditory standard stimulus presentation	0.0	standard	n/a
89.57799999999999	0.2	auditory standard stimulus presentation	0.0	standard	n/a
91.63	0.2	auditory standard stimulus presentation	0.0	standard	n/a
94.06299999999999	0.2	auditory standard stimulus presentation	0.0	standard	n/a
96.71	0.2	auditory oddball stimulus presentation	1.0	target	n/a
96.71	0.636	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
99.14299999999999	0.2	auditory standard stimulus presentation	0.0	standard	n/a
101.625	0.2	auditory standard stimulus presentation	0.0	standard	n/a
103.677	0.2	auditory standard stimulus presentation	0.0	standard	n/a
106.15899999999999	0.2	auditory standard stimulus presentation	0.0	standard	n/a
108.60799999999999	0.2	auditory standard stimulus presentation	0.0	standard	n/a
111.454	0.2	auditory standard stimulus presentation	0.0	standard	n/a
113.885	0.557	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
113.885	0.2	auditory oddball stimulus presentation	1.0	target	n/a
116.749	0.2	auditory standard stimulus presentation	0.0	standard	n/a
119.595	0.2	auditory standard stimulus presentation	0.0	standard	n/a
122.04299999999999	0.2	auditory standard stimulus presentation	0.0	standard	n/a
124.492	0.919	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
124.492	0.2	auditory oddball stimulus presentation	1.0	target	n/a
126.527	0.2	auditory standard stimulus presentation	0.0	standard	n/a
128.578	0.2	auditory standard stimulus presentation	0.0	standard	n/a
130.63	0.2	auditory standard stimulus presentation	0.0	standard	n/a
133.477	0.2	auditory standard stimulus presentation	0.0	standard	n/a
136.52200000000002	0.2	auditory standard stimulus presentation	0.0	standard	n/a
139.153	0.2	auditory standard stimulus presentation	0.0	standard	n/a
141.997	0.2	auditory standard stimulus presentation	0.0	standard	n/a
144.05	0.2	auditory oddball stimulus presentation	1.0	target	n/a
144.05	0.659	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
146.68	0.2	auditory oddball stimulus presentation	1.0	target	n/a
146.68	0.536	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
149.329	0.2	auditory standard stimulus presentation	0.0	standard	n/a
151.363	0.2	auditory standard stimulus presentation	0.0	standard	n/a
154.209	0.2	auditory standard stimulus presentation	0.0	standard	n/a
157.055	0.2	auditory standard stimulus presentation	0.0	standard	n/a
159.505	0.2	auditory standard stimulus presentation	0.0	standard	n/a
161.54	0.2	auditory standard stimulus presentation	0.0	standard	n/a
163.57399999999998	0.2	auditory standard stimulus presentation	0.0	standard	n/a
166.421	0.2	auditory standard stimulus presentation	0.0	standard	n/a
168.65400000000002	0.2	auditory standard stimulus presentation	0.0	standard	n/a
170.889	0.2	auditory oddball stimulus presentation	1.0	target	n/a
170.889	0.956	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
173.917	0.2	auditory standard stimulus presentation	0.0	standard	n/a
176.167	n/a	n/a	0.0	target	n/a
178.202	0.2	auditory oddball stimulus presentation	1.0	target	n/a
178.202	0.743	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
181.229	0.2	auditory oddball stimulus presentation	1.0	target	n/a
181.229	0.598	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
183.877	0.2	auditory oddball stimulus presentation	1.0	target	n/a
183.877	0.409	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
186.524	0.2	auditory oddball stimulus presentation	1.0	target	n/a
186.524	0.391	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
188.775	0.2	auditory oddball stimulus presentation	1.0	target	n/a
188.775	0.389	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
191.40599999999998	0.2	auditory oddball stimulus presentation	1.0	target	n/a
191.40599999999998	0.387	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
193.44099999999997	0.2	auditory standard stimulus presentation	0.0	standard	n/a
196.287	0.509	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
196.287	0.2	auditory oddball stimulus presentation	1.0	target	n/a
199.132	0.2	auditory standard stimulus presentation	0.0	standard	n/a
201.36700000000002	0.2	auditory standard stimulus presentation	0.0	standard	n/a
204.21200000000002	0.73	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
204.21200000000002	0.2	auditory oddball stimulus presentation	1.0	target	n/a
206.86	0.2	auditory standard stimulus presentation	0.0	standard	n/a
209.11	0.2	auditory standard stimulus presentation	0.0	standard	n/a
212.155	0.2	auditory standard stimulus presentation	1.0	standard	n/a
215.0	0.2	auditory standard stimulus presentation	0.0	standard	n/a
217.84599999999998	0.2	auditory oddball stimulus presentation	1.0	target	n/a
217.84599999999998	0.584	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
219.898	0.2	auditory standard stimulus presentation	0.0	standard	n/a
222.53	0.2	auditory standard stimulus presentation	0.0	standard	n/a
225.375	0.2	auditory standard stimulus presentation	0.0	standard	n/a
227.62599999999998	0.2	auditory standard stimulus presentation	0.0	standard	n/a
230.075	0.2	auditory standard stimulus presentation	0.0	standard	n/a
232.325	0.9209999999999999	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
232.325	0.2	auditory oddball stimulus presentation	1.0	target	n/a
234.791	0.2	auditory standard stimulus presentation	0.0	standard	n/a
236.825	0.2	auditory oddball stimulus presentation	1.0	target	n/a
236.825	0.8959999999999999	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
239.655	0.2	auditory standard stimulus presentation	0.0	standard	n/a
241.889	0.2	auditory standard stimulus presentation	0.0	standard	n/a
244.718	0.2	auditory standard stimulus presentation	0.0	standard	n/a
246.951	n/a	n/a	0.0	target	n/a
249.798	0.2	auditory standard stimulus presentation	0.0	standard	n/a
252.23	0.2	auditory standard stimulus presentation	0.0	standard	n/a
254.878	0.2	auditory standard stimulus presentation	0.0	standard	n/a
257.509	0.2	auditory standard stimulus presentation	0.0	standard	n/a
260.14	0.2	auditory standard stimulus presentation	0.0	standard	n/a
263.16700000000003	0.807	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
263.16700000000003	0.2	auditory oddball stimulus presentation	1.0	target	n/a
265.202	0.2	auditory standard stimulus presentation	0.0	standard	n/a
267.652	0.2	auditory standard stimulus presentation	0.0	standard	n/a
269.885	0.2	auditory standard stimulus presentation	0.0	standard	n/a
272.12	0.2	auditory standard stimulus presentation	0.0	standard	n/a
274.964	0.2	auditory standard stimulus presentation	0.0	standard	n/a
277.01599999999996	0.2	auditory standard stimulus presentation	0.0	standard	n/a
279.068	0.2	auditory standard stimulus presentation	0.0	standard	n/a
281.501	0.2	auditory standard stimulus presentation	0.0	standard	n/a
283.552	0.2	auditory standard stimulus presentation	0.0	standard	n/a
